Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 125","North Bay",4,57,7,0,75,1,144,462
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 126","North Bay",0,60,9,0,71,1,141,466
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 127","North Bay",2,50,9,1,83,0,145,444
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 128","North Bay",0,46,5,1,50,0,102,361
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 129","North Bay",0,43,9,0,58,0,110,347
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 130","North Bay",6,92,16,1,84,0,199,552
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 131","North Bay",2,43,12,3,58,0,118,387
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 132","North Bay",4,89,18,1,66,0,178,541
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 133","Bonfield",5,168,11,4,87,1,276,721
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 134","Bonfield",3,85,7,0,34,0,129,380
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 135","Nosbonsing",1,77,7,3,67,1,156,535
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 136","Bonfield",6,101,7,4,41,0,159,395
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 137","North Bay",1,49,4,0,58,0,112,362
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 138","North Bay",0,68,14,3,45,0,130,356
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 139","North Bay",4,49,7,5,97,0,162,320
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 140","North Bay",4,66,7,3,70,0,150,420
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 141","North Bay",2,75,13,4,75,1,170,552
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 142","North Bay",0,36,11,2,76,2,127,382
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 143","North Bay",1,41,15,3,56,1,117,370
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 144","North Bay",3,57,13,1,65,0,139,363
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 145","North Bay",2,43,8,8,44,0,105,396
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 146","North Bay",1,63,15,1,72,1,153,387
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 147","North Bay",2,37,8,2,52,0,101,375
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 148","North Bay",3,78,19,2,78,0,180,374
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 149","North Bay",1,58,8,0,56,0,123,361
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 150","North Bay",2,65,23,2,92,0,184,434
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 151","North Bay",0,72,16,2,74,1,165,433
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 152","North Bay",2,35,10,3,46,0,96,340
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 153","North Bay",4,85,21,1,69,0,180,467
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 154","North Bay",2,76,14,2,64,0,158,485
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 155","North Bay",1,110,12,3,52,0,178,592
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 156","North Bay",2,109,10,1,79,1,202,572
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 157","North Bay",1,93,15,4,98,0,211,691
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 158","North Bay",5,80,10,2,68,1,166,442
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 159","North Bay",0,63,13,3,52,0,131,362
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 160","North Bay",3,65,11,1,55,1,136,383
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 161","North Bay",1,39,8,0,22,0,70,246
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 162","North Bay",0,54,7,3,61,2,127,368
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 163","North Bay",2,50,6,2,71,0,131,386
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 164","North Bay",0,57,8,4,73,0,142,446
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 165","North Bay",0,35,13,2,57,0,107,437
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 166","East Ferris",1,70,2,3,51,0,127,364
