Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louay Ahmad,Jacob Bezaire,Harb Gill,Joseph Markham,Brian Masse,Richard Pollock,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"Windsor West/Windsor-Ouest"," 1","Windsor",0,2,58,5,27,60,0,0,152,537
35119,"Windsor West/Windsor-Ouest"," 2","Windsor",1,2,65,3,38,39,0,2,150,604
35119,"Windsor West/Windsor-Ouest"," 3","Windsor",5,3,46,2,65,53,1,2,177,682
35119,"Windsor West/Windsor-Ouest"," 4","Windsor",0,1,39,0,37,37,0,0,114,374
35119,"Windsor West/Windsor-Ouest"," 5","Windsor",0,0,46,0,46,46,0,0,138,506
35119,"Windsor West/Windsor-Ouest"," 6","Windsor",1,5,44,0,58,60,0,2,170,431
35119,"Windsor West/Windsor-Ouest"," 7","Windsor",1,3,41,1,26,30,0,1,103,381
35119,"Windsor West/Windsor-Ouest"," 8","Windsor",4,0,49,0,38,43,0,1,135,523
35119,"Windsor West/Windsor-Ouest"," 9","Windsor",1,3,41,1,35,46,0,1,128,484
35119,"Windsor West/Windsor-Ouest"," 10","Windsor",1,1,45,0,38,36,1,2,124,478
35119,"Windsor West/Windsor-Ouest"," 11","Windsor",0,0,28,1,42,51,0,3,125,448
35119,"Windsor West/Windsor-Ouest"," 12","Windsor",3,13,71,3,43,49,1,4,187,616
35119,"Windsor West/Windsor-Ouest"," 13","Windsor",5,2,43,3,30,33,0,2,118,425
35119,"Windsor West/Windsor-Ouest"," 14","Windsor",1,1,40,1,38,18,0,1,100,345
35119,"Windsor West/Windsor-Ouest"," 15","Windsor",1,2,38,1,25,26,0,0,93,407
35119,"Windsor West/Windsor-Ouest"," 16","Windsor",2,1,70,0,42,46,1,4,166,541
35119,"Windsor West/Windsor-Ouest"," 17A","Windsor",3,2,66,1,31,40,0,2,145,418
35119,"Windsor West/Windsor-Ouest"," 17B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,36
35119,"Windsor West/Windsor-Ouest"," 18","Windsor",3,6,89,0,52,77,0,2,229,506
35119,"Windsor West/Windsor-Ouest"," 19","Windsor",0,1,51,0,37,36,1,0,126,361
35119,"Windsor West/Windsor-Ouest"," 20","Windsor",1,1,60,0,57,64,0,1,184,584
35119,"Windsor West/Windsor-Ouest"," 21","Windsor",1,0,37,1,48,42,0,1,130,382
35119,"Windsor West/Windsor-Ouest"," 22","Windsor",2,3,61,0,66,48,0,1,181,608
35119,"Windsor West/Windsor-Ouest"," 23","Windsor",2,4,61,0,94,79,0,2,242,518
35119,"Windsor West/Windsor-Ouest"," 24","Windsor",0,3,74,0,49,45,1,1,173,547
35119,"Windsor West/Windsor-Ouest"," 25","Windsor",0,6,98,0,44,43,0,1,192,517
35119,"Windsor West/Windsor-Ouest"," 26","Windsor",2,1,63,1,40,35,0,1,143,463
35119,"Windsor West/Windsor-Ouest"," 27","Windsor",2,3,59,1,24,29,0,0,118,478
35119,"Windsor West/Windsor-Ouest"," 28","Windsor",7,4,114,1,44,42,0,1,213,541
35119,"Windsor West/Windsor-Ouest"," 29","Windsor",1,1,74,0,35,35,0,0,146,495
35119,"Windsor West/Windsor-Ouest"," 30","Windsor",6,3,57,1,47,48,0,1,163,497
35119,"Windsor West/Windsor-Ouest"," 31","Windsor",2,0,78,4,43,45,0,1,173,441
35119,"Windsor West/Windsor-Ouest"," 32","Windsor",3,7,78,2,55,51,0,3,199,468
35119,"Windsor West/Windsor-Ouest"," 33","Windsor",1,1,65,0,44,17,0,0,128,367
35119,"Windsor West/Windsor-Ouest"," 34","Windsor",0,0,64,3,46,36,0,2,151,392
35119,"Windsor West/Windsor-Ouest"," 35","Windsor",2,4,73,4,73,46,0,1,203,500
35119,"Windsor West/Windsor-Ouest"," 36","Windsor",3,2,34,0,46,53,0,3,141,396
35119,"Windsor West/Windsor-Ouest"," 37","Windsor",1,7,75,0,33,51,4,1,172,502
35119,"Windsor West/Windsor-Ouest"," 38","Windsor",0,2,65,1,55,54,0,0,177,430
35119,"Windsor West/Windsor-Ouest"," 39","Windsor",1,2,55,0,23,20,0,1,102,447
35119,"Windsor West/Windsor-Ouest"," 40","Windsor",1,1,44,0,35,39,0,0,120,381
35119,"Windsor West/Windsor-Ouest"," 41","Windsor",2,4,81,1,35,44,0,0,167,522
35119,"Windsor West/Windsor-Ouest"," 42","Windsor",1,2,43,0,46,68,1,2,163,504
35119,"Windsor West/Windsor-Ouest"," 43","Windsor",2,1,32,0,36,38,1,1,111,338
35119,"Windsor West/Windsor-Ouest"," 44","Windsor",1,2,44,1,32,24,0,0,104,355
35119,"Windsor West/Windsor-Ouest"," 45","Windsor",1,5,53,0,42,38,0,0,139,404
35119,"Windsor West/Windsor-Ouest"," 46","Windsor",0,1,66,1,56,55,0,2,181,433
35119,"Windsor West/Windsor-Ouest"," 47","Windsor",2,0,64,4,50,66,0,0,186,502
35119,"Windsor West/Windsor-Ouest"," 48","Windsor",2,1,74,0,51,49,1,0,178,473
35119,"Windsor West/Windsor-Ouest"," 49","Windsor",2,0,73,1,61,48,0,2,187,481
35119,"Windsor West/Windsor-Ouest"," 50","Windsor",1,0,76,0,50,91,1,0,219,510
35119,"Windsor West/Windsor-Ouest"," 51","Windsor",2,0,76,0,58,84,0,0,220,490
