Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lita Cabal,Kimball Cariou,Jenny Kwan,Meghan Emily Murphy,Nikida Steel,Mark Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver East/Vancouver-Est"," 1","Vancouver",38,1,43,0,2,54,2,140,404
59036,"Vancouver East/Vancouver-Est"," 2","Vancouver",29,0,30,0,0,42,0,101,440
59036,"Vancouver East/Vancouver-Est"," 3","Vancouver",22,0,13,0,1,21,0,57,369
59036,"Vancouver East/Vancouver-Est"," 4","Vancouver",27,1,48,0,4,32,1,113,533
59036,"Vancouver East/Vancouver-Est"," 5","Vancouver",46,1,44,0,6,80,0,177,361
59036,"Vancouver East/Vancouver-Est"," 6","Vancouver",20,2,55,1,1,24,0,103,417
59036,"Vancouver East/Vancouver-Est"," 7","Vancouver",Combined with No./Résultats combinés à ceux du n°14,,,,,,,,305
59036,"Vancouver East/Vancouver-Est"," 8","Vancouver",10,0,26,0,0,16,1,53,443
59036,"Vancouver East/Vancouver-Est"," 9","Vancouver",10,1,25,0,1,10,1,48,432
59036,"Vancouver East/Vancouver-Est"," 10A","Vancouver",7,0,7,0,1,4,1,20,485
59036,"Vancouver East/Vancouver-Est"," 10B","Vancouver",7,0,16,0,1,8,0,32,456
59036,"Vancouver East/Vancouver-Est"," 11","Vancouver",17,1,30,2,2,13,3,68,419
59036,"Vancouver East/Vancouver-Est"," 12","Vancouver",22,0,37,4,2,28,1,94,429
59036,"Vancouver East/Vancouver-Est"," 13","Vancouver",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,350
59036,"Vancouver East/Vancouver-Est"," 14","Vancouver",27,0,50,1,2,50,0,130,325
59036,"Vancouver East/Vancouver-Est"," 15","Vancouver",41,5,52,2,9,37,2,148,484
59036,"Vancouver East/Vancouver-Est"," 16","Vancouver",43,0,15,0,2,58,0,118,419
59036,"Vancouver East/Vancouver-Est"," 17","Vancouver",15,1,32,0,3,29,0,80,399
59036,"Vancouver East/Vancouver-Est"," 18","Vancouver",21,0,26,0,1,27,4,79,372
59036,"Vancouver East/Vancouver-Est"," 19","Vancouver",45,2,22,0,3,49,1,122,490
59036,"Vancouver East/Vancouver-Est"," 20","Vancouver",15,0,20,1,2,29,0,67,439
59036,"Vancouver East/Vancouver-Est"," 21","Vancouver",32,1,27,1,6,32,0,99,507
59036,"Vancouver East/Vancouver-Est"," 22","Vancouver",31,0,29,0,0,46,0,106,454
59036,"Vancouver East/Vancouver-Est"," 23","Vancouver",41,1,17,2,1,22,2,86,409
59036,"Vancouver East/Vancouver-Est"," 24","Vancouver",12,1,17,0,1,11,0,42,365
59036,"Vancouver East/Vancouver-Est"," 25","Vancouver",52,0,18,1,2,39,0,112,454
59036,"Vancouver East/Vancouver-Est"," 26","Vancouver",15,1,45,0,3,29,0,93,580
59036,"Vancouver East/Vancouver-Est"," 27","Vancouver",32,2,42,1,1,24,0,102,359
59036,"Vancouver East/Vancouver-Est"," 28","Vancouver",14,0,68,0,4,15,0,101,345
59036,"Vancouver East/Vancouver-Est"," 29","Vancouver",26,1,51,2,1,33,0,114,406
59036,"Vancouver East/Vancouver-Est"," 30","Vancouver",26,0,60,0,2,39,1,128,586
59036,"Vancouver East/Vancouver-Est"," 31","Vancouver",18,1,62,1,6,48,0,136,393
59036,"Vancouver East/Vancouver-Est"," 32","Vancouver",15,0,31,1,7,30,0,84,439
59036,"Vancouver East/Vancouver-Est"," 33","Vancouver",16,1,66,1,5,43,0,132,352
59036,"Vancouver East/Vancouver-Est"," 34","Vancouver",23,3,69,0,6,34,3,138,521
59036,"Vancouver East/Vancouver-Est"," 35","Vancouver",41,2,79,2,1,49,0,174,403
59036,"Vancouver East/Vancouver-Est"," 36","Vancouver",18,1,69,0,5,41,0,134,361
59036,"Vancouver East/Vancouver-Est"," 37","Vancouver",15,2,63,0,3,50,0,133,343
59036,"Vancouver East/Vancouver-Est"," 38","Vancouver",30,4,72,4,3,67,5,185,518
59036,"Vancouver East/Vancouver-Est"," 39","Vancouver",16,1,53,0,2,43,0,115,371
59036,"Vancouver East/Vancouver-Est"," 40","Vancouver",20,2,63,0,3,42,1,131,350
59036,"Vancouver East/Vancouver-Est"," 41","Vancouver",23,0,52,2,1,35,0,113,421
59036,"Vancouver East/Vancouver-Est"," 42","Vancouver",19,0,36,0,1,37,1,94,377
59036,"Vancouver East/Vancouver-Est"," 43","Vancouver",27,2,78,2,4,44,0,157,506
59036,"Vancouver East/Vancouver-Est"," 44","Vancouver",25,1,69,1,3,49,0,148,421
59036,"Vancouver East/Vancouver-Est"," 45","Vancouver",20,0,82,1,2,43,1,149,400
59036,"Vancouver East/Vancouver-Est"," 46","Vancouver",20,1,57,2,1,61,1,143,433
59036,"Vancouver East/Vancouver-Est"," 47","Vancouver",30,3,104,0,6,44,0,187,485
59036,"Vancouver East/Vancouver-Est"," 48","Vancouver",31,1,79,2,1,33,1,148,356
59036,"Vancouver East/Vancouver-Est"," 49","Vancouver",38,0,67,2,5,62,0,174,369
59036,"Vancouver East/Vancouver-Est"," 50","Vancouver",40,0,60,1,2,83,0,186,487
59036,"Vancouver East/Vancouver-Est"," 51","Vancouver",33,0,66,0,1,49,0,149,426
59036,"Vancouver East/Vancouver-Est"," 52","Vancouver",20,0,34,0,1,22,1,78,414
59036,"Vancouver East/Vancouver-Est"," 53","Vancouver",19,3,71,1,1,40,1,136,469
59036,"Vancouver East/Vancouver-Est"," 54","Vancouver",25,1,80,1,5,53,1,166,502
59036,"Vancouver East/Vancouver-Est"," 55","Vancouver",18,1,68,3,3,63,0,156,414
59036,"Vancouver East/Vancouver-Est"," 56","Vancouver",19,2,89,0,5,57,1,173,418
59036,"Vancouver East/Vancouver-Est"," 57","Vancouver",27,1,110,0,7,56,1,202,521
59036,"Vancouver East/Vancouver-Est"," 58","Vancouver",21,0,104,2,4,51,0,182,402
59036,"Vancouver East/Vancouver-Est"," 59","Vancouver",47,4,114,2,6,64,0,237,594
59036,"Vancouver East/Vancouver-Est"," 60","Vancouver",15,1,82,1,3,40,3,145,498
59036,"Vancouver East/Vancouver-Est"," 61","Vancouver",24,1,69,1,1,53,1,150,427
59036,"Vancouver East/Vancouver-Est"," 62","Vancouver",19,2,55,0,1,28,0,105,399
59036,"Vancouver East/Vancouver-Est"," 63","Vancouver",31,0,52,1,5,36,0,125,407
59036,"Vancouver East/Vancouver-Est"," 64","Vancouver",21,0,70,1,5,30,0,127,451
59036,"Vancouver East/Vancouver-Est"," 65","Vancouver",36,1,67,1,2,46,0,153,485
59036,"Vancouver East/Vancouver-Est"," 66","Vancouver",29,1,59,1,4,44,2,140,461
59036,"Vancouver East/Vancouver-Est"," 67","Vancouver",34,3,58,0,2,45,2,144,421
59036,"Vancouver East/Vancouver-Est"," 68","Vancouver",29,1,51,2,9,57,0,149,495
59036,"Vancouver East/Vancouver-Est"," 69","Vancouver",30,3,52,1,1,43,0,130,411
59036,"Vancouver East/Vancouver-Est"," 70","Vancouver",41,3,66,3,5,74,0,192,659
59036,"Vancouver East/Vancouver-Est"," 71","Vancouver",24,1,42,1,1,32,1,102,396
59036,"Vancouver East/Vancouver-Est"," 72","Vancouver",27,0,33,2,3,58,0,123,406
59036,"Vancouver East/Vancouver-Est"," 73","Vancouver",22,1,60,0,3,67,0,153,428
59036,"Vancouver East/Vancouver-Est"," 74","Vancouver",26,0,61,1,1,102,0,191,412
59036,"Vancouver East/Vancouver-Est"," 75","Vancouver",33,1,72,0,2,64,0,172,505
59036,"Vancouver East/Vancouver-Est"," 76","Vancouver",33,0,75,5,3,55,0,171,505
59036,"Vancouver East/Vancouver-Est"," 77","Vancouver",41,4,107,2,10,101,3,268,597
