Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ty Boulay,James Brown,Serge Cormier,Randi Rachelle Raynard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 1","Miscou Plains",2,38,63,3,2,108,260
13001,"Acadie--Bathurst/Acadie--Bathurst"," 2","Miscou Centre",0,46,51,4,4,105,195
13001,"Acadie--Bathurst/Acadie--Bathurst"," 3","Pigeon Hill",7,59,98,4,4,172,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 4","Coteau Road",3,72,62,5,4,146,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 5","Petite-Rivière-de-l'Ile",4,32,68,3,4,111,252
13001,"Acadie--Bathurst/Acadie--Bathurst"," 6","Petite-Rivière-de-l'Ile",5,39,92,5,2,143,329
13001,"Acadie--Bathurst/Acadie--Bathurst"," 7","Sainte-Cécile",8,29,62,3,3,105,267
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8","Petite-Lamèque",2,23,51,0,1,77,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 9","Cap-Bateau",7,35,73,5,6,126,326
13001,"Acadie--Bathurst/Acadie--Bathurst"," 10","Sainte-Marie-sur-Mer",4,31,111,8,4,158,391
13001,"Acadie--Bathurst/Acadie--Bathurst"," 11","Sainte-Marie-Saint-Raphaël",3,26,80,3,3,115,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 12","Lamèque",5,44,90,4,4,147,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 13","Lamèque",2,33,71,4,1,111,344
13001,"Acadie--Bathurst/Acadie--Bathurst"," 14","Pointe-Alexandre",3,27,66,2,2,100,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 15","Lamèque",1,22,45,1,2,71,276
13001,"Acadie--Bathurst/Acadie--Bathurst"," 16","Haut-Lamèque",1,37,51,0,1,90,259
13001,"Acadie--Bathurst/Acadie--Bathurst"," 17","Pokesudie",3,27,55,2,3,90,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 18","Bas-Caraquet",3,20,72,0,0,95,359
13001,"Acadie--Bathurst/Acadie--Bathurst"," 19","Bas-Caraquet",2,28,76,5,1,112,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 20","Bas-Caraquet",10,26,50,3,1,90,299
13001,"Acadie--Bathurst/Acadie--Bathurst"," 21","Chiasson",4,27,67,3,3,104,382
13001,"Acadie--Bathurst/Acadie--Bathurst"," 22","Pointe-Brûlé",3,20,64,3,1,91,369
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23","Shippagan",1,21,27,1,1,51,220
13001,"Acadie--Bathurst/Acadie--Bathurst"," 24","Shippagan",1,25,62,3,0,91,309
13001,"Acadie--Bathurst/Acadie--Bathurst"," 25","Shippagan",5,21,75,2,1,104,389
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26","Shippagan",4,17,69,2,2,94,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 27","Haut-Shippegan",3,34,66,5,1,109,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28","Shippagan",2,35,69,0,2,108,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 29","Maisonnette",8,17,71,4,3,103,227
13001,"Acadie--Bathurst/Acadie--Bathurst"," 30","Maisonnette",7,34,64,0,0,105,247
13001,"Acadie--Bathurst/Acadie--Bathurst"," 31","Caraquet",4,35,105,1,2,147,492
13001,"Acadie--Bathurst/Acadie--Bathurst"," 32","Le Goulet",8,30,88,2,1,129,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 33","Shippagan--Pointe-Sauvage",7,12,43,4,3,69,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 34","Le Goulet",5,33,89,4,4,135,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 35","Anse-Bleue",2,23,60,2,0,87,217
13001,"Acadie--Bathurst/Acadie--Bathurst"," 36","Dugas--Anse-Bleu",6,24,46,0,0,76,225
13001,"Acadie--Bathurst/Acadie--Bathurst"," 37","Grande-Anse",5,14,71,3,0,93,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 38","Grande-Anse",6,20,57,2,0,85,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39","Caraquet",7,16,60,1,1,85,238
13001,"Acadie--Bathurst/Acadie--Bathurst"," 40","Caraquet",2,29,64,0,0,95,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41","Caraquet",5,28,80,1,1,115,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 42","Caraquet",5,33,69,1,2,110,397
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43","Caraquet",3,32,76,1,0,112,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 44","Pointe-Rocheuse",5,30,102,2,4,143,485
13001,"Acadie--Bathurst/Acadie--Bathurst"," 45","Caraquet",5,15,47,1,1,69,260
13001,"Acadie--Bathurst/Acadie--Bathurst"," 46","Centre-Saint-Simon",4,36,122,3,0,165,319
13001,"Acadie--Bathurst/Acadie--Bathurst"," 47","Haut-Saint-Simon",8,25,90,5,3,131,254
13001,"Acadie--Bathurst/Acadie--Bathurst"," 48","Evangeline",9,48,113,6,2,178,348
13001,"Acadie--Bathurst/Acadie--Bathurst"," 49","Blanchard Settlement",8,55,133,1,4,201,352
13001,"Acadie--Bathurst/Acadie--Bathurst"," 50","Gaspereau",10,66,109,8,0,193,484
13001,"Acadie--Bathurst/Acadie--Bathurst"," 51","Losier Settlement",22,80,124,6,2,234,511
13001,"Acadie--Bathurst/Acadie--Bathurst"," 52","Pont-Landry",8,31,79,7,0,125,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53","Sainte-Anne-du-Bocage",4,30,47,3,1,85,308
13001,"Acadie--Bathurst/Acadie--Bathurst"," 54","Caraquet",2,26,47,3,0,78,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 55","Bertrand",8,55,146,3,9,221,408
13001,"Acadie--Bathurst/Acadie--Bathurst"," 56","Bertrand",6,37,137,0,2,182,325
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57","Bertrand",6,60,83,6,1,156,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Saint-Léolin",3,42,80,0,1,126,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Saint-Léolin",7,29,94,3,1,134,290
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Upper Pokemouche",9,52,119,6,4,190,429
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Maltampec",7,17,65,3,3,95,266
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Landry",8,58,104,3,4,177,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Inkerman",7,30,60,1,3,101,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Four Roads",6,36,66,2,0,110,365
