Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Barry Dewar,Helena Konanz,Philip Mansfield,Gloria Morgan,Linda Sankey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 1","Coalmont--Tulameen",1,80,3,37,2,0,123,251
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 2","Princeton",2,29,2,14,1,0,48,433
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 3","Osprey Lake",5,120,3,39,17,0,184,484
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 4","Princeton",1,102,7,37,10,0,157,243
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 5","Princeton",1,106,0,57,10,0,174,512
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 6","Princeton",1,58,4,33,21,0,117,346
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 7","Naramata",1,77,0,117,44,1,240,387
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 8","Naramata",0,89,8,123,51,0,271,413
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 9","Naramata",0,75,7,146,36,1,265,452
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 10","Naramata",3,106,1,125,19,0,254,479
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 11","Princeton",0,76,4,20,11,0,111,421
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 12","Princeton",2,90,3,57,21,0,173,509
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 13","Princeton",0,99,0,44,10,1,154,508
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 14","Princeton",3,118,5,57,17,3,203,538
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 15","Penticton",2,91,2,56,16,1,168,419
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 16","Penticton",0,81,0,61,25,0,167,424
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 17","Penticton 1",0,16,2,43,13,1,75,302
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 17-1","Okanagan-Similkameen F",0,64,2,29,13,1,109,241
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 18","Okanagan-Similkameen F",Combined with No./Résultats combinés à ceux du n°17-1,,,,,,,133
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 19","Okanagan-Similkameen F",2,76,2,48,34,0,162,384
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 20","Penticton",2,43,2,31,19,2,99,453
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 21","Penticton",0,40,7,37,17,1,102,397
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 22","Penticton",1,51,4,76,34,0,166,551
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 23","Penticton",1,64,2,49,40,0,156,588
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 24","Penticton",2,39,1,44,17,0,103,495
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 25","Penticton",3,42,1,41,43,0,130,473
