Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Molly Cornish,Ghislain Daigle,Jacques Gourde,Pierre Julien,Pier-Olivier Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 1","Lévis",5,44,73,34,2,4,162,392
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 2","Lévis",0,43,78,40,0,3,164,350
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 3","Lévis",4,49,87,48,0,2,190,417
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 4","Lévis",3,44,75,38,3,1,164,385
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 5","Lévis",8,49,97,26,1,2,183,433
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 6","Lévis",5,67,72,60,5,2,211,400
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 7","Lévis",5,64,85,51,0,1,206,348
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 8","Lévis",4,97,79,66,1,3,250,457
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 9","Lévis",11,90,83,58,3,5,250,529
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 10","Lévis",9,59,58,33,3,2,164,363
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 11","Lévis",4,106,63,45,0,2,220,448
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 12","Lévis",3,44,63,44,1,1,156,325
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 13","Lévis",7,79,117,57,4,1,265,536
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 14","Lévis",7,85,75,57,4,3,231,500
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 15","Lévis",8,29,56,34,0,3,130,293
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 16A","Lévis",3,65,37,43,0,2,150,379
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 16B","Lévis",5,62,36,46,1,2,152,383
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 17","Lévis",4,75,78,45,1,2,205,545
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 18","Lévis",3,19,44,15,1,2,84,159
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 19","Lévis",2,70,76,51,2,1,202,487
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 20A","Lévis",2,53,53,33,1,2,144,383
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 20B","Lévis",1,53,49,28,0,2,133,382
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 21","Lévis",3,67,106,29,0,7,212,405
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 22","Lévis",2,56,78,51,1,1,189,422
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 23","Lévis",10,80,81,30,0,5,206,418
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 24","Lévis",1,33,59,23,1,0,117,360
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 25","Lévis",6,66,78,50,4,1,205,426
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 26","Lévis",4,118,57,41,1,0,221,465
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 27","Lévis",6,89,84,46,3,1,229,453
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 28","Lévis",5,76,89,65,5,3,243,536
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 29","Lévis",1,77,51,32,6,0,167,339
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 30","Lévis",3,110,119,51,3,1,287,534
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 31","Lévis",8,104,104,52,0,1,269,551
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 32","Lévis",2,114,105,39,0,2,262,527
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 33","Lévis",7,97,121,60,0,3,288,556
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 34","Lévis",6,87,124,81,2,1,301,571
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 35","Lévis",1,77,86,48,0,2,214,479
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 36","Lévis",6,81,89,45,3,1,225,525
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 37","Lévis",4,53,70,40,0,3,170,390
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 38","Lévis",5,55,89,41,0,2,192,371
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 39","Lévis",2,57,77,48,0,0,184,359
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 40","Lévis",7,41,47,22,1,4,122,324
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 41","Lévis",8,46,54,50,1,1,160,375
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 42","Lévis",4,47,58,41,4,3,157,326
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 43","Lévis",11,56,84,32,1,0,184,417
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 44","Lévis",12,35,58,26,3,5,139,355
