Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patricia Conlin,Justin Graham,Robert Grossi,Jacob Mantle,Matt Pearce,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"York--Durham/York--Durham"," 69A","Scugog",Combined with No./Résultats combinés à ceux du n°66A,,,,,,,137
35121,"York--Durham/York--Durham"," 69B","Scugog",Combined with No./Résultats combinés à ceux du n°66B,,,,,,,134
35121,"York--Durham/York--Durham"," 69C","Scugog",Combined with No./Résultats combinés à ceux du n°66C,,,,,,,112
35121,"York--Durham/York--Durham"," 70","Uxbridge",4,2,68,130,5,1,210,284
35121,"York--Durham/York--Durham"," 71","Uxbridge",Combined with No./Résultats combinés à ceux du n°70,,,,,,,239
35121,"York--Durham/York--Durham"," 72","Uxbridge",2,6,68,113,3,2,194,246
35121,"York--Durham/York--Durham"," 73","Uxbridge",2,6,51,118,2,0,179,449
35121,"York--Durham/York--Durham"," 74","Uxbridge",Combined with No./Résultats combinés à ceux du n°72,,,,,,,262
35121,"York--Durham/York--Durham"," 75","Scugog",3,18,110,203,3,0,337,257
35121,"York--Durham/York--Durham"," 76","Scugog",Combined with No./Résultats combinés à ceux du n°75,,,,,,,82
35121,"York--Durham/York--Durham"," 77A","Scugog",1,12,74,144,5,0,236,132
35121,"York--Durham/York--Durham"," 77B","Scugog",3,3,99,134,3,1,243,130
35121,"York--Durham/York--Durham"," 77C","Scugog",3,7,89,134,5,1,239,159
35121,"York--Durham/York--Durham"," 78A","Scugog",Combined with No./Résultats combinés à ceux du n°77A,,,,,,,147
35121,"York--Durham/York--Durham"," 78B","Scugog",Combined with No./Résultats combinés à ceux du n°77B,,,,,,,160
35121,"York--Durham/York--Durham"," 78C","Scugog",Combined with No./Résultats combinés à ceux du n°77C,,,,,,,158
35121,"York--Durham/York--Durham"," 79","Scugog",Combined with No./Résultats combinés à ceux du n°75,,,,,,,281
35121,"York--Durham/York--Durham"," 80A","Scugog",Combined with No./Résultats combinés à ceux du n°77A,,,,,,,117
35121,"York--Durham/York--Durham"," 80B","Scugog",Combined with No./Résultats combinés à ceux du n°77B,,,,,,,107
35121,"York--Durham/York--Durham"," 80C","Scugog",Combined with No./Résultats combinés à ceux du n°77C,,,,,,,136
35121,"York--Durham/York--Durham"," 81A","Scugog",Combined with No./Résultats combinés à ceux du n°77A,,,,,,,144
