Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,William Caton,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 139","Ponteix",16,1,9,76,1,103,284
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 140","Ponteix",10,4,8,130,1,153,431
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 141","Consul",11,2,3,228,0,244,322
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 142","Kincaid",25,1,10,160,1,197,367
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 143","Lafleche",31,3,11,127,7,179,279
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 144","Lafleche",31,4,11,172,3,221,327
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 145","Climax",18,4,9,166,1,198,308
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 146","Frontier",31,4,5,262,7,309,513
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 147","Val Marie",27,2,16,150,0,195,352
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 148","Mankota",14,6,9,204,2,235,315
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 149","Fir Mountain",22,1,15,224,2,264,388
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 149-1","Wood Mountain 160",Combined with No./Résultats combinés à ceux du n°149,,,,,,3
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 500","Mobile poll/Bureau itinérant",5,2,3,25,2,37,21
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,8
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 502","Mobile poll/Bureau itinérant",3,0,2,15,4,24,29
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 503","Mobile poll/Bureau itinérant",9,4,10,24,3,50,60
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 504","Mobile poll/Bureau itinérant",9,1,1,24,6,41,74
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°39B,,,,,,42
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,22
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,55
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,22
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 509","Mobile poll/Bureau itinérant",5,3,2,17,1,28,23
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,16
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 511","Mobile poll/Bureau itinérant",1,0,3,7,0,11,23
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 512","Mobile poll/Bureau itinérant",2,1,4,10,0,17,25
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,15
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 514","Mobile poll/Bureau itinérant",0,2,2,10,0,14,17
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,14
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 516","Mobile poll/Bureau itinérant",10,1,3,26,5,45,34
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,34
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 518A","Mobile poll/Bureau itinérant",7,3,9,27,0,46,73
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 518B","Mobile poll/Bureau itinérant",5,2,8,26,0,41,73
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 518C","Mobile poll/Bureau itinérant",11,3,11,46,1,72,63
