Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mario Beaulieu,Ghada Chaabi,Olivier Huard,Viviane Minko,Violetta Potapova,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",107,4,4,62,41,0,10,228,434
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",141,2,2,86,27,1,6,265,445
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",115,10,3,78,34,0,6,246,400
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",117,7,6,88,42,0,6,266,475
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",106,7,1,68,34,0,4,220,444
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",100,8,2,54,28,0,5,197,422
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7","Montréal",77,9,2,58,39,0,4,189,389
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",77,5,3,72,24,0,3,184,378
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",60,9,3,50,34,1,6,163,408
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",70,8,0,56,31,2,1,168,371
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",97,7,4,47,45,0,2,202,446
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",68,10,5,94,38,0,0,215,472
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13","Montréal",86,15,1,98,41,0,2,243,488
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",74,5,2,69,37,0,5,192,421
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15A","Montréal",58,4,1,55,12,0,4,134,258
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15B","Montréal",31,5,3,54,22,0,0,115,266
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",80,5,0,57,28,0,3,173,355
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",70,8,3,72,31,1,4,189,432
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",57,7,3,61,25,0,3,156,345
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19","Montréal",95,7,5,55,25,0,2,189,375
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",46,8,1,94,32,0,2,183,415
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21","Montréal",61,6,2,52,23,0,4,148,363
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",80,8,2,91,34,2,11,228,430
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",41,6,0,39,20,0,3,109,300
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",84,5,2,52,17,0,1,161,346
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",100,7,1,85,28,1,3,225,469
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",97,5,6,69,11,0,6,194,429
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",99,4,8,53,41,0,9,214,471
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",65,5,5,35,24,3,1,138,352
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",42,2,1,29,23,1,1,99,357
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",71,4,0,19,8,0,2,104,339
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",46,9,4,39,15,0,5,118,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32","Montréal",71,2,3,50,20,1,3,150,361
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",68,6,0,62,17,2,3,158,363
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",59,8,3,56,33,1,6,166,435
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",71,20,2,65,16,0,4,178,479
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",62,11,4,70,17,0,1,165,399
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 37","Montréal",96,5,1,63,30,0,2,197,428
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 38","Montréal",64,7,0,41,29,0,1,142,389
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 39","Montréal",81,5,2,56,18,0,1,163,361
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 40","Montréal",81,4,4,44,29,0,2,164,321
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 41","Montréal",81,10,7,84,33,0,3,218,377
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 42","Montréal",61,8,4,67,34,1,4,179,388
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 43","Montréal",87,11,3,86,26,1,3,217,415
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 44","Montréal",62,2,3,43,29,1,4,144,357
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45","Montréal",59,9,3,67,30,0,0,168,404
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 46","Montréal",67,9,2,62,7,1,3,151,330
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 47","Montréal",81,5,2,60,17,0,3,168,351
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 48","Montréal",85,22,3,88,31,1,5,235,367
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 49","Montréal",95,6,6,56,26,0,0,189,348
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 50","Montréal",87,8,3,39,13,0,2,152,331
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 51","Montréal",77,7,6,61,11,1,2,165,329
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 52","Montréal",75,6,0,65,22,0,2,170,383
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 53","Montréal",81,9,0,82,23,0,3,198,361
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 54","Montréal",96,7,0,69,25,1,3,201,374
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 55","Montréal",106,6,1,76,22,0,6,217,401
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 56","Montréal",68,5,3,53,24,0,1,154,362
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 57","Montréal",91,14,4,72,30,0,4,215,416
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 58","Montréal",100,8,2,50,15,1,7,183,393
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 59","Montréal",88,2,4,56,24,2,3,179,408
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 60","Montréal",69,7,3,48,19,1,2,149,351
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 61","Montréal",82,4,3,63,22,3,3,180,380
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 62","Montréal",108,2,2,42,23,0,0,177,344
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 63","Montréal",67,10,1,45,21,0,0,144,360
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 64","Montréal",79,4,3,53,20,0,1,160,330
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 65","Montréal",69,12,1,69,18,2,4,175,362
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 66","Montréal",59,2,1,29,25,1,4,121,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 67","Montréal",87,13,0,51,29,1,3,184,389
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 68","Montréal",63,6,7,52,27,0,2,157,372
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 69","Montréal",75,12,7,73,27,0,4,198,410
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 70","Montréal",83,6,4,63,22,2,2,182,435
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 71","Montréal",69,5,3,27,23,0,2,129,323
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 72","Montréal",67,5,4,49,19,0,2,146,403
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 73","Montréal",48,4,3,30,16,2,3,106,302
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 74","Montréal",43,7,3,41,22,0,6,122,345
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 75","Montréal",65,7,1,30,31,0,5,139,422
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 76A","Montréal",64,6,8,40,28,0,9,155,335
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 76B","Mobile poll/Bureau itinérant",19,0,2,20,6,3,0,50,9
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 76C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°76B,,,,,,,,27
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 77","Montréal",60,5,1,40,19,0,4,129,347
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 78","Montréal",66,3,0,35,19,0,0,123,362
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 79","Montréal",92,5,9,80,31,4,4,225,438
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 80","Montréal",73,6,1,76,22,0,4,182,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 81","Montréal",81,9,3,70,31,1,3,198,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 82","Montréal",59,4,0,46,23,0,3,135,311
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 83","Montréal",58,8,2,40,25,2,5,140,333
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 84","Montréal",54,8,2,56,24,1,4,149,376
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 85","Montréal",68,4,3,59,33,0,1,168,379
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 86","Montréal",65,5,1,51,24,0,3,149,372
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 87","Montréal",66,2,0,34,24,0,4,130,338
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 88","Montréal",115,4,3,50,26,0,2,200,425
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 89","Montréal",82,14,5,43,26,1,6,177,446
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 90","Montréal",60,9,1,49,24,0,3,146,399
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 91","Montréal",95,6,4,63,17,4,4,193,388
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 92","Montréal",99,6,2,70,26,1,7,211,497
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 93","Montréal",107,9,1,69,33,0,6,225,382
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 94","Montréal",108,2,3,59,46,0,5,223,421
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 95","Montréal",69,6,0,53,45,0,1,174,366
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 96","Montréal",87,11,4,47,30,2,4,185,359
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 97","Montréal",85,3,4,63,18,0,5,178,392
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 98","Montréal-Est",55,4,32,61,7,2,2,163,339
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 99","Montréal-Est",99,3,4,97,26,0,7,236,487
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 100","Montréal-Est",82,6,1,46,35,0,2,172,427
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 101","Montréal-Est",66,9,6,69,29,0,3,182,401
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 102","Montréal-Est",94,10,2,55,37,0,4,202,406
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 103A","Montréal-Est",76,9,1,45,16,0,1,148,355
