Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tafiqul Abu Mohammad,Arlo Arrowsmith,Mazhar Choudhry,Oulai B. Goué,Jaycob Jacques,Marie-France Lalonde,Steve Mansour,Arabella Vida,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Orléans/Orléans"," 1","Ottawa",0,0,0,5,0,74,16,0,2,97,536
35077,"Orléans/Orléans"," 2","Ottawa",1,0,0,8,1,116,28,0,0,154,407
35077,"Orléans/Orléans"," 3","Ottawa",1,0,0,8,3,126,50,0,0,188,634
35077,"Orléans/Orléans"," 4","Ottawa",2,1,0,7,0,94,36,0,1,141,343
35077,"Orléans/Orléans"," 5","Ottawa",1,0,0,7,6,134,62,0,1,211,518
35077,"Orléans/Orléans"," 6","Ottawa",0,1,1,5,6,89,52,0,0,154,393
35077,"Orléans/Orléans"," 7","Ottawa",1,0,0,12,1,115,59,0,1,189,523
35077,"Orléans/Orléans"," 8","Ottawa",0,0,0,5,7,105,54,0,1,172,481
35077,"Orléans/Orléans"," 9","Ottawa",0,2,0,6,2,66,38,0,2,116,468
35077,"Orléans/Orléans"," 10","Ottawa",0,0,0,6,2,126,46,1,0,181,403
35077,"Orléans/Orléans"," 11","Ottawa",0,1,0,5,0,67,36,0,3,112,482
35077,"Orléans/Orléans"," 12","Ottawa",1,0,0,8,1,154,66,0,2,232,465
35077,"Orléans/Orléans"," 13","Ottawa",0,0,0,5,4,99,42,0,0,150,435
35077,"Orléans/Orléans"," 14","Ottawa",1,3,2,7,3,79,48,1,0,144,371
35077,"Orléans/Orléans"," 15","Ottawa",0,0,0,4,2,82,52,0,1,141,420
35077,"Orléans/Orléans"," 16","Ottawa",0,0,1,9,3,120,64,0,0,197,510
35077,"Orléans/Orléans"," 17","Ottawa",0,1,2,10,1,136,89,0,1,240,488
35077,"Orléans/Orléans"," 18","Ottawa",1,1,0,2,3,117,45,1,0,170,383
35077,"Orléans/Orléans"," 19","Ottawa",1,3,1,7,1,130,57,1,0,201,372
35077,"Orléans/Orléans"," 20","Ottawa",1,0,0,1,3,96,39,0,0,140,354
35077,"Orléans/Orléans"," 21","Ottawa",1,2,1,6,2,111,84,0,2,209,430
35077,"Orléans/Orléans"," 22","Ottawa",1,2,0,8,1,72,34,1,0,119,332
35077,"Orléans/Orléans"," 23","Ottawa",0,0,1,9,1,90,59,0,1,161,356
35077,"Orléans/Orléans"," 24","Ottawa",1,3,0,5,1,125,50,1,3,189,456
35077,"Orléans/Orléans"," 25","Ottawa",0,1,0,9,2,99,45,0,0,156,487
35077,"Orléans/Orléans"," 26","Ottawa",0,2,2,12,2,136,61,1,2,218,552
35077,"Orléans/Orléans"," 27","Ottawa",0,1,2,5,1,92,66,0,1,168,508
35077,"Orléans/Orléans"," 28","Ottawa",0,1,0,0,0,94,33,0,0,128,418
35077,"Orléans/Orléans"," 29","Ottawa",0,0,0,6,1,139,62,0,6,214,511
35077,"Orléans/Orléans"," 30","Ottawa",0,2,1,1,0,88,63,0,0,155,465
35077,"Orléans/Orléans"," 31","Ottawa",1,1,0,1,0,90,51,1,0,145,351
35077,"Orléans/Orléans"," 32","Ottawa",0,2,0,3,3,121,44,0,3,176,442
35077,"Orléans/Orléans"," 33","Ottawa",0,1,0,4,0,88,71,0,2,166,459
35077,"Orléans/Orléans"," 34","Ottawa",2,2,0,3,4,96,64,1,1,173,399
35077,"Orléans/Orléans"," 35","Ottawa",0,0,1,2,2,109,48,0,0,162,355
35077,"Orléans/Orléans"," 36","Ottawa",1,1,0,6,0,143,75,0,0,226,458
35077,"Orléans/Orléans"," 37","Ottawa",0,0,1,3,1,76,30,0,2,113,338
35077,"Orléans/Orléans"," 38","Ottawa",1,1,1,2,2,101,52,0,0,160,424
35077,"Orléans/Orléans"," 39","Ottawa",0,0,0,2,0,136,66,1,1,206,466
35077,"Orléans/Orléans"," 40","Ottawa",1,0,0,7,1,166,82,0,2,259,539
35077,"Orléans/Orléans"," 41","Ottawa",5,0,0,7,3,112,58,0,0,185,456
35077,"Orléans/Orléans"," 42","Ottawa",0,0,1,6,2,111,55,0,0,175,362
