Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Logan Araujo,Bushra Asghar,Chris Hill,Sue McFadden,Rechie Valdez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 1","Mississauga",0,4,1,88,119,3,215,469
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 2","Mississauga",2,3,2,97,67,2,173,408
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 3","Mississauga",1,2,1,75,92,2,173,455
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 4","Mississauga",1,5,1,86,86,0,179,394
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 5","Mississauga",1,2,2,134,129,4,272,511
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 6","Mississauga",0,7,0,94,89,0,190,444
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 7","Mississauga",1,1,0,111,98,1,212,467
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 8","Mississauga",3,3,2,123,99,2,232,456
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 9","Mississauga",0,5,1,102,116,0,224,498
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 10","Mississauga",3,5,4,106,84,0,202,425
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 11","Mississauga",1,4,4,126,113,1,249,526
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 12","Mississauga",0,3,0,40,37,0,80,215
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 13","Mississauga",2,5,1,76,74,0,158,487
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 14","Mississauga",4,3,3,75,62,0,147,368
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 15","Mississauga",2,0,0,94,85,1,182,492
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 16","Mississauga",0,1,0,90,100,0,191,481
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 17","Mississauga",1,6,0,61,78,0,146,358
