Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Bridges,Douglas Gook,Damien Kurek,James MacKay,Brent Sutton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 205B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,,38
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 206","Drumheller",2,0,140,9,28,0,179,397
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 207","Drumheller--Nacmine",0,0,59,2,12,1,74,179
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 208","Drumheller",2,0,103,7,34,0,146,352
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 209","Drumheller",3,2,170,6,22,1,204,370
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 210","Altario",0,0,124,1,2,1,128,165
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 211","New Brigden",1,0,153,2,8,0,164,238
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 212","Youngstown",6,2,209,5,11,0,233,358
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 213","Sunnynook",4,0,111,1,8,0,124,236
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 214","Cereal",5,2,94,3,3,0,107,208
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 215","Cessford",2,1,141,1,10,0,155,209
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 216","Oyen",1,1,129,2,12,17,162,369
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 217","Oyen",0,0,84,1,1,0,86,235
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 218","Oyen",3,1,133,0,4,1,142,270
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 219","Cappon",Combined with No./Résultats combinés à ceux du n°218,,,,,,,166
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 220","Acadia",3,0,178,0,7,0,188,360
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 221","Buffalo",0,0,94,0,6,0,100,210
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 222","Empress",2,2,108,7,12,0,131,229
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 500","Mobile poll/Bureau itinérant",0,0,52,5,9,0,66,50
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,55
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,12
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 503","Mobile poll/Bureau itinérant",1,1,39,3,6,0,50,10
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 504","Mobile poll/Bureau itinérant",2,2,38,2,11,0,55,69
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,14
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,3
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 507","Mobile poll/Bureau itinérant",1,1,29,3,5,1,40,38
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 508","Mobile poll/Bureau itinérant",4,1,57,1,6,1,70,22
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,62
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 510","Mobile poll/Bureau itinérant",1,6,79,8,11,3,108,81
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,96
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,29
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,25
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 514","Mobile poll/Bureau itinérant",2,2,78,1,8,11,102,68
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 515","Mobile poll/Bureau itinérant",1,0,57,4,6,1,69,46
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,30
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,93
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,11
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 519","Mobile poll/Bureau itinérant",2,1,94,5,9,0,111,92
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 520","Mobile poll/Bureau itinérant",1,0,19,1,3,1,25,24
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,6
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,4
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,36
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 524","Mobile poll/Bureau itinérant",1,1,38,3,2,0,45,39
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 525","Mobile poll/Bureau itinérant",1,0,48,3,13,0,65,70
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,9
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 527","Mobile poll/Bureau itinérant",3,0,60,4,7,5,79,48
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,20
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 529","Mobile poll/Bureau itinérant",0,0,45,2,3,2,52,29
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,66
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 531","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,17
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 532","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,26
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,55
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 534","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°167B,,,,,,,1
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 535","Mobile poll/Bureau itinérant",0,1,18,0,0,0,19,25
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 536","Mobile poll/Bureau itinérant",5,1,36,1,3,0,46,43
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°536,,,,,,,7
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 538","Mobile poll/Bureau itinérant",0,1,30,0,0,0,31,13
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°538,,,,,,,18
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 540","Mobile poll/Bureau itinérant",1,0,37,2,5,5,50,54
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 541","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°540,,,,,,,1
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 542","Mobile poll/Bureau itinérant",4,1,72,8,10,4,99,41
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 543","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°542,,,,,,,76
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 544","Mobile poll/Bureau itinérant",0,0,40,1,2,0,43,63
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 545","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°544,,,,,,,1
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 600","Camrose County",12,8,958,61,200,3,1242,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 601","Camrose County",4,6,408,13,62,0,493,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 602","Camrose County",6,8,746,49,194,3,1006,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 603","Camrose",18,9,776,55,285,2,1145,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 604","Camrose County",9,7,919,63,258,4,1260,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 605","Camrose County",3,3,465,20,110,2,603,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 606","Camrose County",7,6,401,10,50,0,474,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 607","Killam",7,7,657,11,65,4,751,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 608","Beaver County--Viking",8,1,523,15,61,0,608,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 609","Wainwright",16,16,1116,51,243,12,1454,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 610","Wainwright",3,2,714,14,67,2,802,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 611","Provost",7,8,869,9,54,4,951,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 612","Flagstaff County",4,1,402,6,45,1,459,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 613","Paintearth County No. 18",9,0,444,6,47,0,506,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 614","Stettler",14,3,888,15,88,2,1010,
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 615","Stettler County No. 6",30,5,1403,43,236,9,1726,
