Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Charron,Bertha Fuchsman-Small,Martin Héroux,Stéphane Lauzon,Lindsey Therrien,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 41","Lachute",13,2,18,32,0,2,0,67,277
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 42","Lachute",39,0,45,49,0,6,2,141,399
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 43","Lachute",42,2,62,60,1,1,0,168,420
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 44","Lachute",37,5,44,35,1,1,7,130,416
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 45","Lachute",32,0,34,46,0,4,4,120,419
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 46","Lachute",27,0,59,33,1,6,5,131,409
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 47A","Lachute",15,1,31,36,0,6,4,93,314
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 47B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,69
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 48","Lachute",43,3,46,43,1,4,4,144,412
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 49","Lachute",47,4,58,46,2,3,4,164,478
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 50","Lachute",49,1,37,35,1,3,2,128,448
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 51","Lachute",37,0,44,47,3,2,2,135,480
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 52","Lachute",30,4,35,25,0,3,3,100,391
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 53","Brownsburg-Chatham",35,0,41,40,2,4,4,126,412
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 54","Brownsburg-Chatham",50,5,41,51,2,13,1,163,500
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 55","Notre-Dame-de-Bon-Secours-Partie-Nord",24,1,29,60,0,1,0,115,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 56","Montebello",30,2,19,56,0,6,2,115,281
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 57","Montebello",16,2,29,41,0,2,1,91,272
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 58","Montebello",17,3,24,50,2,5,3,104,236
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 59","Bowman",63,0,32,59,4,1,0,159,336
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 60","Lachute",36,2,49,64,1,3,0,155,435
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 61","Lachute",24,2,19,19,4,8,0,76,342
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 62","Lachute",30,3,47,38,2,6,3,129,333
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 63","Lachute",29,2,43,43,0,0,5,122,427
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 64","Lachute",35,1,33,51,1,1,7,129,409
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 65","Lachute",46,0,75,70,1,3,2,197,570
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 66","Ripon",16,6,49,55,0,2,1,129,331
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 67","Ripon",24,3,74,59,1,3,2,166,416
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 68","Ripon",42,7,71,83,1,4,3,211,383
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 69","Ripon",25,5,44,55,2,4,2,137,243
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 70","Ripon",31,5,49,37,0,6,2,130,240
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 71","Lachute",36,3,24,44,0,2,0,109,404
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 72","Lachute",42,2,39,28,1,4,2,118,451
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 73","Lachute",46,5,47,60,3,3,2,166,528
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 74","Lachute",54,0,42,46,0,7,3,152,496
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 75","Lachute",38,1,37,48,2,4,5,135,387
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 76","Lachute",52,1,36,47,3,5,4,148,445
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 77","Grenville-sur-la-Rouge",27,2,16,41,0,3,2,91,248
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 78","Grenville-sur-la-Rouge",27,4,14,30,1,1,1,78,253
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 79","Grenville-sur-la-Rouge--Pointe-au-Chêne",24,2,19,25,2,1,0,73,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 80","Grenville-sur-la-Rouge",47,3,16,49,1,3,0,119,317
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 81","Marelan",31,2,17,41,2,2,0,95,262
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 82","Grenville-sur-la-Rouge",54,1,22,49,1,2,1,130,372
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 83","Grenville",54,1,22,43,4,2,4,130,337
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 84","Grenville",61,2,24,51,4,3,1,146,349
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 85","Grenville",30,4,16,60,1,3,1,115,397
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 86","Grenville",69,4,32,39,1,3,3,151,357
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 87","Brownsburg-Chatham",59,2,48,48,1,5,4,167,474
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 88","Brownsburg-Chatham",78,2,50,77,2,7,3,219,540
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 89","Brownsburg-Chatham",78,2,58,98,1,6,6,249,494
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 90","Brownsburg-Chatham",68,4,44,70,8,6,4,204,430
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 91","Brownsburg-Chatham",51,2,35,60,1,2,4,155,402
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 92","Grenville-sur-la-Rouge",47,2,16,54,0,0,8,127,281
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 93","Grenville-sur-la-Rouge",30,0,11,51,2,2,1,97,242
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 94","Saint-André-Avellin",22,2,51,50,2,3,1,131,362
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 95","Saint-André-Avellin",11,2,25,32,0,0,1,71,219
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 96","Saint-André-Avellin",30,11,42,47,1,3,1,135,279
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 97","Saint-André-Avellin",24,1,41,55,1,1,2,125,319
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 98","Saint-André-Avellin",37,1,54,72,2,5,0,171,389
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 99","Saint-André-Avellin",29,3,23,60,4,2,3,124,341
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 100","Saint-André-Avellin",35,0,51,50,5,2,4,147,351
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 101","Saint-André-Avellin",35,2,42,63,3,10,1,156,363
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 102","Saint-André-Avellin",25,1,32,40,0,1,1,100,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 103","Saint-André-d'Argenteuil",31,0,24,30,2,0,2,89,285
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 104","Saint-André-d'Argenteuil",44,1,51,44,4,3,0,147,438
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 105","Saint-André-d'Argenteuil",34,4,36,46,0,1,2,123,332
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 106","Saint-André-d'Argenteuil",38,3,50,47,3,2,1,144,354
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 107","Saint-André-d'Argenteuil",44,5,34,47,0,2,1,133,363
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 108","Saint-André-d'Argenteuil",32,2,43,36,0,2,3,118,346
