Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Charron,Bertha Fuchsman-Small,Martin Héroux,Stéphane Lauzon,Lindsey Therrien,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 197","Gatineau",46,2,33,72,2,5,6,166,398
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 198","Gatineau",39,3,35,78,2,6,1,164,389
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 199","Gatineau",50,2,33,56,1,5,3,150,410
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 200","Gatineau",40,3,19,51,5,6,2,126,344
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 201","Val-des-Monts",29,2,22,26,3,1,2,85,235
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 202","Val-des-Monts",27,1,29,57,0,3,2,119,327
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 203","Val-des-Monts",51,0,39,53,2,9,1,155,367
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 204","Val-des-Monts",31,2,25,59,1,2,2,122,346
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 205","Val-des-Monts",51,3,44,94,0,7,1,200,466
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 206","L'Ange-Gardien",80,0,41,86,2,6,0,215,457
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 207","L'Ange-Gardien",48,1,34,86,2,9,0,180,312
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 208","L'Ange-Gardien",59,1,78,114,1,4,2,259,422
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 209","L'Ange-Gardien",31,2,28,90,4,2,2,159,269
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 210","L'Ange-Gardien",69,0,47,114,6,3,0,239,429
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 211","Gatineau",43,3,34,59,0,6,0,145,525
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 212","Gatineau",63,1,41,78,0,7,2,192,423
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 213","Gatineau",30,0,16,43,6,3,3,101,351
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 214","Gatineau",57,4,55,130,0,7,1,254,591
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 215A","Gatineau",33,2,21,63,1,7,4,131,302
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 215B","Gatineau",28,0,13,57,0,5,2,105,332
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 216","Gatineau",34,1,35,54,0,1,1,126,348
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 217","Gatineau",75,7,37,111,1,14,6,251,520
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 218","Gatineau",45,7,29,118,2,4,2,207,471
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 219","Gatineau",51,4,44,84,0,8,2,193,453
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 220","Gatineau",48,1,26,97,0,4,2,178,429
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 221","Gatineau",48,5,32,80,2,2,1,170,418
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 222","Gatineau",60,2,28,67,3,8,3,171,430
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 223","Gatineau",37,2,31,57,0,3,2,132,313
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 224","Gatineau",49,1,21,53,0,5,4,133,407
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 225","Val-des-Monts",46,2,22,56,1,2,1,130,315
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 226","Gatineau",36,1,47,96,1,11,2,194,423
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 227","Gatineau",47,2,33,66,0,6,0,154,478
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 228","Gatineau",46,2,23,65,1,7,4,148,345
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 229","Gatineau",54,3,40,91,3,7,4,202,593
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 230","Gatineau",37,1,28,73,2,6,2,149,434
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 231","Gatineau",36,3,40,99,1,4,0,183,480
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 232","Gatineau",29,0,16,47,2,2,1,97,371
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 233","Gatineau",39,0,39,127,1,5,5,216,496
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 234","Gatineau",48,1,54,150,0,8,4,265,498
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 235","Gatineau",37,0,28,37,2,2,2,108,388
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 236","Gatineau",21,0,14,44,0,4,0,83,273
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 237","Gatineau",28,1,17,28,1,1,0,76,207
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 238","Gatineau",28,3,30,74,0,1,0,136,321
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 239","Gatineau",34,4,29,75,3,9,1,155,329
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 240","Gatineau",34,1,33,94,2,6,3,173,389
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 241","Gatineau",49,5,29,90,2,5,1,181,434
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 242","Gatineau",59,2,26,94,2,4,2,189,358
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 243","Gatineau",55,4,35,102,3,11,2,212,398
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 244","Gatineau",61,2,28,124,2,6,5,228,568
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 500","Saint-Émile-de-Suffolk",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,48
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,22
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,41
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,33
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 504","Mobile poll/Bureau itinérant",13,1,19,74,1,2,9,119,85
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 505","Lachute",Combined with No./Résultats combinés à ceux du n°47A,,,,,,,,43
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,23
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 507","Mobile poll/Bureau itinérant",8,0,4,31,1,0,2,46,56
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 508","Mobile poll/Bureau itinérant",7,0,15,52,0,0,5,79,96
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,44
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 510","Saint-André-Avellin",Combined with No./Résultats combinés à ceux du n°101,,,,,,,,4
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 511","Saint-André-d'Argenteuil",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,8
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 512","Mobile poll/Bureau itinérant",6,0,7,36,0,1,6,56,54
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,21
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 514","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,23
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 516","Mobile poll/Bureau itinérant",5,0,5,40,0,1,2,53,61
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 517","Mobile poll/Bureau itinérant",13,1,13,103,0,0,6,136,145
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 518","Mobile poll/Bureau itinérant",3,0,5,19,0,0,3,30,78
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,22
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 520","Gatineau",Combined with No./Résultats combinés à ceux du n°190,,,,,,,,0
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 521","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 600","Val-des-Monts",31,0,22,53,1,0,1,108,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 601","Val-des-Monts",192,11,150,527,4,24,11,919,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 602","Cantley",149,9,130,507,12,16,4,827,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 603","Val-des-Monts",209,10,176,437,6,23,4,865,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 604","Gatineau",241,14,281,820,3,27,9,1395,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 605","Gatineau",228,10,200,675,3,37,10,1163,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 606","Gatineau",185,8,172,540,5,23,8,941,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 607","Gatineau",183,6,165,578,11,17,12,972,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 608","Gatineau",237,15,268,791,3,42,21,1377,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 609","Gatineau",185,8,195,669,6,19,7,1089,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 610","L'Ange-Gardien",202,8,170,526,6,25,6,943,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 611","Val-des-Bois",110,3,113,288,13,9,8,544,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 612","Saint-André-Avellin",51,6,124,209,5,18,1,414,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 613","Mulgrave-et-Derry",111,3,60,275,2,18,1,470,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 614","Thurso",169,12,219,542,3,17,10,972,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 615","Montebello",53,2,49,176,2,2,3,287,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 616","Saint-André-Avellin",94,14,233,397,3,11,7,759,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 617","Saint-André-Avellin",92,4,201,337,2,2,1,639,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 618","Saint-Émile-de-Suffolk",81,10,115,204,5,6,6,427,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 619","Montebello",74,6,145,310,5,17,6,563,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 620","Harrington--Grenville-sur-la-Rouge",119,6,100,278,1,7,2,513,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 621","Wentworth-Nord",11,2,8,80,5,3,1,110,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 622","Grenville",219,5,164,438,9,17,6,858,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 623","Brownsburg-Chatham",118,10,160,369,8,17,7,689,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 624","Brownsburg-Chatham",157,9,142,287,5,10,6,616,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 625","Saint-André-d'Argenteuil",191,9,308,419,5,10,9,951,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 626","Lachute",171,5,363,660,5,17,41,1262,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 627","Lachute",162,11,345,552,9,23,17,1119,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 628","Morin-Heights",13,1,15,56,0,0,0,85,
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation",,Group 1/Groupe 1, 115,14,75,296,3,20,45,568,119
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation",,Group 2/Groupe 2, 302,12,336,1072,7,26,46,1801,
