Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Glen Armstrong,Josh Bizjak,Prashanta Dhakal,Sean Mulligan,Ryan Telford,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Ottawa",0,37,7,1,36,116,2,199,387
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Ottawa",3,50,6,6,47,154,3,269,476
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Ottawa",3,42,3,1,37,123,0,209,470
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Ottawa",2,8,2,1,21,86,0,120,492
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Ottawa",1,13,3,1,22,115,0,155,321
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Ottawa",0,15,2,0,30,71,1,119,467
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Ottawa",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,251
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Ottawa",3,23,4,1,41,111,0,183,402
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Ottawa",1,29,7,2,38,115,2,194,478
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Ottawa",2,29,5,1,35,109,1,182,435
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Ottawa",4,42,5,2,78,161,1,293,678
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Ottawa",4,33,1,4,57,107,2,208,468
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Ottawa",0,14,4,1,41,87,4,151,359
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Ottawa",1,11,4,0,31,78,0,125,375
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Ottawa",2,22,1,1,30,77,1,134,482
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Ottawa",0,14,4,1,23,59,1,102,422
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Ottawa",0,11,1,0,49,114,0,175,492
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Ottawa",0,6,4,0,23,105,2,140,490
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Ottawa",2,3,4,1,28,106,0,144,542
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Ottawa",0,8,3,1,43,101,0,156,446
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",2,12,1,0,47,131,0,193,535
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",2,33,5,1,51,102,0,194,480
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23","Ottawa",3,21,3,0,36,109,1,173,467
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",3,24,1,0,61,99,0,188,413
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",1,12,3,0,40,170,1,227,528
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",0,6,2,0,22,89,1,120,393
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",1,36,3,2,59,178,0,279,493
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",6,11,3,1,51,127,1,200,507
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29A","Ottawa",2,18,2,1,83,123,1,230,450
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29B","Ottawa",3,12,3,0,35,63,3,119,181
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",0,17,0,0,75,107,2,201,408
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",1,14,4,0,73,129,2,223,494
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",2,24,0,2,73,147,3,251,463
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",0,13,1,0,54,108,3,179,555
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",5,12,2,2,47,63,4,135,482
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",6,8,0,1,17,121,1,154,502
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",0,17,0,0,28,154,0,199,565
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37A","Ottawa",2,10,1,0,45,92,3,153,443
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,5
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 38","Ottawa",1,5,2,1,24,96,0,129,402
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39","Ottawa",1,15,3,1,43,119,0,182,555
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 40","Ottawa",2,4,3,0,47,98,1,155,457
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 41","Ottawa",2,6,9,0,55,113,2,187,544
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 42","Ottawa",3,17,6,1,45,99,1,172,340
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 43","Ottawa",4,18,1,0,39,134,0,196,394
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 44","Ottawa",3,20,2,0,40,66,0,131,335
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 45","Ottawa",0,10,2,0,52,100,3,167,362
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 46","Ottawa",4,11,0,0,47,102,1,165,414
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 47","Ottawa",1,9,0,1,36,75,1,123,353
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 48","Ottawa",3,21,1,0,81,185,1,292,440
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 49","Ottawa",2,20,4,3,85,193,0,307,447
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 50","Ottawa",4,7,2,0,58,73,0,144,465
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 51","Ottawa",1,20,2,1,35,154,0,213,413
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 52","Ottawa",1,8,0,0,56,104,0,169,396
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 53","Ottawa",1,15,0,1,39,87,0,143,344
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 54","Ottawa",3,14,5,1,57,123,0,203,419
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 55","Ottawa",0,9,0,0,46,58,1,114,352
35082,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 56","Ottawa",3,16,3,0,41,109,1,173,451
