Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 63","Pointe-Claire",1,5,8,2,63,91,0,170,400
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 64","Pointe-Claire",1,4,6,3,44,109,0,167,429
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 65","Pointe-Claire",0,10,4,4,48,89,2,157,462
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 66","Pointe-Claire",1,3,4,1,42,102,0,153,447
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 67","Montréal",2,3,7,1,70,86,2,171,531
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 68","Montréal",1,10,15,2,47,107,1,183,396
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 69","Montréal",4,3,10,2,63,112,5,199,454
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 70","Montréal",1,4,10,3,70,84,0,172,375
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 71","Montréal",4,0,6,1,37,65,0,113,373
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 72","Montréal",0,9,17,4,60,114,1,205,425
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 73","Kirkland",1,5,7,3,44,86,0,146,423
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 74","Kirkland",4,3,6,0,35,91,2,141,435
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 75","Kirkland",1,3,6,6,38,78,3,135,427
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 76","Kirkland",0,1,3,1,32,84,1,122,453
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 77","Kirkland",0,3,5,1,31,108,0,148,449
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 78","Kirkland",0,5,6,5,57,103,1,177,458
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 79","Kirkland",0,5,6,0,44,94,0,149,412
