Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 613","Kirkland",9,32,39,18,263,1317,3,1681,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 614","Kirkland",4,4,19,10,223,661,5,926,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 615","Beaconsfield",13,47,40,21,334,1346,2,1803,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 616","Beaconsfield",12,39,58,18,252,1210,5,1594,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 617","Beaconsfield",3,30,35,27,197,1086,7,1385,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 618","Kirkland",4,21,15,11,200,834,2,1087,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 619","Senneville--Sainte-Anne-de-Bellevue",6,44,101,24,215,972,7,1369,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 620","Montréal",9,24,61,8,374,773,5,1254,
24034,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 1/Groupe 1, 9,38,13,15,104,639,53,871,660
24034,"Lac-Saint-Louis/Lac-Saint-Louis",,Group 2/Groupe 2, 15,60,54,26,465,1943,59,2622,
