Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Stephen Fuhr,Tracy Gray,Trevor McAleese,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Kelowna/Kelowna"," 1","Kelowna",72,134,2,3,0,211,547
59016,"Kelowna/Kelowna"," 2","Kelowna",68,92,4,0,0,164,337
59016,"Kelowna/Kelowna"," 3","Kelowna",Combined with No./Résultats combinés à ceux du n°2,,,,,,126
59016,"Kelowna/Kelowna"," 4","Kelowna",74,92,6,2,0,174,347
59016,"Kelowna/Kelowna"," 5","Kelowna",66,94,2,1,0,163,343
59016,"Kelowna/Kelowna"," 6","Kelowna",71,109,3,4,0,187,568
59016,"Kelowna/Kelowna"," 7","Kelowna",Combined with No./Résultats combinés à ceux du n°5,,,,,,58
59016,"Kelowna/Kelowna"," 8","Kelowna",89,84,1,0,0,174,445
59016,"Kelowna/Kelowna"," 9","Kelowna",110,121,7,1,0,239,441
59016,"Kelowna/Kelowna"," 10","Kelowna",65,92,1,0,0,158,535
59016,"Kelowna/Kelowna"," 11","Kelowna",80,114,1,2,0,197,484
59016,"Kelowna/Kelowna"," 12","Kelowna",70,107,1,1,0,179,550
59016,"Kelowna/Kelowna"," 13","Kelowna",107,105,3,1,0,216,504
59016,"Kelowna/Kelowna"," 14","Kelowna",103,96,14,1,0,214,464
59016,"Kelowna/Kelowna"," 15","Kelowna",132,103,6,0,2,243,523
59016,"Kelowna/Kelowna"," 16","Kelowna",95,110,8,3,0,216,434
59016,"Kelowna/Kelowna"," 17","Kelowna",140,124,6,1,1,272,572
59016,"Kelowna/Kelowna"," 18","Kelowna",102,90,3,1,0,196,440
59016,"Kelowna/Kelowna"," 19","Kelowna",92,46,12,1,0,151,419
59016,"Kelowna/Kelowna"," 20","Kelowna",105,95,7,1,0,208,447
59016,"Kelowna/Kelowna"," 21","Kelowna",56,106,10,2,1,175,413
59016,"Kelowna/Kelowna"," 22","Kelowna",65,88,8,1,0,162,419
59016,"Kelowna/Kelowna"," 23","Kelowna",89,113,3,0,1,206,549
59016,"Kelowna/Kelowna"," 24","Kelowna",74,90,4,2,0,170,505
59016,"Kelowna/Kelowna"," 25","Kelowna",11,6,1,0,0,18,110
59016,"Kelowna/Kelowna"," 26","Kelowna",75,112,4,6,0,197,535
59016,"Kelowna/Kelowna"," 27","Kelowna",87,72,4,2,2,167,589
59016,"Kelowna/Kelowna"," 28","Kelowna",Combined with No./Résultats combinés à ceux du n°9,,,,,,251
59016,"Kelowna/Kelowna"," 29","Kelowna",82,76,4,4,1,167,494
59016,"Kelowna/Kelowna"," 30","Kelowna",83,96,3,2,1,185,447
59016,"Kelowna/Kelowna"," 31","Kelowna",66,77,3,5,0,151,454
59016,"Kelowna/Kelowna"," 32","Kelowna",64,85,9,3,0,161,383
59016,"Kelowna/Kelowna"," 33","Kelowna",100,85,6,4,0,195,454
59016,"Kelowna/Kelowna"," 34","Kelowna",95,79,6,1,1,182,481
59016,"Kelowna/Kelowna"," 35","Kelowna",76,87,4,1,1,169,480
59016,"Kelowna/Kelowna"," 36","Kelowna",105,113,9,1,2,230,431
59016,"Kelowna/Kelowna"," 37","Kelowna",89,109,4,1,0,203,528
59016,"Kelowna/Kelowna"," 38","Kelowna",91,75,6,5,0,177,487
59016,"Kelowna/Kelowna"," 39","Kelowna",65,71,1,1,0,138,462
59016,"Kelowna/Kelowna"," 40","Kelowna",Combined with No./Résultats combinés à ceux du n°41,,,,,,217
59016,"Kelowna/Kelowna"," 41","Kelowna",67,69,0,0,0,136,274
59016,"Kelowna/Kelowna"," 42","Kelowna",66,68,2,2,1,139,523
59016,"Kelowna/Kelowna"," 43","Kelowna",103,88,4,2,1,198,486
59016,"Kelowna/Kelowna"," 44","Kelowna",85,63,8,1,0,157,500
59016,"Kelowna/Kelowna"," 45","Kelowna",74,44,5,1,64,188,563
59016,"Kelowna/Kelowna"," 46","Kelowna",72,61,4,1,1,139,484
59016,"Kelowna/Kelowna"," 47","Kelowna",90,81,4,1,2,178,579
59016,"Kelowna/Kelowna"," 48","Kelowna",116,81,9,1,2,209,512
59016,"Kelowna/Kelowna"," 49","Kelowna",113,116,5,2,1,237,432
59016,"Kelowna/Kelowna"," 50","Kelowna",90,74,10,6,1,181,527
59016,"Kelowna/Kelowna"," 51","Kelowna",83,107,17,4,1,212,495
59016,"Kelowna/Kelowna"," 52","Kelowna",47,75,1,1,2,126,355
59016,"Kelowna/Kelowna"," 53","Kelowna",65,120,6,3,3,197,458
59016,"Kelowna/Kelowna"," 54","Kelowna",90,76,6,1,1,174,526
59016,"Kelowna/Kelowna"," 55","Kelowna",60,90,4,0,0,154,537
59016,"Kelowna/Kelowna"," 56","Kelowna",90,90,8,2,0,190,564
59016,"Kelowna/Kelowna"," 57","Kelowna",83,92,7,6,2,190,555
59016,"Kelowna/Kelowna"," 58","Kelowna",59,72,8,6,2,147,363
59016,"Kelowna/Kelowna"," 59","Kelowna",77,87,8,2,1,175,557
59016,"Kelowna/Kelowna"," 60","Kelowna",62,56,6,4,0,128,474
59016,"Kelowna/Kelowna"," 61","Kelowna",110,73,10,4,0,197,557
59016,"Kelowna/Kelowna"," 62","Kelowna",112,131,6,3,1,253,464
59016,"Kelowna/Kelowna"," 63","Kelowna",112,109,10,1,0,232,464
59016,"Kelowna/Kelowna"," 64","Kelowna",88,88,10,6,1,193,488
59016,"Kelowna/Kelowna"," 65","Kelowna",84,92,14,3,1,194,497
59016,"Kelowna/Kelowna"," 66","Kelowna",87,92,7,6,2,194,421
59016,"Kelowna/Kelowna"," 67","Kelowna",97,62,6,5,1,171,569
59016,"Kelowna/Kelowna"," 68","Kelowna",67,80,6,0,0,153,525
59016,"Kelowna/Kelowna"," 69","Kelowna",93,89,9,4,0,195,526
59016,"Kelowna/Kelowna"," 70","Kelowna",69,113,5,4,1,192,510
59016,"Kelowna/Kelowna"," 71","Kelowna",78,93,11,1,2,185,532
59016,"Kelowna/Kelowna"," 72","Kelowna",69,85,17,5,1,177,571
59016,"Kelowna/Kelowna"," 73","Kelowna",61,60,6,2,1,130,495
59016,"Kelowna/Kelowna"," 74","Kelowna",85,77,2,1,1,166,540
59016,"Kelowna/Kelowna"," 75","Kelowna",71,61,1,0,1,134,532
59016,"Kelowna/Kelowna"," 76","Kelowna",80,71,5,1,0,157,465
59016,"Kelowna/Kelowna"," 77","Kelowna",67,91,3,2,0,163,507
59016,"Kelowna/Kelowna"," 78","Kelowna",72,85,7,4,0,168,561
59016,"Kelowna/Kelowna"," 79","Kelowna",83,55,3,1,0,142,517
59016,"Kelowna/Kelowna"," 80","Kelowna",65,56,8,3,0,132,470
59016,"Kelowna/Kelowna"," 81","Kelowna",75,72,9,3,0,159,468
59016,"Kelowna/Kelowna"," 82","Kelowna",Combined with No./Résultats combinés à ceux du n°62,,,,,,328
59016,"Kelowna/Kelowna"," 83","Kelowna",63,54,4,0,0,121,534
59016,"Kelowna/Kelowna"," 84","Kelowna",106,74,7,1,0,188,714
59016,"Kelowna/Kelowna"," 85","Kelowna",70,59,9,4,1,143,587
59016,"Kelowna/Kelowna"," 86","Kelowna",Combined with No./Résultats combinés à ceux du n°87,,,,,,182
59016,"Kelowna/Kelowna"," 87","Kelowna",74,92,11,3,0,180,364
59016,"Kelowna/Kelowna"," 88","Kelowna",60,55,13,6,0,134,432
59016,"Kelowna/Kelowna"," 89","Kelowna",61,90,10,3,3,167,529
59016,"Kelowna/Kelowna"," 90","Kelowna",76,74,13,2,1,166,491
59016,"Kelowna/Kelowna"," 91","Kelowna",75,66,7,3,0,151,448
59016,"Kelowna/Kelowna"," 92","Kelowna",69,128,6,1,0,204,466
59016,"Kelowna/Kelowna"," 93","Kelowna",90,83,4,0,0,177,489
59016,"Kelowna/Kelowna"," 94","Kelowna",70,46,5,1,1,123,532
59016,"Kelowna/Kelowna"," 95","Kelowna",52,54,7,3,1,117,538
59016,"Kelowna/Kelowna"," 96","Kelowna",61,36,2,1,0,100,495
59016,"Kelowna/Kelowna"," 97","Kelowna",64,44,9,1,0,118,435
59016,"Kelowna/Kelowna"," 98","Kelowna",66,80,10,4,1,161,544
59016,"Kelowna/Kelowna"," 99","Kelowna",67,44,6,0,0,117,451
59016,"Kelowna/Kelowna"," 100","Kelowna",81,135,4,1,3,224,532
59016,"Kelowna/Kelowna"," 101","Kelowna",66,93,5,4,1,169,473
59016,"Kelowna/Kelowna"," 102","Kelowna",52,63,4,4,1,124,527
59016,"Kelowna/Kelowna"," 103","Kelowna",71,84,9,0,0,164,457
59016,"Kelowna/Kelowna"," 104","Kelowna",49,78,3,1,0,131,524
59016,"Kelowna/Kelowna"," 105","Kelowna",69,76,4,2,0,151,482
