Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Miles Berry,Christian Bourque,Atul Deshmukh,Graham Lettner,Heather McPherson,Ron Thiering,David Joel Wojtowicz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Edmonton Strathcona/Edmonton Strathcona"," 1","Edmonton",117,0,1,1,79,38,2,1,239,407
48022,"Edmonton Strathcona/Edmonton Strathcona"," 2","Edmonton",123,1,0,0,91,38,1,0,254,405
48022,"Edmonton Strathcona/Edmonton Strathcona"," 3","Edmonton",87,0,0,1,89,53,0,3,233,488
48022,"Edmonton Strathcona/Edmonton Strathcona"," 4","Edmonton",96,0,3,0,106,42,1,0,248,543
48022,"Edmonton Strathcona/Edmonton Strathcona"," 5","Edmonton",114,0,3,7,103,59,1,1,288,493
48022,"Edmonton Strathcona/Edmonton Strathcona"," 6","Edmonton",127,2,0,0,98,52,3,0,282,473
48022,"Edmonton Strathcona/Edmonton Strathcona"," 7","Edmonton",94,0,4,0,105,65,3,0,271,593
48022,"Edmonton Strathcona/Edmonton Strathcona"," 8","Edmonton",70,0,0,1,80,53,1,1,206,452
48022,"Edmonton Strathcona/Edmonton Strathcona"," 9","Edmonton",103,0,0,3,92,18,0,0,216,432
48022,"Edmonton Strathcona/Edmonton Strathcona"," 10","Edmonton",136,1,2,1,113,26,1,0,280,510
48022,"Edmonton Strathcona/Edmonton Strathcona"," 11","Edmonton",106,0,2,1,113,38,0,0,260,449
48022,"Edmonton Strathcona/Edmonton Strathcona"," 12","Edmonton",72,0,2,0,116,37,1,1,229,465
48022,"Edmonton Strathcona/Edmonton Strathcona"," 13","Edmonton",95,0,0,2,105,37,0,0,239,499
48022,"Edmonton Strathcona/Edmonton Strathcona"," 14","Edmonton",74,1,1,0,53,24,0,1,154,340
48022,"Edmonton Strathcona/Edmonton Strathcona"," 15","Edmonton",52,1,3,1,76,62,2,2,199,354
48022,"Edmonton Strathcona/Edmonton Strathcona"," 16","Edmonton",87,0,1,2,98,43,0,1,232,414
48022,"Edmonton Strathcona/Edmonton Strathcona"," 17","Edmonton",84,0,0,1,103,31,1,3,223,412
48022,"Edmonton Strathcona/Edmonton Strathcona"," 18","Edmonton",121,0,2,0,88,39,2,0,252,436
48022,"Edmonton Strathcona/Edmonton Strathcona"," 19","Edmonton",120,0,3,1,110,39,2,2,277,447
48022,"Edmonton Strathcona/Edmonton Strathcona"," 20","Edmonton",110,0,0,1,121,48,0,1,281,426
48022,"Edmonton Strathcona/Edmonton Strathcona"," 21","Edmonton",58,1,1,0,73,31,0,1,165,427
48022,"Edmonton Strathcona/Edmonton Strathcona"," 22","Edmonton",98,0,0,0,104,40,2,1,245,418
48022,"Edmonton Strathcona/Edmonton Strathcona"," 23","Edmonton",119,0,1,1,99,30,1,2,253,387
48022,"Edmonton Strathcona/Edmonton Strathcona"," 24","Edmonton",89,1,0,0,51,25,3,0,169,466
48022,"Edmonton Strathcona/Edmonton Strathcona"," 25","Edmonton",31,0,1,1,47,46,1,0,127,346
48022,"Edmonton Strathcona/Edmonton Strathcona"," 26","Edmonton",45,0,0,0,81,53,2,0,181,451
48022,"Edmonton Strathcona/Edmonton Strathcona"," 27","Edmonton",42,2,1,1,76,30,0,0,152,422
48022,"Edmonton Strathcona/Edmonton Strathcona"," 28","Edmonton",35,5,2,0,73,40,0,3,158,435
48022,"Edmonton Strathcona/Edmonton Strathcona"," 29","Edmonton",38,0,2,1,79,22,1,2,145,409
48022,"Edmonton Strathcona/Edmonton Strathcona"," 30","Edmonton",42,0,1,0,84,37,2,0,166,419
48022,"Edmonton Strathcona/Edmonton Strathcona"," 31","Edmonton",59,0,1,1,60,30,0,1,152,364
48022,"Edmonton Strathcona/Edmonton Strathcona"," 32","Edmonton",62,0,0,0,58,17,5,0,142,330
48022,"Edmonton Strathcona/Edmonton Strathcona"," 33","Edmonton",130,1,0,0,94,35,3,1,264,428
48022,"Edmonton Strathcona/Edmonton Strathcona"," 34","Edmonton",117,0,1,1,134,47,3,0,303,493
48022,"Edmonton Strathcona/Edmonton Strathcona"," 35","Edmonton",103,1,3,0,74,35,1,0,217,465
48022,"Edmonton Strathcona/Edmonton Strathcona"," 36","Edmonton",55,1,0,0,80,30,2,3,171,496
48022,"Edmonton Strathcona/Edmonton Strathcona"," 37","Edmonton",68,0,3,1,106,46,3,0,227,517
48022,"Edmonton Strathcona/Edmonton Strathcona"," 38","Edmonton",72,2,2,0,97,29,1,0,203,446
48022,"Edmonton Strathcona/Edmonton Strathcona"," 39","Edmonton",43,1,3,0,64,27,1,0,139,352
48022,"Edmonton Strathcona/Edmonton Strathcona"," 40","Edmonton",40,0,1,1,58,23,0,1,124,362
48022,"Edmonton Strathcona/Edmonton Strathcona"," 41","Edmonton",36,3,3,1,70,31,2,0,146,390
48022,"Edmonton Strathcona/Edmonton Strathcona"," 42","Edmonton",36,1,2,0,97,32,3,0,171,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 43","Edmonton",32,3,2,0,84,39,3,1,164,385
48022,"Edmonton Strathcona/Edmonton Strathcona"," 44","Edmonton",39,2,2,0,120,37,4,0,204,482
48022,"Edmonton Strathcona/Edmonton Strathcona"," 45","Edmonton",34,1,3,2,91,26,1,1,159,349
48022,"Edmonton Strathcona/Edmonton Strathcona"," 46","Edmonton",31,1,1,2,51,31,0,1,118,356
48022,"Edmonton Strathcona/Edmonton Strathcona"," 47","Edmonton",63,3,0,0,99,39,3,1,208,474
48022,"Edmonton Strathcona/Edmonton Strathcona"," 48","Edmonton",30,1,2,2,134,18,0,1,188,420
48022,"Edmonton Strathcona/Edmonton Strathcona"," 49","Edmonton",52,1,0,0,131,31,2,0,217,533
48022,"Edmonton Strathcona/Edmonton Strathcona"," 50","Edmonton",59,2,0,0,80,34,1,3,179,418
48022,"Edmonton Strathcona/Edmonton Strathcona"," 51","Edmonton",75,0,1,0,80,26,0,0,182,454
48022,"Edmonton Strathcona/Edmonton Strathcona"," 52","Edmonton",70,1,2,1,54,35,0,1,164,473
48022,"Edmonton Strathcona/Edmonton Strathcona"," 53","Edmonton",64,0,4,1,99,34,2,2,206,474
48022,"Edmonton Strathcona/Edmonton Strathcona"," 54","Edmonton",73,0,2,0,73,45,4,0,197,388
48022,"Edmonton Strathcona/Edmonton Strathcona"," 55","Edmonton",59,0,1,0,97,44,0,0,201,449
48022,"Edmonton Strathcona/Edmonton Strathcona"," 56","Edmonton",70,1,3,1,97,43,2,0,217,448
48022,"Edmonton Strathcona/Edmonton Strathcona"," 57","Edmonton",60,0,1,1,111,36,0,0,209,438
48022,"Edmonton Strathcona/Edmonton Strathcona"," 58","Edmonton",62,0,2,1,118,49,0,0,232,492
48022,"Edmonton Strathcona/Edmonton Strathcona"," 59","Edmonton",68,0,1,0,123,50,3,0,245,454
48022,"Edmonton Strathcona/Edmonton Strathcona"," 60","Edmonton",59,0,1,0,117,52,0,0,229,398
48022,"Edmonton Strathcona/Edmonton Strathcona"," 61","Edmonton",129,1,3,3,138,46,1,0,321,567
48022,"Edmonton Strathcona/Edmonton Strathcona"," 62","Edmonton",108,1,1,0,90,50,2,2,254,504
48022,"Edmonton Strathcona/Edmonton Strathcona"," 63","Edmonton",128,0,0,1,102,35,1,1,268,459
48022,"Edmonton Strathcona/Edmonton Strathcona"," 64","Edmonton",80,1,1,3,76,37,0,0,198,403
48022,"Edmonton Strathcona/Edmonton Strathcona"," 65","Edmonton",74,1,2,0,122,46,4,1,250,551
48022,"Edmonton Strathcona/Edmonton Strathcona"," 66","Edmonton",69,5,5,4,156,32,0,2,273,523
48022,"Edmonton Strathcona/Edmonton Strathcona"," 67","Edmonton",31,0,4,1,97,36,1,0,170,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 68","Edmonton",39,1,6,1,92,27,0,0,166,416
48022,"Edmonton Strathcona/Edmonton Strathcona"," 69","Edmonton",44,0,3,1,72,33,4,1,158,387
48022,"Edmonton Strathcona/Edmonton Strathcona"," 70","Edmonton",47,2,2,0,79,26,1,2,159,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 71","Edmonton",73,0,1,1,130,50,0,1,256,542
48022,"Edmonton Strathcona/Edmonton Strathcona"," 72","Edmonton",55,1,4,1,86,40,0,3,190,433
48022,"Edmonton Strathcona/Edmonton Strathcona"," 73","Edmonton",64,0,3,0,105,48,1,1,222,477
48022,"Edmonton Strathcona/Edmonton Strathcona"," 74","Edmonton",143,0,0,0,115,31,0,2,291,525
48022,"Edmonton Strathcona/Edmonton Strathcona"," 75","Edmonton",101,0,3,0,93,37,2,0,236,418
48022,"Edmonton Strathcona/Edmonton Strathcona"," 76","Edmonton",75,1,0,0,74,21,2,0,173,419
48022,"Edmonton Strathcona/Edmonton Strathcona"," 77","Edmonton",35,3,2,0,48,23,1,2,114,355
48022,"Edmonton Strathcona/Edmonton Strathcona"," 78","Edmonton",65,1,2,0,97,18,0,1,184,420
48022,"Edmonton Strathcona/Edmonton Strathcona"," 79","Edmonton",50,1,2,1,95,35,0,0,184,481
48022,"Edmonton Strathcona/Edmonton Strathcona"," 80A","Edmonton",35,0,1,2,68,30,1,1,138,398
48022,"Edmonton Strathcona/Edmonton Strathcona"," 80B","Mobile poll/Bureau itinérant",31,3,1,0,27,43,1,1,107,66
48022,"Edmonton Strathcona/Edmonton Strathcona"," 81","Edmonton",51,0,0,1,91,23,0,2,168,508
48022,"Edmonton Strathcona/Edmonton Strathcona"," 82","Edmonton",43,0,0,2,75,21,2,0,143,451
48022,"Edmonton Strathcona/Edmonton Strathcona"," 83","Edmonton",40,0,4,1,91,28,0,0,164,353
48022,"Edmonton Strathcona/Edmonton Strathcona"," 84","Edmonton",42,1,2,2,56,16,1,0,120,401
48022,"Edmonton Strathcona/Edmonton Strathcona"," 85","Edmonton",76,0,0,3,95,43,2,1,220,557
48022,"Edmonton Strathcona/Edmonton Strathcona"," 86","Edmonton",54,2,0,1,75,21,0,1,154,425
48022,"Edmonton Strathcona/Edmonton Strathcona"," 87","Edmonton",63,1,2,2,103,31,0,0,202,459
48022,"Edmonton Strathcona/Edmonton Strathcona"," 88","Edmonton",57,0,3,2,66,45,0,1,174,465
48022,"Edmonton Strathcona/Edmonton Strathcona"," 89","Edmonton",57,1,0,2,85,30,0,1,176,401
48022,"Edmonton Strathcona/Edmonton Strathcona"," 90","Edmonton",65,0,4,3,105,25,0,1,203,421
48022,"Edmonton Strathcona/Edmonton Strathcona"," 91","Edmonton",23,0,2,1,53,25,0,1,105,322
48022,"Edmonton Strathcona/Edmonton Strathcona"," 92","Edmonton",39,1,3,1,97,23,0,2,166,473
48022,"Edmonton Strathcona/Edmonton Strathcona"," 93","Edmonton",36,3,2,2,95,23,1,0,162,345
48022,"Edmonton Strathcona/Edmonton Strathcona"," 94","Edmonton",45,0,1,2,105,33,0,1,187,410
48022,"Edmonton Strathcona/Edmonton Strathcona"," 95","Edmonton",38,0,3,5,94,27,0,2,169,411
48022,"Edmonton Strathcona/Edmonton Strathcona"," 96","Edmonton",56,2,2,0,129,60,3,1,253,562
48022,"Edmonton Strathcona/Edmonton Strathcona"," 97","Edmonton",65,0,2,2,133,23,0,1,226,540
48022,"Edmonton Strathcona/Edmonton Strathcona"," 98","Edmonton",37,0,2,0,112,26,2,0,179,426
48022,"Edmonton Strathcona/Edmonton Strathcona"," 99","Edmonton",56,1,1,0,89,26,0,1,174,471
48022,"Edmonton Strathcona/Edmonton Strathcona"," 100","Edmonton",84,0,0,0,100,64,1,2,251,414
48022,"Edmonton Strathcona/Edmonton Strathcona"," 101","Edmonton",53,2,0,0,66,55,1,0,177,486
48022,"Edmonton Strathcona/Edmonton Strathcona"," 102","Edmonton",56,4,0,0,112,28,2,0,202,399
48022,"Edmonton Strathcona/Edmonton Strathcona"," 103","Edmonton",60,1,1,1,98,34,5,1,201,456
48022,"Edmonton Strathcona/Edmonton Strathcona"," 104","Edmonton",62,0,2,1,102,32,3,0,202,426
48022,"Edmonton Strathcona/Edmonton Strathcona"," 105","Edmonton",72,0,0,0,88,35,5,2,202,423
48022,"Edmonton Strathcona/Edmonton Strathcona"," 106","Edmonton",63,0,0,1,76,24,2,3,169,342
48022,"Edmonton Strathcona/Edmonton Strathcona"," 107","Edmonton",91,1,3,3,90,35,1,1,225,462
48022,"Edmonton Strathcona/Edmonton Strathcona"," 108","Edmonton",89,0,1,0,66,32,1,1,190,403
48022,"Edmonton Strathcona/Edmonton Strathcona"," 109","Edmonton",72,0,2,1,76,25,3,1,180,377
48022,"Edmonton Strathcona/Edmonton Strathcona"," 110","Edmonton",34,1,1,0,60,20,0,0,116,373
48022,"Edmonton Strathcona/Edmonton Strathcona"," 111","Edmonton",47,1,2,1,117,41,7,1,217,449
48022,"Edmonton Strathcona/Edmonton Strathcona"," 112","Edmonton",44,1,0,0,123,35,0,1,204,410
48022,"Edmonton Strathcona/Edmonton Strathcona"," 113","Edmonton",40,3,4,0,110,29,0,1,187,421
48022,"Edmonton Strathcona/Edmonton Strathcona"," 114","Edmonton",78,3,1,2,128,44,1,1,258,520
48022,"Edmonton Strathcona/Edmonton Strathcona"," 115","Edmonton",55,0,0,1,129,41,2,0,228,496
48022,"Edmonton Strathcona/Edmonton Strathcona"," 116","Edmonton",62,0,1,1,114,43,4,1,226,440
48022,"Edmonton Strathcona/Edmonton Strathcona"," 117","Edmonton",48,0,2,0,101,28,0,3,182,410
48022,"Edmonton Strathcona/Edmonton Strathcona"," 118","Edmonton",41,1,0,15,120,36,1,0,214,422
48022,"Edmonton Strathcona/Edmonton Strathcona"," 119","Edmonton",92,0,4,3,128,26,4,0,257,493
48022,"Edmonton Strathcona/Edmonton Strathcona"," 120","Edmonton",71,0,1,2,84,26,4,2,190,405
48022,"Edmonton Strathcona/Edmonton Strathcona"," 121","Edmonton",45,0,1,2,103,26,2,0,179,387
48022,"Edmonton Strathcona/Edmonton Strathcona"," 122","Edmonton",58,2,2,0,95,38,0,1,196,540
48022,"Edmonton Strathcona/Edmonton Strathcona"," 123","Edmonton",58,2,3,1,85,30,1,1,181,441
48022,"Edmonton Strathcona/Edmonton Strathcona"," 124","Edmonton",46,0,0,1,76,28,2,0,153,408
48022,"Edmonton Strathcona/Edmonton Strathcona"," 125","Edmonton",41,0,2,1,70,35,1,0,150,382
48022,"Edmonton Strathcona/Edmonton Strathcona"," 126","Edmonton",54,0,1,2,86,37,4,1,185,456
48022,"Edmonton Strathcona/Edmonton Strathcona"," 127","Edmonton",70,0,1,1,74,34,2,0,182,515
48022,"Edmonton Strathcona/Edmonton Strathcona"," 128","Edmonton",106,1,0,3,123,34,4,1,272,588
48022,"Edmonton Strathcona/Edmonton Strathcona"," 129","Edmonton",79,1,1,1,89,34,2,0,207,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 130","Edmonton",57,0,1,1,107,44,4,0,214,494
48022,"Edmonton Strathcona/Edmonton Strathcona"," 131","Edmonton",45,1,0,3,77,35,1,0,162,378
48022,"Edmonton Strathcona/Edmonton Strathcona"," 132","Edmonton",45,2,3,0,70,31,3,2,156,420
48022,"Edmonton Strathcona/Edmonton Strathcona"," 133","Edmonton",70,0,3,5,94,33,0,0,205,401
48022,"Edmonton Strathcona/Edmonton Strathcona"," 134","Edmonton",117,0,1,1,77,31,1,0,228,447
48022,"Edmonton Strathcona/Edmonton Strathcona"," 135","Edmonton",100,0,2,0,103,39,3,3,250,531
48022,"Edmonton Strathcona/Edmonton Strathcona"," 136A","Edmonton",Combined with No./Résultats combinés à ceux du n°170,,,,,,,,,23
48022,"Edmonton Strathcona/Edmonton Strathcona"," 136B","Edmonton",70,0,1,0,46,36,1,0,154,340
48022,"Edmonton Strathcona/Edmonton Strathcona"," 137","Edmonton",54,1,1,2,112,41,0,1,212,441
