Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Deltell,Colette Ducharme,Anthony Leclerc,Rhode-Malaure Pierre,Martin Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 1","Wendake",76,3,2,52,20,4,157,414
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 2A","Wendake",84,3,0,44,14,2,147,462
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 2B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,26
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 3","Wendake",47,1,0,34,12,3,97,329
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 4","Wendake",45,4,3,40,10,2,104,306
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 5","Québec",126,8,0,70,40,4,248,528
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 6","Québec",88,3,0,64,37,0,192,546
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 7","Québec",50,8,1,48,25,2,134,390
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 8","Québec",62,5,1,82,41,6,197,467
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 9","Québec",70,3,0,54,36,4,167,357
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 10","Québec",96,7,2,68,56,2,231,539
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 11","Québec",95,5,1,26,26,0,153,376
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 12","Québec",77,5,1,43,26,2,154,427
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 13","Québec",103,6,3,72,31,2,217,542
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 14A","Québec",54,5,1,23,15,5,103,230
24044,"Louis-Saint-Laurent--Akiawenhrahk/Louis-Saint-Laurent--Akiawenhrahk"," 14B","Québec",63,3,1,46,26,6,145,191
