Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 149","Waterloo",35,109,0,8,14,0,2,2,2,0,172,450
35114,"Waterloo/Waterloo"," 150","Waterloo",68,150,2,8,16,1,0,0,2,1,248,679
35114,"Waterloo/Waterloo"," 151","Waterloo",53,83,0,9,14,0,0,0,0,3,162,440
35114,"Waterloo/Waterloo"," 152","Waterloo",32,124,0,5,12,0,0,0,3,0,176,417
35114,"Waterloo/Waterloo"," 153","Waterloo",62,101,0,3,5,0,1,0,1,0,173,388
35114,"Waterloo/Waterloo"," 154","Waterloo",57,77,1,6,6,2,0,0,4,0,153,426
35114,"Waterloo/Waterloo"," 155","Waterloo",51,96,0,8,5,0,3,2,1,0,166,419
35114,"Waterloo/Waterloo"," 156","Waterloo",36,69,0,2,3,0,1,0,0,1,112,356
35114,"Waterloo/Waterloo"," 157","Waterloo",42,128,2,4,1,0,0,1,1,1,180,379
35114,"Waterloo/Waterloo"," 158","Waterloo",50,109,0,2,5,0,3,0,1,0,170,356
35114,"Waterloo/Waterloo"," 159","Waterloo",58,104,0,11,3,0,0,0,0,0,176,469
35114,"Waterloo/Waterloo"," 160","Waterloo",40,115,0,6,6,0,0,0,2,1,170,395
35114,"Waterloo/Waterloo"," 161","Waterloo",83,113,0,7,2,0,0,0,1,0,206,507
35114,"Waterloo/Waterloo"," 162","Waterloo",43,87,1,1,4,0,0,4,1,1,142,455
35114,"Waterloo/Waterloo"," 163","Waterloo",36,77,0,9,2,1,0,0,0,0,125,325
35114,"Waterloo/Waterloo"," 164","Waterloo",57,84,0,3,2,0,0,0,0,0,146,394
35114,"Waterloo/Waterloo"," 165","Waterloo",27,64,1,2,3,0,1,0,0,0,98,350
35114,"Waterloo/Waterloo"," 166","Waterloo",62,107,0,4,3,0,2,0,1,1,180,477
35114,"Waterloo/Waterloo"," 167","Waterloo",71,126,1,16,4,0,0,0,5,1,224,511
35114,"Waterloo/Waterloo"," 168","Waterloo",63,95,0,17,3,1,0,0,1,1,181,507
35114,"Waterloo/Waterloo"," 169","Waterloo",64,114,1,11,7,0,0,1,1,1,200,471
35114,"Waterloo/Waterloo"," 170","Waterloo",72,107,0,7,2,0,0,0,0,0,188,396
35114,"Waterloo/Waterloo"," 171","Waterloo",37,60,0,9,3,0,3,0,1,0,113,334
35114,"Waterloo/Waterloo"," 172","Waterloo",61,93,1,7,12,0,0,0,1,0,175,383
35114,"Waterloo/Waterloo"," 173","Waterloo",49,79,0,3,3,0,4,0,0,1,139,328
35114,"Waterloo/Waterloo"," 174","Waterloo",73,70,0,6,2,0,0,1,2,0,154,511
35114,"Waterloo/Waterloo"," 175","Waterloo",67,82,0,5,3,0,1,1,2,0,161,379
35114,"Waterloo/Waterloo"," 176","Waterloo",66,107,0,7,5,0,0,1,0,1,187,414
35114,"Waterloo/Waterloo"," 177","Waterloo",47,79,1,3,3,0,0,0,1,2,136,352
35114,"Waterloo/Waterloo"," 178","Waterloo",61,139,0,8,3,1,0,0,2,2,216,403
35114,"Waterloo/Waterloo"," 179","Waterloo",83,112,5,6,7,0,1,0,3,0,217,430
35114,"Waterloo/Waterloo"," 180","Waterloo",100,113,0,5,6,0,0,0,1,1,226,470
35114,"Waterloo/Waterloo"," 181","Waterloo",35,59,0,15,2,0,1,0,1,1,114,394
35114,"Waterloo/Waterloo"," 182","Waterloo",62,124,0,12,10,0,0,0,0,3,211,511
35114,"Waterloo/Waterloo"," 183","Waterloo",58,85,0,5,6,0,0,0,3,0,157,398
35114,"Waterloo/Waterloo"," 184","Waterloo",51,100,0,6,7,0,0,0,0,2,166,341
35114,"Waterloo/Waterloo"," 185","Waterloo",74,107,0,2,2,1,0,2,0,1,189,411
35114,"Waterloo/Waterloo"," 186","Waterloo",61,107,0,6,10,1,0,0,0,0,185,410
35114,"Waterloo/Waterloo"," 187","Waterloo",82,106,1,6,7,2,2,1,0,2,209,457
35114,"Waterloo/Waterloo"," 188","Waterloo",101,113,1,11,7,1,0,0,1,2,237,550
35114,"Waterloo/Waterloo"," 400","Waterloo",31,51,0,15,3,0,0,0,0,1,101,275
35114,"Waterloo/Waterloo"," 401","Waterloo",Combined with No./Résultats combinés à ceux du n°84,,,,,,,,,,,108
35114,"Waterloo/Waterloo"," 402","Waterloo",54,143,0,13,10,0,2,2,1,10,235,486
35114,"Waterloo/Waterloo"," 403","Waterloo",24,48,0,3,5,0,0,0,0,0,80,191
35114,"Waterloo/Waterloo"," 404","Waterloo",25,52,0,3,9,0,2,0,2,0,93,196
35114,"Waterloo/Waterloo"," 405","Waterloo",29,81,0,5,0,0,0,0,2,0,117,294
35114,"Waterloo/Waterloo"," 406","Waterloo",34,107,0,5,6,0,0,0,0,0,152,294
35114,"Waterloo/Waterloo"," 500","Mobile poll/Bureau itinérant",51,101,1,6,4,1,0,0,1,6,171,104
35114,"Waterloo/Waterloo"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,,116
