Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elizabeth Benoit,Coreen Corcoran,Mona Fortier,Christian Legeais,Tristan Oliff,Christian Proulx,Marty Simms,Dean Wythe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 1","Ottawa",1,1,82,0,4,2,1,44,0,135,394
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 2","Ottawa",1,2,80,0,12,1,1,39,0,136,362
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 3","Ottawa",0,2,117,0,6,7,2,35,0,169,464
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 4","Ottawa",0,1,105,1,6,3,0,27,1,144,416
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 5","Ottawa",1,0,90,0,4,1,0,50,0,146,460
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 6","Ottawa",0,0,102,0,8,1,1,30,0,142,381
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 7","Ottawa",0,3,97,0,12,1,0,52,0,165,381
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 8","Ottawa",0,0,95,0,5,1,0,52,1,154,463
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 9","Ottawa",0,0,82,1,7,1,0,29,0,120,321
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 10","Ottawa",0,0,113,1,13,5,0,35,2,169,457
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 11","Ottawa",0,0,81,0,11,3,1,41,2,139,388
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 12","Ottawa",0,0,72,0,9,1,0,26,2,110,372
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 13","Ottawa",1,0,86,0,8,4,4,22,1,126,357
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 14","Ottawa",0,3,69,0,8,1,1,39,4,125,336
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 15","Ottawa",0,0,82,0,5,5,1,43,2,138,377
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 16","Ottawa",0,0,99,0,14,2,2,49,4,170,547
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 17","Ottawa",0,0,98,0,12,0,1,67,2,180,465
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 18","Ottawa",2,1,117,0,14,3,0,36,3,176,514
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 19A","Ottawa",2,0,112,1,5,5,1,58,2,186,542
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 19B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,237
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 20A","Ottawa",1,1,115,0,13,4,2,54,1,191,463
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 20B","Ottawa",2,1,135,0,14,3,2,67,0,224,524
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 21","Ottawa",1,4,118,1,7,3,1,69,6,210,569
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 22","Ottawa",0,1,169,0,17,3,0,74,1,265,607
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 23","Ottawa",0,0,123,1,16,4,2,43,2,191,489
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 24","Ottawa",5,2,97,0,11,1,0,54,0,170,421
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 25","Ottawa",0,1,83,0,11,5,0,38,1,139,375
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 26","Ottawa",0,2,101,1,9,2,1,60,1,177,526
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 27","Ottawa",0,0,175,0,9,4,1,69,0,258,636
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 28","Ottawa",0,2,129,1,7,4,1,54,0,198,546
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 29","Ottawa",1,2,126,0,12,6,0,47,3,197,511
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 30","Ottawa",0,0,191,1,21,6,1,49,2,271,564
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 31","Ottawa",0,0,141,0,22,7,0,61,1,232,463
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 32","Ottawa",1,0,116,2,6,0,5,50,1,181,413
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 33","Ottawa",0,0,113,0,10,9,1,32,1,166,469
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 34","Ottawa",0,0,116,1,11,5,0,22,1,156,450
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 35","Ottawa",1,0,88,0,6,1,2,39,1,138,427
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 36","Ottawa",0,0,92,1,6,4,0,40,1,144,378
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 37","Ottawa",0,1,86,1,1,0,0,28,0,117,295
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 38","Ottawa",1,2,96,0,6,0,1,34,0,140,359
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 39","Ottawa",0,0,134,0,17,2,0,65,0,218,554
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 40","Ottawa",0,0,57,0,12,2,2,39,3,115,382
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 41","Ottawa",0,0,90,1,9,4,1,68,2,175,448
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 42","Ottawa",1,0,91,2,13,5,1,61,0,174,468
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 43","Ottawa",1,3,86,0,7,2,0,49,0,148,423
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 44","Ottawa",0,0,103,1,7,2,2,47,0,162,390
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 45","Ottawa",0,1,114,0,16,1,2,72,1,207,511
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 46","Ottawa",0,0,111,1,8,6,0,34,0,160,535
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 47","Ottawa",0,0,104,1,8,4,2,46,4,169,502
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 48","Ottawa",1,1,94,0,3,1,1,28,2,131,416
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 49","Ottawa",1,0,52,0,5,2,0,33,2,95,357
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 50","Ottawa",1,2,84,1,17,4,0,55,1,165,384
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 51","Ottawa",1,0,90,0,9,6,1,52,0,159,479
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 52","Ottawa",2,0,78,0,8,3,0,57,1,149,444
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 53","Ottawa",0,2,82,0,6,2,2,49,0,143,425
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 54","Ottawa",0,0,112,0,12,4,5,51,1,185,448
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 55","Ottawa",0,0,78,0,5,7,1,49,0,140,416
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 56","Ottawa",0,0,81,1,9,2,0,45,2,140,396
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 57","Ottawa",0,1,77,1,7,2,5,47,2,142,484
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 58","Ottawa",1,0,76,0,8,2,0,62,1,150,425
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 59","Ottawa",0,0,111,1,12,2,4,39,1,170,490
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 60","Ottawa",0,0,95,0,10,1,1,41,0,148,392
35081,"Ottawa--Vanier--Gloucester/Ottawa--Vanier--Gloucester"," 61","Ottawa",1,0,107,0,11,5,0,43,2,169,441
