Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Hetherington,Murali Krishnan,Sukh Pandher,Shannon Permal,Gurbux Saini,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",3,1,71,11,34,2,122,487
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2A","Surrey",2,1,47,9,39,3,101,313
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2B","Surrey",3,2,47,15,25,0,92,328
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3A","Surrey",3,6,54,10,87,1,161,580
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3B","Surrey",4,1,52,12,42,1,112,444
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4A","Surrey",Combined with No./Résultats combinés à ceux du n°2A,,,,,,,146
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4B","Surrey",Combined with No./Résultats combinés à ceux du n°2B,,,,,,,153
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5","Surrey",1,2,92,9,66,1,171,588
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6A","Surrey",2,1,48,11,30,1,93,410
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6B","Surrey",3,3,56,8,21,1,92,362
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7","Surrey",1,2,46,11,38,0,98,418
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",1,5,69,15,48,1,139,577
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",5,0,57,20,70,2,154,575
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",Void/Supprimé,,,,,,,
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11A","Surrey",3,2,67,13,47,0,132,490
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,16
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12","Surrey",1,1,73,9,64,0,148,487
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13","Surrey",0,3,60,2,23,2,90,461
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14","Surrey",1,0,50,13,50,2,116,528
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15A","Surrey",7,1,37,7,34,0,86,406
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15B","Surrey",2,3,46,11,30,0,92,333
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",1,0,21,6,29,0,57,426
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 17","Surrey",5,3,62,8,96,2,176,491
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 18","Surrey",0,0,15,3,16,1,35,157
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19","Surrey",2,0,64,10,42,1,119,485
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20","Surrey",0,0,41,10,40,0,91,312
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 21","Surrey",0,1,55,7,55,0,118,561
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22","Surrey",2,4,107,17,92,3,225,543
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23","Surrey",1,0,61,11,52,0,125,353
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24","Surrey",2,2,70,17,23,1,115,458
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 25","Surrey",0,0,30,4,30,1,65,236
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26A","Surrey",Combined with No./Résultats combinés à ceux du n°112A,,,,,,,41
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26B","Surrey",Combined with No./Résultats combinés à ceux du n°112B,,,,,,,70
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 27","Surrey",3,2,67,15,60,2,149,525
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28","Surrey",1,3,84,21,74,1,184,604
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 29","Surrey",2,3,71,19,50,2,147,538
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30A","Surrey",Combined with No./Résultats combinés à ceux du n°31A,,,,,,,154
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30B","Surrey",Combined with No./Résultats combinés à ceux du n°31B,,,,,,,180
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31A","Surrey",0,4,58,6,61,3,132,285
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31B","Surrey",2,2,69,4,85,2,164,328
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 32","Surrey",3,1,71,9,73,0,157,588
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 33","Surrey",7,1,67,4,53,0,132,439
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 34","Surrey",0,2,49,10,62,1,124,460
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 35","Surrey",1,0,62,5,54,0,122,467
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 36","Surrey",0,1,76,13,88,1,179,273
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 37","Surrey",Combined with No./Résultats combinés à ceux du n°36,,,,,,,249
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 38","Surrey",5,5,93,20,83,2,208,508
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 39","Surrey",5,0,66,17,70,0,158,613
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40","Surrey",1,2,56,17,80,1,157,564
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 41","Surrey",2,2,99,12,111,1,227,609
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42","Surrey",1,0,84,11,79,1,176,324
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 43","Surrey",Combined with No./Résultats combinés à ceux du n°42,,,,,,,211
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44","Surrey",4,0,55,10,55,0,124,412
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 45","Surrey",1,1,60,3,47,2,114,431
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 46","Surrey",2,1,53,7,62,1,126,428
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47","Surrey",2,4,50,11,65,0,132,581
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 48","Surrey",2,0,39,9,40,1,91,402
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49","Surrey",0,1,32,6,75,0,114,319
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 50","Surrey",2,2,65,14,103,1,187,483
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 51","Surrey",1,2,79,13,69,0,164,419
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52A","Surrey",3,1,50,1,58,2,115,396
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52B","Surrey",0,1,31,9,35,0,76,357
59013,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53","Surrey",3,1,69,13,83,0,169,393
