Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jerry Kroll,Taleeb Noormohamed,Marie Rogers,Sukhi Singh Sahota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Granville/Vancouver Granville"," 119","Vancouver",1,71,49,3,0,124,431
59038,"Vancouver Granville/Vancouver Granville"," 120","Vancouver",4,64,62,7,0,137,438
59038,"Vancouver Granville/Vancouver Granville"," 121","Vancouver",2,61,56,8,3,130,409
59038,"Vancouver Granville/Vancouver Granville"," 122","Vancouver",0,43,45,7,0,95,374
59038,"Vancouver Granville/Vancouver Granville"," 123","Vancouver",2,74,60,2,0,138,494
59038,"Vancouver Granville/Vancouver Granville"," 124","Vancouver",2,49,63,7,0,121,505
59038,"Vancouver Granville/Vancouver Granville"," 125","Vancouver",3,67,82,5,0,157,465
59038,"Vancouver Granville/Vancouver Granville"," 126","Vancouver",0,55,49,10,0,114,485
59038,"Vancouver Granville/Vancouver Granville"," 127","Vancouver",2,101,75,17,0,195,589
59038,"Vancouver Granville/Vancouver Granville"," 128","Vancouver",4,86,62,12,0,164,494
59038,"Vancouver Granville/Vancouver Granville"," 129","Vancouver",6,108,66,10,1,191,496
59038,"Vancouver Granville/Vancouver Granville"," 130","Vancouver",0,54,57,10,2,123,390
59038,"Vancouver Granville/Vancouver Granville"," 131","Vancouver",2,48,45,8,0,103,442
59038,"Vancouver Granville/Vancouver Granville"," 132","Vancouver",2,103,63,18,0,186,481
59038,"Vancouver Granville/Vancouver Granville"," 133","Vancouver",2,52,43,1,0,98,371
59038,"Vancouver Granville/Vancouver Granville"," 134","Vancouver",1,83,68,7,1,160,447
59038,"Vancouver Granville/Vancouver Granville"," 135","Vancouver",3,54,57,7,0,121,331
59038,"Vancouver Granville/Vancouver Granville"," 136","Vancouver",4,76,69,6,0,155,485
59038,"Vancouver Granville/Vancouver Granville"," 137","Vancouver",1,46,65,4,0,116,330
59038,"Vancouver Granville/Vancouver Granville"," 138","Vancouver",0,30,49,4,0,83,342
59038,"Vancouver Granville/Vancouver Granville"," 139","Vancouver",0,54,35,1,0,90,290
59038,"Vancouver Granville/Vancouver Granville"," 140","Vancouver",3,76,56,8,1,144,480
59038,"Vancouver Granville/Vancouver Granville"," 141","Vancouver",0,46,67,2,2,117,371
59038,"Vancouver Granville/Vancouver Granville"," 142","Vancouver",0,27,36,2,0,65,285
59038,"Vancouver Granville/Vancouver Granville"," 143","Vancouver",0,55,71,6,4,136,424
59038,"Vancouver Granville/Vancouver Granville"," 144","Vancouver",1,48,44,1,0,94,343
