Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Param Bhatti,Grant Cool,Robert Crooks,Ben Homer-Dixon,Stephanie McLean,David Schaafsma,Maja Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 93","Saanich",0,23,1,4,60,0,29,2,119,380
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 94","New Songhees 1A",2,46,1,9,79,0,66,0,203,604
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 95","View Royal",0,43,1,6,98,0,54,0,202,639
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 96","Esquimalt",0,60,1,3,54,1,22,0,141,417
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 97","Esquimalt",0,4,0,0,7,0,3,0,14,120
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 98","New Songhees 1A",0,50,1,2,81,0,49,1,184,578
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 99","New Songhees 1A",1,21,2,7,43,0,72,0,146,473
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 100","Colwood",2,61,0,4,77,0,37,0,181,409
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 101","Colwood",0,93,0,8,94,0,44,1,240,454
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 102","Colwood",0,83,1,2,82,0,42,2,212,422
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 103","Colwood",1,69,1,6,94,1,62,1,235,431
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 104","Colwood",0,62,0,4,91,0,39,1,197,561
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 105","Colwood",1,63,0,2,94,1,46,1,208,476
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 106","Saanich",0,27,0,3,47,1,31,1,110,396
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 107","Saanich",1,47,2,9,50,0,23,0,132,416
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 108","Saanich",1,21,0,2,73,0,29,0,126,450
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 109","Saanich",0,30,0,3,77,0,29,0,139,406
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 110","Saanich",0,31,0,2,65,1,34,0,133,411
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 111","Saanich",0,47,0,6,70,1,37,1,162,554
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 112","Saanich",2,32,2,1,52,0,32,0,121,418
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 113","Saanich",0,29,1,11,72,0,38,0,151,556
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 114","Sooke",0,80,0,9,58,2,15,0,164,592
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 115","Sooke",1,91,1,6,102,0,43,1,245,765
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 116","Sooke",1,57,0,4,80,0,29,0,171,503
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 117","Sooke",0,110,0,4,93,0,26,1,234,655
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 118","Sooke",0,65,0,6,58,0,36,0,165,553
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 119","Sooke",1,88,0,6,85,0,41,0,221,679
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 120","Sooke",2,68,0,7,58,0,35,0,170,581
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 121","Sooke",0,67,0,3,42,0,39,0,151,428
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 121-1","T'Sou-ke",Combined with No./Résultats combinés à ceux du n°121,,,,,,,,,179
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 122","Sooke",1,79,2,6,57,1,53,0,199,648
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 123","Sooke",1,81,1,3,62,0,21,0,169,669
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 124","Sooke",0,44,0,2,41,0,28,0,115,416
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 125","Saanich",1,46,1,5,72,2,28,1,156,463
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 126","Saanich",0,36,1,5,62,0,20,0,124,394
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 127","Saanich",1,43,0,7,68,0,47,0,166,503
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 128","Saanich",0,27,1,12,66,0,40,0,146,495
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 129","Saanich",1,29,0,5,73,0,39,0,147,401
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 130","Saanich",1,19,0,3,41,0,13,1,78,334
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 131","Saanich",0,31,0,4,61,0,34,0,130,447
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 132","Saanich",0,25,0,7,57,0,26,0,115,480
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 133","Saanich",0,37,0,9,85,0,34,1,166,510
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 134","Saanich",0,41,0,10,77,0,18,0,146,536
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 135","Saanich",2,41,0,16,89,0,52,1,201,776
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 136","Saanich",1,30,0,9,63,0,36,0,139,470
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 137","Saanich",0,21,1,6,78,1,26,0,133,496
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 138","Saanich",0,35,1,1,72,1,32,0,142,508
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 139","Saanich",0,25,0,8,78,0,25,1,137,381
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 140","Saanich",0,46,0,6,41,0,34,5,132,413
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 141","Saanich",1,25,0,2,56,1,34,0,119,490
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 142","Saanich",1,38,0,3,53,1,27,1,124,403
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 143","Saanich",0,22,1,4,36,1,35,0,99,447
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 144","Saanich",0,24,0,5,72,0,36,0,137,465
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 145","Saanich",0,40,0,6,46,1,41,0,134,411
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 146","Saanich",0,42,1,6,64,4,28,0,145,400
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 147","Saanich",0,31,1,8,59,1,28,0,128,408
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 148","Saanich",0,34,0,3,56,0,32,0,125,468
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 149","Esquimalt",3,19,0,1,61,0,42,0,126,436
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 150","Esquimalt",0,29,0,2,78,0,35,0,144,464
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 151","Esquimalt",0,34,0,1,56,0,28,0,119,461
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 152","Esquimalt",0,39,0,0,42,0,24,1,106,452
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 153","Esquimalt",1,28,1,6,64,0,45,0,145,508
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 154","Esquimalt",0,29,0,2,48,0,27,1,107,307
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 155","Esquimalt",1,48,0,4,81,1,43,1,179,379
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 156","Esquimalt",0,51,0,6,80,4,41,0,182,535
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 157","Esquimalt",0,49,0,6,73,2,74,3,207,436
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 158","Esquimalt",1,53,0,4,85,0,59,0,202,478
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 159","Colwood",0,67,0,4,92,0,22,0,185,533
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 160","Colwood",1,95,1,4,99,0,42,0,242,620
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 161","Colwood",1,78,0,9,94,0,29,0,211,530
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 162","Colwood",0,131,0,6,174,2,40,5,358,875
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 163","Colwood",0,95,1,3,108,0,24,0,231,590
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 164","Colwood",0,131,0,4,158,1,34,1,329,795
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 165","Colwood",0,122,0,2,139,0,19,0,282,872
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 166","Colwood",0,75,0,0,108,2,21,0,206,523
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 167","Esquimalt",2,49,0,2,73,0,56,1,183,561
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 168","Esquimalt",0,53,0,3,106,1,40,0,203,489
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 169","Esquimalt",0,28,0,3,69,0,40,0,140,526
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 170","Esquimalt",0,30,1,2,92,0,41,0,166,540
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 171","Esquimalt",0,30,0,1,55,0,30,0,116,433
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 172","Esquimalt",1,39,1,4,61,0,58,1,165,549
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 173","Esquimalt",1,40,1,7,54,0,33,0,136,410
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 174","Esquimalt",1,41,0,1,70,1,38,1,153,496
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 175","Esquimalt",0,44,0,14,68,1,40,1,168,511
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 176","Esquimalt",1,29,0,3,95,0,23,1,152,463
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 177","Esquimalt",0,46,1,3,79,0,34,0,163,546
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 178","Esquimalt",0,30,0,3,77,0,35,0,145,478
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 179","Esquimalt",0,30,0,1,64,0,31,0,126,420
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 180","Metchosin",0,47,0,3,56,0,21,0,127,398
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 181","Metchosin",0,57,0,9,56,1,29,0,152,399
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 182","Metchosin",0,26,0,3,49,0,10,0,88,351
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 183","Metchosin",0,42,0,6,75,0,24,0,147,384
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 184","Metchosin",0,39,0,5,76,0,24,0,144,387
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 185","Esquimalt",0,34,0,2,39,0,25,0,100,386
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 186","Esquimalt",0,23,0,6,68,0,39,2,138,424
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 187","Esquimalt",0,32,0,5,51,1,33,0,122,441
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 188","Esquimalt",1,29,0,3,63,0,37,0,133,390
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 189","Esquimalt",0,46,1,9,105,0,41,2,204,662
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 190","Esquimalt",0,57,0,4,78,1,31,0,171,551
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 191","Esquimalt",0,35,0,3,71,0,41,0,150,552
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 192","East Sooke",0,43,0,2,69,0,20,0,134,422
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 193","Sooke",0,63,0,3,73,0,18,0,157,496
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 194","East Sooke",1,40,1,2,68,0,32,0,144,371
