Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Britt Baumann,Chey Craik,Mike Gardiner,Tabitha Mukamusoni,Fraser Tolmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 514","Mobile poll/Bureau itinérant",18,11,0,24,68,1,122,125
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,,18
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 516","Mobile poll/Bureau itinérant",6,4,3,8,20,2,43,46
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,54
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 518","Moose Jaw",Combined with No./Résultats combinés à ceux du n°121,,,,,,,2
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 519","Mobile poll/Bureau itinérant",16,3,0,25,61,2,107,112
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,45
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,28
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 522","Moose Jaw",Combined with No./Résultats combinés à ceux du n°93,,,,,,,11
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 523","Mobile poll/Bureau itinérant",12,5,2,13,31,5,68,116
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 524","Mobile poll/Bureau itinérant",11,3,1,13,19,2,49,46
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,40
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 526","Mobile poll/Bureau itinérant",8,2,2,8,13,3,36,54
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 527","Mobile poll/Bureau itinérant",13,6,0,14,43,3,79,100
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 528","Mobile poll/Bureau itinérant",5,4,1,4,17,0,31,50
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 529","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,9
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 600","Whitecap",Combined with No./Résultats combinés à ceux du n°601,,,,,,,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 601","Dundurn",39,10,8,153,648,2,860,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 602","Colonsay",29,20,4,37,289,1,380,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 603","Lanigan",39,10,4,85,546,1,685,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 604","Watrous",66,21,4,144,670,7,912,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 605","Kenaston",1,2,4,8,72,0,87,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 606","Outlook",51,38,13,133,624,3,862,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 607","Davidson--Elbow",15,19,1,47,412,1,495,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 608","Semans--Nokomis",13,5,0,25,193,1,237,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 609","Strasbourg",34,10,5,137,521,1,708,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 610","Craik--Alice Beach",14,5,1,10,287,1,318,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 611","Marquis",12,5,1,28,181,0,227,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 612","Chaplin",7,5,1,17,211,0,241,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 613","Caronport",11,34,1,45,343,1,435,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 614","Moose Jaw No. 161",157,39,19,237,969,4,1425,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 615","Moose Jaw",92,25,3,292,791,3,1206,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 616","Moose Jaw",188,49,13,314,960,3,1527,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 617","Moose Jaw",131,30,7,225,531,0,924,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 618","Baildon No. 131",110,37,10,222,653,2,1034,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 619","Lumsden",22,6,1,74,268,0,371,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 620","Lumsden",62,18,5,214,667,0,966,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 621","Rouleau",18,10,1,75,384,0,488,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 622","Crestwynd",14,5,1,32,262,0,314,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 623","Gravelbourg",32,12,4,79,370,0,497,
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan",,Group 1/Groupe 1, 53,9,19,208,402,44,735,146
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan",,Group 2/Groupe 2, 301,68,22,627,1858,66,2942,
