Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Martin Champoux,François Choquette,François Fréchette,Ghada Jerbi,William Trottier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Drummond/Drummond"," 1","Sainte-Brigitte-des-Saults",63,6,61,38,2,4,174,298
24023,"Drummond/Drummond"," 2","Sainte-Brigitte-des-Saults",104,3,55,58,0,4,224,330
24023,"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",84,8,112,50,4,6,264,551
24023,"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",50,9,46,29,7,3,144,352
24023,"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",82,9,85,30,2,7,215,513
24023,"Drummond/Drummond"," 6","Notre-Dame-du-Bon-Conseil",72,13,55,22,4,8,174,367
24023,"Drummond/Drummond"," 7","Notre-Dame-du-Bon-Conseil",60,11,59,43,4,3,180,387
24023,"Drummond/Drummond"," 8","Drummondville",66,5,48,25,7,1,152,364
24023,"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",128,17,82,60,8,9,304,360
24023,"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",77,9,79,47,4,2,218,463
24023,"Drummond/Drummond"," 11","Drummondville",Combined with No./Résultats combinés à ceux du n°18,,,,,,,281
24023,"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",84,12,58,41,7,2,204,372
24023,"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",65,6,75,33,1,5,185,424
24023,"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",79,13,59,42,3,2,198,435
24023,"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",54,12,45,60,3,1,175,357
24023,"Drummond/Drummond"," 16","Saint-Cyrille-de-Wendover",58,7,61,51,2,4,183,445
24023,"Drummond/Drummond"," 17","Saint-Cyrille-de-Wendover",Combined with No./Résultats combinés à ceux du n°9,,,,,,,254
24023,"Drummond/Drummond"," 18","Saint-Cyrille-de-Wendover",115,7,82,46,5,7,262,363
24023,"Drummond/Drummond"," 19","Saint-Cyrille-de-Wendover",87,9,71,41,1,2,211,468
24023,"Drummond/Drummond"," 20","Saint-Pie-de-Guire",107,12,55,59,2,4,239,361
24023,"Drummond/Drummond"," 21","Saint-Bonaventure",102,11,85,63,4,0,265,417
24023,"Drummond/Drummond"," 22","Saint-Bonaventure",129,12,77,53,3,0,274,434
24023,"Drummond/Drummond"," 23","Saint-Lucien",73,10,72,40,7,9,211,436
24023,"Drummond/Drummond"," 24","Saint-Lucien",77,7,49,21,4,6,164,326
24023,"Drummond/Drummond"," 25","Saint-Lucien",79,10,71,35,7,5,207,434
24023,"Drummond/Drummond"," 26","Saint-Majorique",91,0,30,42,2,1,166,300
24023,"Drummond/Drummond"," 27","Saint-Majorique",88,6,77,67,4,7,249,410
24023,"Drummond/Drummond"," 28","Saint-Majorique",82,3,56,40,3,5,189,334
24023,"Drummond/Drummond"," 29","Drummondville",82,9,50,68,9,4,222,532
24023,"Drummond/Drummond"," 30","Drummondville",70,9,49,56,1,6,191,448
24023,"Drummond/Drummond"," 31","Drummondville",90,5,34,30,5,5,169,487
24023,"Drummond/Drummond"," 32","Drummondville",52,7,52,22,2,3,138,466
24023,"Drummond/Drummond"," 33","Drummondville",74,11,51,20,5,6,167,437
24023,"Drummond/Drummond"," 34","Drummondville",88,10,58,46,7,5,214,582
24023,"Drummond/Drummond"," 35","Drummondville",79,7,50,28,1,4,169,446
24023,"Drummond/Drummond"," 36","Drummondville",89,9,43,47,3,1,192,445
24023,"Drummond/Drummond"," 37","Drummondville",79,9,30,50,0,2,170,407
24023,"Drummond/Drummond"," 38","Drummondville",72,10,43,67,2,0,194,444
24023,"Drummond/Drummond"," 39","Drummondville",80,6,65,51,0,6,208,435
24023,"Drummond/Drummond"," 40","Drummondville",74,8,39,46,1,5,173,435
24023,"Drummond/Drummond"," 41","Drummondville",62,4,37,44,5,2,154,378
24023,"Drummond/Drummond"," 42","Drummondville",89,11,44,43,4,9,200,415
24023,"Drummond/Drummond"," 43","Drummondville",95,9,53,36,4,1,198,536
24023,"Drummond/Drummond"," 44","Drummondville",87,7,35,65,0,4,198,419
24023,"Drummond/Drummond"," 45","Drummondville",98,11,56,100,3,0,268,604
24023,"Drummond/Drummond"," 46","Drummondville",84,12,24,72,11,1,204,477
24023,"Drummond/Drummond"," 47","Drummondville",62,16,24,52,3,2,159,443
24023,"Drummond/Drummond"," 48","Drummondville",Combined with No./Résultats combinés à ceux du n°51,,,,,,,169
24023,"Drummond/Drummond"," 49","Drummondville",75,43,6,46,2,4,176,394
24023,"Drummond/Drummond"," 50","Drummondville",64,9,26,45,1,2,147,385
24023,"Drummond/Drummond"," 51","Drummondville",96,14,38,74,1,6,229,371
24023,"Drummond/Drummond"," 52","Drummondville",77,4,69,37,5,3,195,437
24023,"Drummond/Drummond"," 53","Drummondville",74,4,44,59,0,3,184,416
24023,"Drummond/Drummond"," 54","Drummondville",92,12,38,55,1,2,200,467
24023,"Drummond/Drummond"," 55","Drummondville",51,6,22,37,0,2,118,388
24023,"Drummond/Drummond"," 56A","Drummondville",63,11,16,36,1,3,130,342
24023,"Drummond/Drummond"," 56B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,71
24023,"Drummond/Drummond"," 57","Drummondville",42,8,12,18,4,5,89,346
24023,"Drummond/Drummond"," 58","Drummondville",49,11,32,25,5,4,126,475
24023,"Drummond/Drummond"," 59","Drummondville",67,7,20,38,5,4,141,441
24023,"Drummond/Drummond"," 60","Drummondville",61,2,14,47,1,6,131,447
24023,"Drummond/Drummond"," 61","Drummondville",88,10,20,99,1,18,236,342
24023,"Drummond/Drummond"," 62","Drummondville",Combined with No./Résultats combinés à ceux du n°71,,,,,,,359
24023,"Drummond/Drummond"," 63","Drummondville",47,8,14,37,1,2,109,379
24023,"Drummond/Drummond"," 64","Drummondville",89,7,46,82,1,4,229,550
24023,"Drummond/Drummond"," 65","Drummondville",44,3,22,30,4,1,104,363
24023,"Drummond/Drummond"," 66","Drummondville",Combined with No./Résultats combinés à ceux du n°126,,,,,,,291
24023,"Drummond/Drummond"," 67","Drummondville",53,6,29,62,0,1,151,408
24023,"Drummond/Drummond"," 68","Drummondville",35,6,30,23,0,8,102,399
24023,"Drummond/Drummond"," 69","Drummondville",48,5,19,31,1,0,104,430
24023,"Drummond/Drummond"," 70","Drummondville",71,6,35,51,0,5,168,533
24023,"Drummond/Drummond"," 71","Drummondville",99,10,30,84,3,3,229,333
24023,"Drummond/Drummond"," 72","Drummondville",49,10,28,48,3,2,140,465
24023,"Drummond/Drummond"," 73","Drummondville",28,6,25,21,1,1,82,343
24023,"Drummond/Drummond"," 74","Drummondville",61,8,51,78,2,2,202,448
24023,"Drummond/Drummond"," 75","Drummondville",58,2,48,47,1,3,159,387
24023,"Drummond/Drummond"," 76","Drummondville",51,3,46,56,1,4,161,354
24023,"Drummond/Drummond"," 77","Drummondville",64,6,33,50,1,3,157,365
24023,"Drummond/Drummond"," 78","Drummondville",37,5,31,28,0,9,110,327
24023,"Drummond/Drummond"," 79","Drummondville",60,11,28,23,3,1,126,368
24023,"Drummond/Drummond"," 80","Drummondville",Combined with No./Résultats combinés à ceux du n°93,,,,,,,293
24023,"Drummond/Drummond"," 81","Drummondville",47,7,26,29,2,0,111,346
24023,"Drummond/Drummond"," 82","Drummondville",38,5,26,26,2,9,106,366
