Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 87","Beaverley",4,2,134,43,0,0,2,1,186,437
59004,"Cariboo--Prince George/Cariboo--Prince George"," 88","Beaverley",9,3,152,54,1,0,1,1,221,508
59004,"Cariboo--Prince George/Cariboo--Prince George"," 89","Beaverley",6,3,83,29,0,1,0,0,122,324
59004,"Cariboo--Prince George/Cariboo--Prince George"," 90","Beaverley",1,1,59,25,0,1,0,0,87,200
59004,"Cariboo--Prince George/Cariboo--Prince George"," 91","Beaverley",4,1,84,15,1,2,0,0,107,261
59004,"Cariboo--Prince George/Cariboo--Prince George"," 92","Telachick",9,1,123,25,4,0,3,2,167,373
59004,"Cariboo--Prince George/Cariboo--Prince George"," 93","Baldy Hughes",4,1,100,39,0,1,0,0,145,326
59004,"Cariboo--Prince George/Cariboo--Prince George"," 94","Anahim Lake",37,7,122,57,1,1,4,5,234,262
59004,"Cariboo--Prince George/Cariboo--Prince George"," 94-1","Squinas 2--Ulkatcho 14A",Combined with No./Résultats combinés à ceux du n°94,,,,,,,,,205
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95","Nazko",3,0,59,15,1,0,0,0,78,150
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95-1","Kluskus 1",Combined with No./Résultats combinés à ceux du n°95,,,,,,,,,1
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95-2","Nazko 20",Combined with No./Résultats combinés à ceux du n°95,,,,,,,,,69
59004,"Cariboo--Prince George/Cariboo--Prince George"," 95-3","Betty Creek 18--Salmon River Meadow 7",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 96","Strathnaver",11,7,300,46,6,2,1,0,373,633
59004,"Cariboo--Prince George/Cariboo--Prince George"," 97","Blackwater",19,4,120,53,1,1,0,0,198,423
59004,"Cariboo--Prince George/Cariboo--Prince George"," 98","Quesnel",12,2,153,44,0,0,0,0,211,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 99","Quesnel",9,6,183,32,0,0,0,0,230,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 100","Quesnel",3,7,163,47,0,2,0,0,222,505
59004,"Cariboo--Prince George/Cariboo--Prince George"," 101","Baker Creek",10,8,115,26,2,0,0,1,162,370
59004,"Cariboo--Prince George/Cariboo--Prince George"," 102A","Quesnel",6,2,55,26,0,0,0,0,89,376
59004,"Cariboo--Prince George/Cariboo--Prince George"," 102B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°107B,,,,,,,,,0
59004,"Cariboo--Prince George/Cariboo--Prince George"," 103","Quesnel",14,10,69,42,0,3,0,2,140,524
59004,"Cariboo--Prince George/Cariboo--Prince George"," 104","Quesnel",9,1,95,40,0,0,0,0,145,507
59004,"Cariboo--Prince George/Cariboo--Prince George"," 105","Quesnel",7,1,66,45,0,0,0,0,119,428
59004,"Cariboo--Prince George/Cariboo--Prince George"," 106","Quesnel",8,4,78,46,1,0,0,3,140,408
59004,"Cariboo--Prince George/Cariboo--Prince George"," 107A","Cariboo A",4,3,161,54,0,2,0,0,224,542
59004,"Cariboo--Prince George/Cariboo--Prince George"," 107B","Mobile poll/Bureau itinérant",2,1,12,3,0,1,0,0,19,5
59004,"Cariboo--Prince George/Cariboo--Prince George"," 108","Red Bluff",7,1,127,53,1,1,0,0,190,466
59004,"Cariboo--Prince George/Cariboo--Prince George"," 109","Cariboo A",4,4,99,27,2,0,0,1,137,406
59004,"Cariboo--Prince George/Cariboo--Prince George"," 110","Quesnel",10,4,109,34,2,1,0,0,160,378
59004,"Cariboo--Prince George/Cariboo--Prince George"," 110-1","Quesnel 1--Dragon Lake 3",Combined with No./Résultats combinés à ceux du n°110,,,,,,,,,90
59004,"Cariboo--Prince George/Cariboo--Prince George"," 111","Rich Bar",0,0,82,19,0,0,1,0,102,268
59004,"Cariboo--Prince George/Cariboo--Prince George"," 112","Rich Bar",9,2,99,32,1,0,0,2,145,335
59004,"Cariboo--Prince George/Cariboo--Prince George"," 113","Rich Bar",7,1,106,28,1,2,0,1,146,334
59004,"Cariboo--Prince George/Cariboo--Prince George"," 114","Quesnel",5,5,76,47,1,2,1,2,139,456
59004,"Cariboo--Prince George/Cariboo--Prince George"," 115","Quesnel",16,5,95,59,3,2,0,0,180,525
59004,"Cariboo--Prince George/Cariboo--Prince George"," 116","Quesnel",5,3,99,45,0,0,0,0,152,474
59004,"Cariboo--Prince George/Cariboo--Prince George"," 117","Quesnel",13,1,102,42,1,2,0,4,165,508
59004,"Cariboo--Prince George/Cariboo--Prince George"," 118","Quesnel",6,1,80,38,1,5,1,0,132,407
59004,"Cariboo--Prince George/Cariboo--Prince George"," 119","Quesnel",20,5,70,37,1,1,0,0,134,507
59004,"Cariboo--Prince George/Cariboo--Prince George"," 120","Quesnel",13,5,68,31,1,1,0,1,120,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 121","Quesnel 1",15,1,69,27,0,1,0,0,113,347
59004,"Cariboo--Prince George/Cariboo--Prince George"," 122","Quesnel View",8,4,149,46,3,2,2,2,216,474
59004,"Cariboo--Prince George/Cariboo--Prince George"," 123","Quesnel View",13,8,146,43,3,1,1,1,216,553
59004,"Cariboo--Prince George/Cariboo--Prince George"," 124","Moose Heights",9,2,155,36,1,3,1,0,207,521
59004,"Cariboo--Prince George/Cariboo--Prince George"," 125","Ten Mile Lake",5,0,142,31,1,0,0,1,180,412
59004,"Cariboo--Prince George/Cariboo--Prince George"," 126","Barlow Creek",13,4,119,38,0,2,0,0,176,332
59004,"Cariboo--Prince George/Cariboo--Prince George"," 127","Barlow Creek",8,4,140,25,2,0,1,1,181,409
59004,"Cariboo--Prince George/Cariboo--Prince George"," 128","Barlow",12,3,116,42,2,0,0,0,175,354
59004,"Cariboo--Prince George/Cariboo--Prince George"," 129","Wells",15,1,47,62,1,0,0,0,126,229
59004,"Cariboo--Prince George/Cariboo--Prince George"," 130","Quesnel",10,2,103,44,1,0,0,1,161,387
59004,"Cariboo--Prince George/Cariboo--Prince George"," 131","Quesnel",11,4,107,75,1,0,0,1,199,419
59004,"Cariboo--Prince George/Cariboo--Prince George"," 132","Quesnel",9,0,107,70,2,1,0,0,189,429
59004,"Cariboo--Prince George/Cariboo--Prince George"," 133","Cariboo A",9,2,129,50,0,0,3,2,195,460
59004,"Cariboo--Prince George/Cariboo--Prince George"," 134","Cariboo A",10,3,138,65,0,3,0,2,221,569
59004,"Cariboo--Prince George/Cariboo--Prince George"," 135","Cariboo A",9,3,120,58,0,0,0,0,190,420
59004,"Cariboo--Prince George/Cariboo--Prince George"," 136","Gravelle Ferry",8,6,163,76,2,1,2,0,258,524
59004,"Cariboo--Prince George/Cariboo--Prince George"," 137","Kersley",17,4,202,57,2,3,0,1,286,545
59004,"Cariboo--Prince George/Cariboo--Prince George"," 138","Alexandria",10,3,154,40,0,2,0,0,209,430
59004,"Cariboo--Prince George/Cariboo--Prince George"," 138-1","Alexandria",Void/Supprimé,,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139A","Chilanko Forks",11,2,45,85,1,0,0,0,144,175
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139B","Chilanko Forks",4,5,36,29,1,1,1,1,78,153
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139-1A","Anahim's Flat 1",Combined with No./Résultats combinés à ceux du n°139A,,,,,,,,,135
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139-1B","Anahim's Flat 1",Combined with No./Résultats combinés à ceux du n°139B,,,,,,,,,34
59004,"Cariboo--Prince George/Cariboo--Prince George"," 139-2","Redstone Flat 1",Combined with No./Résultats combinés à ceux du n°139B,,,,,,,,,46
59004,"Cariboo--Prince George/Cariboo--Prince George"," 140","Narcosli Creek",0,0,44,8,1,0,0,0,53,366
59004,"Cariboo--Prince George/Cariboo--Prince George"," 140-1","Alexandria",Combined with No./Résultats combinés à ceux du n°140,,,,,,,,,4
59004,"Cariboo--Prince George/Cariboo--Prince George"," 141","Tatla Lake",2,4,76,28,0,0,0,1,111,194
59004,"Cariboo--Prince George/Cariboo--Prince George"," 142","McLeese Lake",8,6,169,42,1,1,2,5,234,375
59004,"Cariboo--Prince George/Cariboo--Prince George"," 143","Big Lake Ranch",19,9,239,94,2,3,1,1,368,570
59004,"Cariboo--Prince George/Cariboo--Prince George"," 144","Likely",7,2,163,39,1,0,0,0,212,357
59004,"Cariboo--Prince George/Cariboo--Prince George"," 145","Hawks",16,5,134,55,2,0,0,1,213,379
59004,"Cariboo--Prince George/Cariboo--Prince George"," 145-1","Soda Creek 1--Deep Creek 2",Combined with No./Résultats combinés à ceux du n°145,,,,,,,,,98
59004,"Cariboo--Prince George/Cariboo--Prince George"," 146","Williams Lake",6,5,128,23,0,2,0,1,165,496
59004,"Cariboo--Prince George/Cariboo--Prince George"," 147","Williams Lake",11,3,103,48,1,0,0,1,167,427
59004,"Cariboo--Prince George/Cariboo--Prince George"," 148","Williams Lake",9,3,113,32,1,1,2,1,162,465
59004,"Cariboo--Prince George/Cariboo--Prince George"," 149","Williams Lake",11,2,78,34,2,1,0,1,129,420
59004,"Cariboo--Prince George/Cariboo--Prince George"," 150","Williams Lake",7,5,55,15,0,0,0,1,83,325
59004,"Cariboo--Prince George/Cariboo--Prince George"," 151","Williams Lake",6,6,61,22,1,0,0,2,98,402
59004,"Cariboo--Prince George/Cariboo--Prince George"," 152","Williams Lake",12,6,97,59,3,1,0,0,178,435
59004,"Cariboo--Prince George/Cariboo--Prince George"," 153","Williams Lake",7,5,145,55,2,0,1,0,215,470
59004,"Cariboo--Prince George/Cariboo--Prince George"," 154","Williams Lake",7,2,84,31,0,1,0,0,125,407
59004,"Cariboo--Prince George/Cariboo--Prince George"," 155","Williams Lake",18,2,102,45,1,0,0,4,172,642
59004,"Cariboo--Prince George/Cariboo--Prince George"," 156","Williams Lake",14,4,103,47,3,1,0,1,173,517
59004,"Cariboo--Prince George/Cariboo--Prince George"," 157","Williams Lake",14,2,81,54,2,0,1,0,154,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 158","Williams Lake",10,5,81,35,3,0,0,1,135,359
59004,"Cariboo--Prince George/Cariboo--Prince George"," 159","Williams Lake",11,0,79,30,3,0,1,1,125,469
59004,"Cariboo--Prince George/Cariboo--Prince George"," 160","Hanceville",8,4,17,46,0,0,1,0,76,165
59004,"Cariboo--Prince George/Cariboo--Prince George"," 160-1","Stone 1",Combined with No./Résultats combinés à ceux du n°160,,,,,,,,,79
59004,"Cariboo--Prince George/Cariboo--Prince George"," 161","Williams Lake",10,4,90,33,0,0,0,9,146,442
