Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 207","One Hundred Mile House",15,3,76,26,2,1,0,0,123,450
59004,"Cariboo--Prince George/Cariboo--Prince George"," 208","100 Mile House",11,5,93,30,2,1,0,1,143,481
59004,"Cariboo--Prince George/Cariboo--Prince George"," 209","93 Mile",6,1,92,14,0,0,0,0,113,378
59004,"Cariboo--Prince George/Cariboo--Prince George"," 210","Horse Lake",9,0,72,23,2,0,0,1,107,389
59004,"Cariboo--Prince George/Cariboo--Prince George"," 211","Horse Lake",4,2,74,20,7,0,0,0,107,390
59004,"Cariboo--Prince George/Cariboo--Prince George"," 212","Horse Lake",8,3,91,36,2,1,0,0,141,464
59004,"Cariboo--Prince George/Cariboo--Prince George"," 213","Horse Lake",10,2,90,55,1,0,0,0,158,438
59004,"Cariboo--Prince George/Cariboo--Prince George"," 214","Lone Butte",7,2,120,41,2,0,0,1,173,469
59004,"Cariboo--Prince George/Cariboo--Prince George"," 215","Lone Butte",3,2,102,39,1,0,0,0,147,353
59004,"Cariboo--Prince George/Cariboo--Prince George"," 216","70 Mile House",1,1,31,19,0,0,0,0,52,165
59004,"Cariboo--Prince George/Cariboo--Prince George"," 217","Deka Lake",19,4,81,64,1,0,1,0,170,422
59004,"Cariboo--Prince George/Cariboo--Prince George"," 218","Interlakes",14,1,132,59,0,1,0,1,208,443
59004,"Cariboo--Prince George/Cariboo--Prince George"," 219","Bridge Lake",15,3,146,67,3,0,0,0,234,478
59004,"Cariboo--Prince George/Cariboo--Prince George"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,13
59004,"Cariboo--Prince George/Cariboo--Prince George"," 501","Dog Creek",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,,3
59004,"Cariboo--Prince George/Cariboo--Prince George"," 502","Mobile poll/Bureau itinérant",4,1,22,6,0,0,1,0,34,19
59004,"Cariboo--Prince George/Cariboo--Prince George"," 503","Mobile poll/Bureau itinérant",6,3,28,39,2,1,0,1,80,123
59004,"Cariboo--Prince George/Cariboo--Prince George"," 504","Mobile poll/Bureau itinérant",1,1,8,3,1,0,0,1,15,4
59004,"Cariboo--Prince George/Cariboo--Prince George"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,14
59004,"Cariboo--Prince George/Cariboo--Prince George"," 506","Prince George",Combined with No./Résultats combinés à ceux du n°51A,,,,,,,,,3
59004,"Cariboo--Prince George/Cariboo--Prince George"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,34
59004,"Cariboo--Prince George/Cariboo--Prince George"," 508","Quesnel",Combined with No./Résultats combinés à ceux du n°102A,,,,,,,,,18
59004,"Cariboo--Prince George/Cariboo--Prince George"," 509","Quesnel",Combined with No./Résultats combinés à ceux du n°102A,,,,,,,,,7
59004,"Cariboo--Prince George/Cariboo--Prince George"," 510","Quesnel",Combined with No./Résultats combinés à ceux du n°102A,,,,,,,,,15
59004,"Cariboo--Prince George/Cariboo--Prince George"," 511","Mobile poll/Bureau itinérant",3,1,20,11,0,2,1,0,38,37
59004,"Cariboo--Prince George/Cariboo--Prince George"," 512","Mobile poll/Bureau itinérant",14,6,66,47,2,2,3,0,140,215
59004,"Cariboo--Prince George/Cariboo--Prince George"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,26
59004,"Cariboo--Prince George/Cariboo--Prince George"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,,20
59004,"Cariboo--Prince George/Cariboo--Prince George"," 515","Mobile poll/Bureau itinérant",7,4,22,19,1,0,1,3,57,62
