Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ava Becker,Lisa Bradburn,John Goheen,Philip Lawrence,Jody Ledgerwood,John Wesselius,Christina Marie Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Northumberland--Clarke/Northumberland--Clarke"," 1","Trent Hills",Combined with No./Résultats combinés à ceux du n°18,,,,,,,,,360
35074,"Northumberland--Clarke/Northumberland--Clarke"," 2","Trent Hills",17,6,120,186,3,1,1,4,338,455
35074,"Northumberland--Clarke/Northumberland--Clarke"," 3","Trent Hills",9,3,74,97,1,0,3,0,187,529
35074,"Northumberland--Clarke/Northumberland--Clarke"," 4","Trent Hills",7,2,52,78,0,2,1,0,142,394
35074,"Northumberland--Clarke/Northumberland--Clarke"," 5","Trent Hills",6,0,62,114,0,0,0,0,182,490
35074,"Northumberland--Clarke/Northumberland--Clarke"," 6","Trent Hills",7,1,51,60,0,0,4,0,123,398
35074,"Northumberland--Clarke/Northumberland--Clarke"," 7","Trent Hills",9,3,40,66,0,0,3,2,123,421
35074,"Northumberland--Clarke/Northumberland--Clarke"," 8","Trent Hills",7,2,74,115,0,1,1,0,200,532
35074,"Northumberland--Clarke/Northumberland--Clarke"," 9","Trent Hills",9,3,50,99,2,0,0,0,163,361
35074,"Northumberland--Clarke/Northumberland--Clarke"," 10","Trent Hills",6,0,36,66,0,0,1,0,109,329
35074,"Northumberland--Clarke/Northumberland--Clarke"," 11","Trent Hills",13,0,49,77,2,0,0,0,141,355
35074,"Northumberland--Clarke/Northumberland--Clarke"," 12","Trent Hills",8,1,70,72,4,0,2,0,157,477
35074,"Northumberland--Clarke/Northumberland--Clarke"," 13","Trent Hills",5,2,27,59,0,0,1,0,94,339
35074,"Northumberland--Clarke/Northumberland--Clarke"," 14","Trent Hills",1,0,23,43,0,1,2,0,70,215
35074,"Northumberland--Clarke/Northumberland--Clarke"," 15","Trent Hills",8,1,29,51,0,0,4,0,93,355
35074,"Northumberland--Clarke/Northumberland--Clarke"," 16","Trent Hills",5,0,36,67,1,0,1,0,110,431
35074,"Northumberland--Clarke/Northumberland--Clarke"," 17","Trent Hills",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,,307
35074,"Northumberland--Clarke/Northumberland--Clarke"," 18","Trent Hills",17,9,135,179,0,0,3,0,343,455
35074,"Northumberland--Clarke/Northumberland--Clarke"," 19","Trent Hills",Combined with No./Résultats combinés à ceux du n°18,,,,,,,,,221
35074,"Northumberland--Clarke/Northumberland--Clarke"," 20","Trent Hills",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,,376
35074,"Northumberland--Clarke/Northumberland--Clarke"," 21","Trent Hills",7,0,52,94,0,0,3,0,156,529
35074,"Northumberland--Clarke/Northumberland--Clarke"," 22","Trent Hills",8,1,42,65,1,2,5,0,124,452
35074,"Northumberland--Clarke/Northumberland--Clarke"," 23","Hastings",1,1,70,120,2,2,1,0,197,634
35074,"Northumberland--Clarke/Northumberland--Clarke"," 24","Trent Hills",3,5,60,81,3,0,3,1,156,484
35074,"Northumberland--Clarke/Northumberland--Clarke"," 25","Trent Hills",9,7,58,104,1,1,2,0,182,538
35074,"Northumberland--Clarke/Northumberland--Clarke"," 26","Trent Hills",8,3,61,91,0,0,2,2,167,508
35074,"Northumberland--Clarke/Northumberland--Clarke"," 27A","Trent Hills",2,1,31,57,1,0,1,0,93,333
35074,"Northumberland--Clarke/Northumberland--Clarke"," 27B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,23
35074,"Northumberland--Clarke/Northumberland--Clarke"," 28","Trent Hills",0,4,47,82,0,0,0,0,133,425
35074,"Northumberland--Clarke/Northumberland--Clarke"," 29","Trent Hills",7,4,48,77,1,0,2,0,139,451
35074,"Northumberland--Clarke/Northumberland--Clarke"," 30","Trent Hills",5,0,38,84,2,0,0,0,129,409
35074,"Northumberland--Clarke/Northumberland--Clarke"," 31","Brighton",13,3,49,106,0,1,1,3,176,435
35074,"Northumberland--Clarke/Northumberland--Clarke"," 32","Brighton",7,4,35,99,0,0,1,0,146,366
35074,"Northumberland--Clarke/Northumberland--Clarke"," 33","Brighton",5,5,46,90,0,1,6,2,155,428
35074,"Northumberland--Clarke/Northumberland--Clarke"," 34","Brighton",3,0,41,77,0,0,2,0,123,331
35074,"Northumberland--Clarke/Northumberland--Clarke"," 35","Alnwick/Haldimand",6,2,71,155,0,1,4,0,239,458
35074,"Northumberland--Clarke/Northumberland--Clarke"," 36","Alnwick/Haldimand",8,7,79,132,1,0,3,0,230,419
35074,"Northumberland--Clarke/Northumberland--Clarke"," 37","Alnwick/Haldimand",13,2,90,145,0,0,1,0,251,396
35074,"Northumberland--Clarke/Northumberland--Clarke"," 38","Alderville First Nation",19,1,122,97,1,0,3,0,243,433
35074,"Northumberland--Clarke/Northumberland--Clarke"," 39","Cramahe",7,1,42,103,0,2,0,0,155,423
35074,"Northumberland--Clarke/Northumberland--Clarke"," 40","Cramahe",7,5,73,123,0,2,3,0,213,448
35074,"Northumberland--Clarke/Northumberland--Clarke"," 41","Cramahe",7,5,83,135,0,2,5,1,238,462
35074,"Northumberland--Clarke/Northumberland--Clarke"," 42","Hamilton",5,3,54,133,1,0,0,0,196,374
35074,"Northumberland--Clarke/Northumberland--Clarke"," 43","Hamilton",5,6,75,99,1,0,2,2,190,352
35074,"Northumberland--Clarke/Northumberland--Clarke"," 44","Hamilton",8,4,65,99,2,0,5,0,183,350
35074,"Northumberland--Clarke/Northumberland--Clarke"," 45","Brighton",9,0,72,95,1,0,0,0,177,411
35074,"Northumberland--Clarke/Northumberland--Clarke"," 46","Brighton",3,1,26,61,0,0,2,0,93,350
35074,"Northumberland--Clarke/Northumberland--Clarke"," 47","Brighton",7,1,53,104,1,2,1,1,170,453
35074,"Northumberland--Clarke/Northumberland--Clarke"," 48","Brighton",7,2,63,77,0,0,1,1,151,441
35074,"Northumberland--Clarke/Northumberland--Clarke"," 49","Brighton",5,1,37,96,0,0,2,0,141,472
35074,"Northumberland--Clarke/Northumberland--Clarke"," 50","Brighton",1,4,44,51,0,1,0,0,101,336
35074,"Northumberland--Clarke/Northumberland--Clarke"," 51","Brighton",9,2,47,57,0,0,1,0,116,457
35074,"Northumberland--Clarke/Northumberland--Clarke"," 52","Brighton",3,1,44,52,0,0,0,0,100,345
35074,"Northumberland--Clarke/Northumberland--Clarke"," 53","Alnwick/Haldimand",7,2,83,113,0,0,0,0,205,452
35074,"Northumberland--Clarke/Northumberland--Clarke"," 54","Alnwick/Haldimand",10,0,64,112,1,0,1,0,188,424
35074,"Northumberland--Clarke/Northumberland--Clarke"," 55","Alnwick/Haldimand",6,0,27,51,0,3,1,1,89,307
35074,"Northumberland--Clarke/Northumberland--Clarke"," 56","Alnwick/Haldimand",4,1,56,119,0,3,0,1,184,430
35074,"Northumberland--Clarke/Northumberland--Clarke"," 57","Alnwick/Haldimand",5,1,55,116,1,0,1,0,179,394
35074,"Northumberland--Clarke/Northumberland--Clarke"," 58","Alnwick/Haldimand",4,1,37,102,2,0,3,0,149,443
35074,"Northumberland--Clarke/Northumberland--Clarke"," 59","Brighton",2,1,58,54,0,0,1,1,117,469
35074,"Northumberland--Clarke/Northumberland--Clarke"," 60","Brighton",5,1,34,39,0,0,3,1,83,359
35074,"Northumberland--Clarke/Northumberland--Clarke"," 61","Brighton",8,0,53,65,1,0,3,0,130,471
35074,"Northumberland--Clarke/Northumberland--Clarke"," 62","Brighton",6,0,35,49,0,0,0,0,90,363
35074,"Northumberland--Clarke/Northumberland--Clarke"," 63","Brighton",6,1,41,67,1,0,5,0,121,366
35074,"Northumberland--Clarke/Northumberland--Clarke"," 64","Brighton",7,2,68,74,0,0,1,0,152,431
35074,"Northumberland--Clarke/Northumberland--Clarke"," 65","Brighton",2,1,65,57,1,0,2,0,128,379
35074,"Northumberland--Clarke/Northumberland--Clarke"," 66","Brighton",1,0,70,61,3,1,3,1,140,481
35074,"Northumberland--Clarke/Northumberland--Clarke"," 67","Brighton",5,0,55,55,0,0,2,0,117,528
35074,"Northumberland--Clarke/Northumberland--Clarke"," 68","Brighton",13,0,56,92,1,1,2,3,168,530
35074,"Northumberland--Clarke/Northumberland--Clarke"," 69","Brighton",2,0,49,43,0,0,5,1,100,411
35074,"Northumberland--Clarke/Northumberland--Clarke"," 70","Brighton",4,1,55,90,0,0,2,0,152,422
35074,"Northumberland--Clarke/Northumberland--Clarke"," 71A","Brighton",3,2,72,61,0,0,3,1,142,442
35074,"Northumberland--Clarke/Northumberland--Clarke"," 71B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,120
35074,"Northumberland--Clarke/Northumberland--Clarke"," 72","Cramahe",8,6,56,114,2,0,1,1,188,468
35074,"Northumberland--Clarke/Northumberland--Clarke"," 73","Brighton",7,1,56,56,0,0,2,0,122,434
35074,"Northumberland--Clarke/Northumberland--Clarke"," 74","Cramahe",1,2,64,108,1,0,2,1,179,435
35074,"Northumberland--Clarke/Northumberland--Clarke"," 75","Colborne",5,2,48,109,1,0,2,0,167,484
35074,"Northumberland--Clarke/Northumberland--Clarke"," 76","Cramahe",8,3,50,77,0,0,2,1,141,393
35074,"Northumberland--Clarke/Northumberland--Clarke"," 77","Cramahe",6,1,69,86,1,0,3,0,166,503
35074,"Northumberland--Clarke/Northumberland--Clarke"," 78","Cramahe",3,4,57,117,3,0,0,0,184,455
35074,"Northumberland--Clarke/Northumberland--Clarke"," 79","Cramahe",8,4,76,161,1,0,5,2,257,517
35074,"Northumberland--Clarke/Northumberland--Clarke"," 80","Cramahe",6,1,62,80,2,0,2,0,153,446
35074,"Northumberland--Clarke/Northumberland--Clarke"," 81","Alnwick/Haldimand",7,1,33,65,3,0,2,0,111,354
35074,"Northumberland--Clarke/Northumberland--Clarke"," 82","Cramahe",3,3,44,96,2,0,4,3,155,485
35074,"Northumberland--Clarke/Northumberland--Clarke"," 83","Colborne",8,0,46,90,2,0,2,1,149,422
35074,"Northumberland--Clarke/Northumberland--Clarke"," 84","Hamilton",9,2,68,89,0,1,2,0,171,460
35074,"Northumberland--Clarke/Northumberland--Clarke"," 85","Bewdley",5,0,54,80,0,0,4,0,143,372
35074,"Northumberland--Clarke/Northumberland--Clarke"," 86","Bewdley",10,3,36,97,0,0,0,1,147,378
35074,"Northumberland--Clarke/Northumberland--Clarke"," 87","Hamilton",6,1,70,85,1,0,3,0,166,446
35074,"Northumberland--Clarke/Northumberland--Clarke"," 88","Port Hope",3,2,70,125,1,0,5,0,206,412
35074,"Northumberland--Clarke/Northumberland--Clarke"," 89","Hamilton",11,1,62,85,1,0,3,0,163,378
35074,"Northumberland--Clarke/Northumberland--Clarke"," 90","Hamilton",6,2,42,84,1,0,2,2,139,366
35074,"Northumberland--Clarke/Northumberland--Clarke"," 91","Port Hope",2,0,67,130,1,0,3,1,204,475
35074,"Northumberland--Clarke/Northumberland--Clarke"," 92","Hamilton",8,3,58,80,2,0,1,0,152,439
35074,"Northumberland--Clarke/Northumberland--Clarke"," 93","Alnwick/Haldimand",1,1,58,70,0,0,1,0,131,362
35074,"Northumberland--Clarke/Northumberland--Clarke"," 94","Hamilton",4,1,61,96,1,0,3,0,166,417
35074,"Northumberland--Clarke/Northumberland--Clarke"," 95","Hamilton",5,0,62,128,2,0,0,0,197,448
35074,"Northumberland--Clarke/Northumberland--Clarke"," 96","Hamilton",9,1,82,173,4,2,2,0,273,489
35074,"Northumberland--Clarke/Northumberland--Clarke"," 97","Hamilton",3,0,64,65,2,0,1,1,136,429
35074,"Northumberland--Clarke/Northumberland--Clarke"," 98","Hamilton",1,2,58,109,0,1,1,0,172,458
35074,"Northumberland--Clarke/Northumberland--Clarke"," 99","Hamilton",6,8,40,133,0,0,1,1,189,518
35074,"Northumberland--Clarke/Northumberland--Clarke"," 100","Hamilton",3,1,56,87,0,0,2,1,150,500
35074,"Northumberland--Clarke/Northumberland--Clarke"," 101","Hamilton",5,0,64,87,1,0,0,0,157,376
35074,"Northumberland--Clarke/Northumberland--Clarke"," 102","Alnwick/Haldimand",4,2,72,102,0,1,1,1,183,344
35074,"Northumberland--Clarke/Northumberland--Clarke"," 103","Alnwick/Haldimand",5,0,32,42,1,0,2,1,83,223
35074,"Northumberland--Clarke/Northumberland--Clarke"," 104","Alnwick/Haldimand",3,1,71,85,0,0,1,1,162,327
35074,"Northumberland--Clarke/Northumberland--Clarke"," 105","Alnwick/Haldimand",4,1,69,95,0,0,1,2,172,378
35074,"Northumberland--Clarke/Northumberland--Clarke"," 106","Alnwick/Haldimand",1,1,49,69,1,0,11,2,134,367
35074,"Northumberland--Clarke/Northumberland--Clarke"," 107","Alnwick/Haldimand",2,0,67,94,1,0,1,0,165,329
35074,"Northumberland--Clarke/Northumberland--Clarke"," 108","Alnwick/Haldimand",6,1,82,83,2,5,2,0,181,387
35074,"Northumberland--Clarke/Northumberland--Clarke"," 109","Port Hope",7,0,74,105,3,0,2,1,192,393
35074,"Northumberland--Clarke/Northumberland--Clarke"," 110","Port Hope",3,2,61,92,1,0,1,0,160,313
35074,"Northumberland--Clarke/Northumberland--Clarke"," 111","Port Hope",3,1,42,94,1,0,2,0,143,274
35074,"Northumberland--Clarke/Northumberland--Clarke"," 112","Port Hope",3,1,57,105,0,2,2,0,170,316
35074,"Northumberland--Clarke/Northumberland--Clarke"," 113","Port Hope",2,3,50,67,0,0,1,0,123,275
35074,"Northumberland--Clarke/Northumberland--Clarke"," 114","Cobourg",2,0,54,59,0,3,0,1,119,398
35074,"Northumberland--Clarke/Northumberland--Clarke"," 115","Cobourg",4,3,122,153,1,0,3,2,288,742
35074,"Northumberland--Clarke/Northumberland--Clarke"," 116","Cobourg",9,1,58,64,2,1,2,3,140,468
35074,"Northumberland--Clarke/Northumberland--Clarke"," 117","Cobourg",6,0,53,54,0,0,1,1,115,300
35074,"Northumberland--Clarke/Northumberland--Clarke"," 118","Cobourg",9,3,48,84,4,1,0,1,150,463
35074,"Northumberland--Clarke/Northumberland--Clarke"," 119","Cobourg",6,0,54,86,5,0,7,0,158,371
35074,"Northumberland--Clarke/Northumberland--Clarke"," 120","Cobourg",1,0,51,55,0,0,0,0,107,332
35074,"Northumberland--Clarke/Northumberland--Clarke"," 121","Hamilton",5,4,91,135,3,0,0,1,239,548
35074,"Northumberland--Clarke/Northumberland--Clarke"," 122","Hamilton",5,0,102,89,1,0,4,0,201,522
35074,"Northumberland--Clarke/Northumberland--Clarke"," 123","Hamilton",5,3,87,118,5,0,1,0,219,456
35074,"Northumberland--Clarke/Northumberland--Clarke"," 124","Cobourg",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,,376
35074,"Northumberland--Clarke/Northumberland--Clarke"," 125","Cobourg",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,,491
35074,"Northumberland--Clarke/Northumberland--Clarke"," 126","Cobourg",21,4,262,275,5,2,4,3,576,576
35074,"Northumberland--Clarke/Northumberland--Clarke"," 127","Cobourg",Combined with No./Résultats combinés à ceux du n°126,,,,,,,,,571
35074,"Northumberland--Clarke/Northumberland--Clarke"," 128","Cobourg",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,,227
35074,"Northumberland--Clarke/Northumberland--Clarke"," 129","Clarington",9,3,56,79,2,0,0,0,149,448
35074,"Northumberland--Clarke/Northumberland--Clarke"," 130","Clarington",3,2,47,96,1,0,2,0,151,400
35074,"Northumberland--Clarke/Northumberland--Clarke"," 131","Port Hope",3,3,52,142,1,0,1,0,202,446
35074,"Northumberland--Clarke/Northumberland--Clarke"," 132","Clarington",5,1,35,117,0,1,1,3,163,413
35074,"Northumberland--Clarke/Northumberland--Clarke"," 133","Cobourg",2,4,49,34,1,0,1,0,91,392
35074,"Northumberland--Clarke/Northumberland--Clarke"," 134","Cobourg",2,0,69,51,3,0,0,1,126,417
35074,"Northumberland--Clarke/Northumberland--Clarke"," 135","Cobourg",8,1,85,56,2,0,0,1,153,432
35074,"Northumberland--Clarke/Northumberland--Clarke"," 136","Cobourg",2,0,49,50,0,1,3,0,105,402
35074,"Northumberland--Clarke/Northumberland--Clarke"," 137","Hamilton",4,0,49,88,3,0,3,0,147,415
35074,"Northumberland--Clarke/Northumberland--Clarke"," 138","Cobourg",2,0,81,66,1,0,2,0,152,387
35074,"Northumberland--Clarke/Northumberland--Clarke"," 139","Cobourg",5,0,54,41,0,1,2,0,103,348
35074,"Northumberland--Clarke/Northumberland--Clarke"," 140","Cobourg",Combined with No./Résultats combinés à ceux du n°142,,,,,,,,,424
35074,"Northumberland--Clarke/Northumberland--Clarke"," 141","Cobourg",Combined with No./Résultats combinés à ceux du n°148,,,,,,,,,395
35074,"Northumberland--Clarke/Northumberland--Clarke"," 142","Cobourg",18,1,245,240,0,1,1,0,506,440
35074,"Northumberland--Clarke/Northumberland--Clarke"," 143","Cobourg",Combined with No./Résultats combinés à ceux du n°142,,,,,,,,,353
35074,"Northumberland--Clarke/Northumberland--Clarke"," 144","Cobourg",Combined with No./Résultats combinés à ceux du n°142,,,,,,,,,374
