Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Albert Batten,Serge Dubord,Robert Fleming,Jean-Denis Garon,Mario Guay,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mirabel/Mirabel"," 28","Mirabel",3,34,33,59,2,2,2,135,354
24047,"Mirabel/Mirabel"," 29","Mirabel",3,22,89,81,0,1,3,199,514
24047,"Mirabel/Mirabel"," 30","Mirabel",8,86,58,87,2,1,0,242,583
24047,"Mirabel/Mirabel"," 31","Mirabel",3,60,39,66,4,0,4,176,463
24047,"Mirabel/Mirabel"," 32","Mirabel",9,59,45,90,5,1,7,216,497
24047,"Mirabel/Mirabel"," 33","Mirabel",3,35,49,75,6,2,5,175,491
24047,"Mirabel/Mirabel"," 34","Mirabel",3,52,64,106,5,1,2,233,528
24047,"Mirabel/Mirabel"," 35","Mirabel",9,67,71,104,4,2,8,265,543
24047,"Mirabel/Mirabel"," 36","Mirabel",5,56,50,115,0,3,3,232,561
24047,"Mirabel/Mirabel"," 37","Mirabel",10,54,54,74,1,2,4,199,478
24047,"Mirabel/Mirabel"," 38","Mirabel",5,60,41,52,4,3,6,171,537
24047,"Mirabel/Mirabel"," 39","Mirabel",14,63,64,78,4,2,2,227,545
24047,"Mirabel/Mirabel"," 40","Mirabel",7,51,42,84,2,3,4,193,518
24047,"Mirabel/Mirabel"," 41","Mirabel",8,37,55,80,3,0,2,185,459
24047,"Mirabel/Mirabel"," 42A","Mirabel",5,51,35,52,3,1,1,148,314
24047,"Mirabel/Mirabel"," 42B","Mirabel",4,38,30,36,0,2,2,112,310
24047,"Mirabel/Mirabel"," 43","Mirabel",5,52,41,72,1,2,6,179,463
24047,"Mirabel/Mirabel"," 44","Mirabel",9,54,80,62,2,2,2,211,588
24047,"Mirabel/Mirabel"," 45","Mirabel",6,57,50,64,1,3,5,186,452
24047,"Mirabel/Mirabel"," 46","Mirabel",9,51,51,84,6,1,2,204,553
24047,"Mirabel/Mirabel"," 47","Mirabel",3,63,89,61,5,2,2,225,530
24047,"Mirabel/Mirabel"," 48","Mirabel",6,59,56,118,1,0,5,245,523
