Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Vance Badawey,Natashia Bergen,Fred Davies,Chantal McCollum,Peter Taras,David Vedova,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Niagara South/Niagara-Sud"," 1","Thorold",64,4,87,17,0,0,1,173,383
35071,"Niagara South/Niagara-Sud"," 2","Thorold",82,2,80,16,0,2,1,183,566
35071,"Niagara South/Niagara-Sud"," 3","Thorold",60,0,65,14,2,0,0,141,404
35071,"Niagara South/Niagara-Sud"," 4","Thorold",107,3,88,24,7,0,0,229,624
35071,"Niagara South/Niagara-Sud"," 5","Thorold",55,4,65,16,0,1,0,141,396
35071,"Niagara South/Niagara-Sud"," 6","Thorold",70,3,104,12,3,0,0,192,500
35071,"Niagara South/Niagara-Sud"," 7","Thorold",82,1,85,16,5,0,1,190,453
35071,"Niagara South/Niagara-Sud"," 8","Thorold",78,2,66,13,3,4,0,166,418
35071,"Niagara South/Niagara-Sud"," 9","Thorold",95,4,94,7,2,1,1,204,560
35071,"Niagara South/Niagara-Sud"," 10","Thorold",64,3,89,11,0,0,1,168,501
35071,"Niagara South/Niagara-Sud"," 11","Thorold",70,0,91,9,4,0,0,174,425
35071,"Niagara South/Niagara-Sud"," 12","Thorold",84,3,64,14,5,1,2,173,524
35071,"Niagara South/Niagara-Sud"," 13","Thorold",87,0,114,8,1,1,1,212,483
35071,"Niagara South/Niagara-Sud"," 14","Thorold",105,3,95,13,3,4,0,223,540
35071,"Niagara South/Niagara-Sud"," 15","Thorold",115,0,101,4,9,0,1,230,617
35071,"Niagara South/Niagara-Sud"," 16","Thorold",64,1,90,8,2,0,0,165,570
35071,"Niagara South/Niagara-Sud"," 17","Thorold",101,0,74,23,0,1,2,201,497
35071,"Niagara South/Niagara-Sud"," 18","Thorold",64,3,67,9,1,0,1,145,444
35071,"Niagara South/Niagara-Sud"," 19","Thorold",92,1,99,21,4,0,0,217,515
35071,"Niagara South/Niagara-Sud"," 20","Thorold",98,1,125,15,3,1,0,243,634
35071,"Niagara South/Niagara-Sud"," 21","Thorold",139,2,109,17,1,2,1,271,699
35071,"Niagara South/Niagara-Sud"," 22","Thorold",51,0,65,9,2,0,0,127,363
35071,"Niagara South/Niagara-Sud"," 23","Thorold",109,3,91,16,3,0,0,222,548
35071,"Niagara South/Niagara-Sud"," 24","Thorold",105,2,134,29,2,0,4,276,666
35071,"Niagara South/Niagara-Sud"," 25","Thorold",70,4,141,27,1,1,0,244,472
35071,"Niagara South/Niagara-Sud"," 26","Thorold",67,2,120,23,13,1,0,226,509
35071,"Niagara South/Niagara-Sud"," 27","Thorold",159,2,172,18,5,1,5,362,692
35071,"Niagara South/Niagara-Sud"," 28","Thorold",111,8,132,26,2,1,1,281,522
35071,"Niagara South/Niagara-Sud"," 29A","Thorold",112,1,146,8,5,0,1,273,617
35071,"Niagara South/Niagara-Sud"," 29B","Thorold",68,0,118,11,2,3,0,202,532
35071,"Niagara South/Niagara-Sud"," 30","Thorold",81,1,132,8,4,4,1,231,522
35071,"Niagara South/Niagara-Sud"," 31","Thorold",73,0,80,8,1,0,0,162,426
35071,"Niagara South/Niagara-Sud"," 32","Thorold",34,0,46,4,1,1,0,86,220
35071,"Niagara South/Niagara-Sud"," 33","Thorold",54,1,71,5,5,1,0,137,324
35071,"Niagara South/Niagara-Sud"," 34","Thorold",93,3,148,16,5,0,0,265,456
