Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Darren Fisher,Michelle Lindsay,Keith Morrison,Isabelle Obeid,Joseph Shea,Rana Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",99,3,10,51,0,1,0,164,458
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",84,3,6,47,0,2,1,143,397
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",56,1,7,34,0,2,0,100,342
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",61,2,4,31,0,2,2,102,345
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5","Halifax",73,1,21,53,0,2,1,151,390
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",102,3,15,30,0,3,0,153,414
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",131,1,14,65,0,4,2,217,583
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",109,0,11,51,0,1,2,174,445
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",118,1,2,45,1,1,0,168,445
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",91,2,5,31,0,3,0,132,387
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",96,3,12,27,0,4,2,144,403
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",92,1,3,21,0,0,0,117,384
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",74,1,17,34,0,0,2,128,425
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",88,3,4,31,0,5,0,131,333
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",57,1,15,32,1,0,2,108,385
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",47,4,12,57,0,1,1,122,357
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",35,2,9,22,1,3,0,72,373
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",79,0,11,33,0,0,0,123,417
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",72,4,9,27,0,2,0,114,391
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",93,0,1,37,0,2,1,134,394
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",140,3,13,50,2,0,0,208,475
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",119,3,13,55,0,2,1,193,460
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",93,3,11,35,0,0,0,142,392
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",131,2,18,48,1,0,1,201,488
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",64,2,8,25,0,2,0,101,336
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",72,0,10,27,0,0,1,110,346
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",91,2,7,48,0,0,2,150,398
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",82,5,14,33,0,2,0,136,350
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",82,0,13,35,1,0,0,131,387
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",79,4,10,42,0,1,0,136,356
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",121,2,5,53,0,1,2,184,403
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",107,1,8,58,1,0,0,175,344
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",108,2,12,39,1,0,3,165,389
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",105,1,8,24,1,2,0,141,367
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",94,1,5,52,0,2,0,154,408
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",72,1,13,36,0,1,3,126,356
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",65,1,18,47,0,2,0,133,349
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",66,2,14,37,0,3,1,123,377
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",120,4,11,55,2,0,0,192,454
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",100,3,5,41,1,0,0,150,412
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",90,4,12,58,1,0,1,166,364
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",90,2,10,41,0,0,0,143,356
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43","Halifax",64,3,9,40,0,1,1,118,340
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",120,11,13,69,0,2,2,217,495
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",124,3,23,60,0,1,1,212,458
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",104,3,21,35,0,1,0,164,385
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",76,6,16,33,0,1,0,132,421
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",103,5,9,40,0,3,0,160,452
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",87,4,16,37,1,1,1,147,376
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",123,3,11,44,1,1,0,183,515
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",83,1,12,27,0,1,0,124,404
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",74,2,12,31,0,1,0,120,359
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",73,3,5,40,0,2,0,123,369
12005,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",51,0,5,35,2,2,0,95,322
