Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaime Battiste,Joanna Clark,Allan MacMaster,Ryan Smyth,Rebecca Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 500","Mobile poll/Bureau itinérant",37,3,21,2,0,1,64,6
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 501","Mobile poll/Bureau itinérant",34,8,37,1,3,0,83,32
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,48
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 503","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,29
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,21
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,5
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 506","Mobile poll/Bureau itinérant",13,1,10,2,0,0,26,11
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 507","Mobile poll/Bureau itinérant",16,4,13,1,0,0,34,4
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 508","Mobile poll/Bureau itinérant",13,0,1,0,0,0,14,3
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 509","Mobile poll/Bureau itinérant",85,4,55,0,0,4,148,33
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 510","Mobile poll/Bureau itinérant",Electors voted by special ballot in SVR Group 2/Les électeurs ont voté par bulletin spécial dans le groupe 2 RÉS,,,,,,,45
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 511","Mobile poll/Bureau itinérant",7,4,7,3,0,1,22,30
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,6
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 600","Cape North",121,11,94,0,1,0,227,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 601","Pleasant Bay",Combined with No./Résultats combinés à ceux du n°600,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 602","Ingonish",58,2,45,0,0,0,105,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 603","Englishtown",115,4,53,1,0,0,173,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 604","Chéticamp",548,40,386,9,0,10,993,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 605","Inverness",336,11,333,1,1,1,683,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 606","Middle River",109,18,32,1,1,0,161,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 607","Wagmatcook 1",No poll held/Pas de scrutin,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 608","Baddeck",201,8,114,0,0,0,323,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 609","Iona",105,5,60,1,1,0,172,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 610","Eskasoni 3",745,16,16,0,3,6,786,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 611","Boisdale",238,25,89,1,3,0,356,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 612","Boularderie East",310,32,349,4,2,1,698,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 613","Cape Breton",Combined with No./Résultats combinés à ceux du n°612,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 614","Cape Breton",Combined with No./Résultats combinés à ceux du n°615,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 615","Cape Breton",110,18,146,1,1,2,278,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 616","Cape Breton",Combined with No./Résultats combinés à ceux du n°617,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 617","Cape Breton",449,23,194,2,2,0,670,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 618","Cape Breton",245,16,125,0,3,0,389,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 619","Cape Breton",186,9,126,6,1,3,331,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 620","Cape Breton",192,14,137,0,0,0,343,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 621","Cape Breton",87,8,74,0,0,0,169,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 622","Cape Breton",379,40,338,0,3,9,769,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 623","Rockdale",242,21,168,4,4,0,439,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 624","Chapel Island 5",Combined with No./Résultats combinés à ceux du n°623,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 625","Louisdale--St. Peter's",410,8,310,3,3,2,736,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 626","Whycocomagh--Orangedale",219,13,162,1,7,2,404,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 627","Malagawatch 4",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 628","Whycocomagh 2",Combined with No./Résultats combinés à ceux du n°626,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 629","Port Hood",361,22,380,3,0,5,771,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 630","Port Hawkesbury",260,13,252,0,2,1,528,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 631","Port Hawkesbury",269,20,250,9,2,4,554,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 632","Arichat",481,33,412,2,2,6,936,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 633","Canso",145,15,150,2,2,0,314,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 634","Mulgrave",110,8,141,1,0,4,264,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 635","Tracadie",300,12,387,7,2,0,708,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 636","Paqtnkek-Niktuek 23",Combined with No./Résultats combinés à ceux du n°635,,,,,,,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 637","Pomquet",278,13,256,2,5,4,558,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 638","Antigonish",329,17,134,3,2,0,485,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 639","North Grant",341,28,236,4,1,2,612,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 640","Antigonish",511,27,233,6,1,0,778,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 641","Antigonish",517,25,209,2,3,0,756,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 642","Beech Hill",601,25,449,9,0,6,1090,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 643","St. Andrews--Lower South River",252,18,222,1,5,1,499,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 644","Guysborough",68,6,84,4,0,1,163,
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish",,Group 1/Groupe 1, 484,33,290,6,2,38,853,190
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish",,Group 2/Groupe 2, 1534,66,1104,9,6,11,2730,
