Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaime Battiste,Joanna Clark,Allan MacMaster,Ryan Smyth,Rebecca Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 20","Mill Creek",Combined with No./Résultats combinés à ceux du n°18,,,,,,,216
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 21","Millville Boularderie",44,9,75,4,2,3,137,366
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 22","Groves Point",Combined with No./Résultats combinés à ceux du n°18,,,,,,,366
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 23","Mira Gut",86,7,46,2,4,1,146,416
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 24","Catalone",99,11,87,3,2,2,204,476
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 25","Hillside",43,5,30,1,0,0,79,311
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 26","Big Bras d'Or",70,9,84,1,2,2,168,419
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 27","Main-à-Dieu",48,6,60,2,2,3,121,235
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 28","Hillside Boularderie",52,7,63,0,0,1,123,373
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 29","Margaree",104,8,110,2,0,1,225,390
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 30","Scotch Lake",128,12,109,4,4,2,259,446
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 31","Big Intervale",66,10,89,0,0,0,165,231
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 32","North East Margaree",99,3,182,0,0,6,290,442
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 33","Mira Road",54,3,52,2,4,1,116,269
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 34","Mira Road",67,11,60,3,1,0,142,396
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 35","Dutch Brook",60,3,55,1,1,0,120,340
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 36","Marion Bridge",49,7,51,2,2,0,111,380
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 37","Bateston",93,12,114,4,2,0,225,445
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 38","South Haven",68,6,73,1,0,2,150,373
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 39","Balls Creek",58,5,40,1,2,1,107,171
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 40","Frenchvale",118,10,103,3,1,6,241,403
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 41","Margaree Harbour",53,2,43,2,1,1,102,246
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 42","Louisbourg",70,6,60,0,0,1,137,353
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 43","Baddeck",Combined with No./Résultats combinés à ceux du n°44,,,,,,,246
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 44","Baddeck",84,3,83,0,0,0,170,270
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 45","Louisbourg",80,7,40,0,0,0,127,381
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 46","Boularderie",95,8,81,0,4,0,188,386
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 47","Leitches Creek",47,4,29,0,0,0,80,296
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 48","Boisdale",51,8,27,1,1,0,88,256
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 49","Trout Brook",96,14,76,2,0,2,190,423
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 50","Middle River",106,9,98,0,1,4,218,396
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 51","East Bay",Combined with No./Résultats combinés à ceux du n°52,,,,,,,224
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 52","Rear of East Bay",127,9,79,1,1,1,218,252
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 53","Cape Breton",55,4,34,0,0,1,94,341
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 54","Coxheath",43,4,52,0,0,0,99,456
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 55","Coxheath",57,3,35,1,1,0,97,343
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 56","Blacketts Lake",46,2,35,0,0,0,83,270
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 57","Northside East Bay",153,8,97,3,1,5,267,446
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 58","Dunvegan",42,2,24,0,0,0,68,116
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 59","Dunvegan",51,4,52,0,1,0,108,244
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 60","Baddeck",80,10,45,0,1,0,136,363
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 61","Baddeck",71,6,29,0,1,0,107,340
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 62","Scotsville",104,4,63,0,1,3,175,268
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 63","Inverness",34,6,83,0,0,0,123,253
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 64","Inverness",32,1,69,1,2,1,106,277
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 65","Inverness",51,3,59,2,0,1,116,293
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 66","Juniper Mountain",72,8,77,1,0,1,159,351
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 67","Huntington",99,6,82,4,4,1,196,344
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 68","Gabarus",52,6,60,2,1,1,122,193
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 69","Eskasoni 3",109,1,0,0,0,2,112,468
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 70","Eskasoni 3",85,2,2,0,0,0,89,502
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 71","Eskasoni 3",125,1,1,0,2,1,130,518
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 72","Eskasoni 3",139,3,1,0,1,0,144,549
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 73","Eskasoni 3",130,8,4,0,5,0,147,479
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 74","Saint Patricks Channel--Bucklaw",Combined with No./Résultats combinés à ceux du n°74-1,,,,,,,47
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 74-1","Wagmatcook 1",101,6,19,0,4,0,130,381
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 75","Big Pond",47,3,42,1,0,0,93,343
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 76","Inverness",52,4,73,0,0,0,129,329
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 77","Strathlorne",63,6,82,1,0,1,153,437
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 78","Grand Narrows",55,4,29,0,2,1,91,246
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 79","Iona",70,5,68,2,1,1,147,276
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 80","Little Narrows",56,12,40,0,0,0,108,180
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 81","Whycocomagh",54,6,61,1,0,0,122,366
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 82","Stewartdale",39,5,31,0,0,0,75,263
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 83","Glendyer",85,6,64,2,0,3,160,264
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 84","Mabou",71,2,77,2,0,1,153,266
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 85","Brook Village",61,6,79,0,3,1,150,244
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 86","Whycocomagh 2",119,4,20,2,3,0,148,510
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 87","Mabou Station",79,9,75,0,1,0,164,326
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 88","Johnstown",45,7,63,2,0,1,118,231
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 89","Orangedale",38,12,62,2,1,6,121,199
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 90","Orangedale",38,3,40,0,1,0,82,158
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 90-1","Malagawatch 4",Combined with No./Résultats combinés à ceux du n°90,,,,,,,4
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 91","Grand River",26,1,37,1,0,0,65,97
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 92","Grand River",28,3,39,0,0,2,72,177
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 93","Blues Mills",44,6,52,0,0,0,102,214
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 94","Port Hood",45,3,76,2,3,0,129,362
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 95","Port Hood",62,10,93,0,3,0,168,461
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 96","Glencoe Station",55,11,111,1,0,0,178,452
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 97","Sampsonville",77,13,89,0,0,2,181,301
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 98","Sampsonville",81,3,87,1,1,4,177,257
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 99","Chapel Island 5",Combined with No./Résultats combinés à ceux du n°99-1,,,,,,,83
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 99-1","Chapel Island 5",160,8,33,2,0,1,204,379
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 100","St. Georges Channel",84,7,78,0,2,2,173,386
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 101","Glendale",31,5,71,1,0,0,108,186
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 102","St. Peter's",125,17,74,1,1,1,219,388
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 103","West Bay Road",63,5,91,2,3,0,164,313
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 104","L'Ardoise",46,5,45,0,2,2,100,316
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 105","Lower L'Ardoise",26,6,42,0,0,1,75,217
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 106","Rockdale",57,8,77,6,2,2,152,388
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 107","Judique",77,12,116,0,1,0,206,305
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 108","Creignish",68,2,134,1,1,0,206,367
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 109","River Bourgeois",70,9,117,3,0,0,199,327
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 110","River Bourgeois",93,9,64,0,1,2,169,314
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 111","Cap La Ronde",48,3,37,1,1,0,90,219
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 112","Louisdale",71,5,103,3,0,0,182,459
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 113","Louisdale",57,5,71,5,1,0,139,390
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 114","D'Escousse",82,14,109,1,1,1,208,469
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 115","Sugar Camp",39,8,74,0,1,1,123,304
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 116","Creignish Rear",44,7,84,0,0,1,136,333
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 117","Port Hastings",42,3,73,0,0,0,118,275
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 118","Sampsons Cove",31,5,70,0,1,0,107,212
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 119","Morristown",70,6,98,3,0,0,177,260
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 120","Morristown",71,7,36,0,0,0,114,269
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 121","Petit-de-Grat",126,12,82,1,2,6,229,302
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 122","Petit-de-Grat",Combined with No./Résultats combinés à ceux du n°121,,,,,,,234
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 123","Havre Boucher",77,10,106,0,0,3,196,371
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 124","Cape Jack",54,2,64,2,0,1,123,225
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 125","Havre Boucher",67,3,107,2,0,0,179,344
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 126","Frankville",29,4,77,0,0,0,110,266
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 127","Cleveland",91,9,111,4,1,0,216,419
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 128","Cleveland",48,13,76,0,1,0,138,292
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 129","Arichat",70,6,98,2,2,5,183,393
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 130A","Port Hawkesbury",55,6,79,1,0,1,142,357
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 130B","Mobile poll/Bureau itinérant",2,2,2,0,0,0,6,30
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 131","Port Hawkesbury",39,3,73,2,0,1,118,413
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 132","Port Hawkesbury",42,4,75,0,0,0,121,374
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 133","Port Hawkesbury",73,7,62,2,0,1,145,420
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 134","Port Hawkesbury",43,7,80,1,2,0,133,421
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 135","Cape George",72,1,52,0,2,1,128,317
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 136","Janvrin Harbour",62,5,74,1,0,0,142,327
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 137","Port Hawkesbury",46,7,63,0,0,0,116,488
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 138","West Arichat",33,1,56,1,2,0,93,199
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 139","Arichat",57,5,58,2,0,2,124,429
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 140","Mulgrave",40,2,43,2,0,1,88,246
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 141","Mulgrave",46,5,71,2,0,1,125,356
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 142","Pomquet",49,2,49,0,1,1,102,276
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 143","Pomquet",50,6,50,0,1,0,107,299
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 144","Bayfield",40,2,77,1,0,3,123,318
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 145","Pomquet",54,5,79,1,2,0,141,370
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 146","Lower South River",40,7,65,4,1,0,117,380
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 147","Big Tracadie",37,4,68,0,1,0,110,330
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 148","Tracadie",40,1,76,0,1,0,118,346
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 149","Monastery",29,0,100,3,1,0,133,351
12002,"Cape Breton--Canso--Antigonish/Cape Breton--Canso--Antigonish"," 150","St. Francis Harbour",41,5,57,2,1,1,107,276
