Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louis Bellemare,Danick Bisson,Paul Cyr,Dominique Harrisson,Bladimir Laborit Infante,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 167","Québec",48,2,2,6,29,99,0,186,471
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 168","Québec",28,0,1,7,35,99,1,171,471
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 169","Québec",70,3,1,1,49,118,6,248,495
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 170","Québec",48,2,4,4,32,81,1,172,388
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 171","Québec",43,1,5,3,27,82,1,162,447
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 172","Québec",45,1,0,7,51,101,2,207,461
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 173","Québec",45,1,1,2,39,86,3,177,377
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 174","Québec",29,2,1,6,15,72,2,127,477
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 175","Québec",48,4,0,10,25,87,0,174,385
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 176","Québec",46,1,2,11,21,75,6,162,465
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 177","Québec",51,2,4,8,31,109,4,209,484
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 178","Québec",71,1,0,6,36,109,2,225,487
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 179","Québec",70,2,1,2,42,84,3,204,442
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 180","Québec",81,1,3,11,42,122,12,272,548
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 181","Québec",73,2,0,8,33,98,1,215,484
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 182","Québec",45,0,0,3,16,42,0,106,319
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 183","Québec",53,3,0,14,39,103,6,218,506
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 184","Québec",53,0,0,6,40,72,1,172,419
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 185","Québec",41,1,3,4,31,56,2,138,346
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 186","Québec",53,2,0,12,31,67,4,169,424
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 187","Québec",62,0,0,7,41,48,3,161,577
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 188","Québec",51,3,3,7,30,67,3,164,437
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 189","Québec",40,1,1,7,27,59,4,139,373
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 190","Québec",53,1,3,15,51,80,3,206,521
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 191A","Québec",35,0,1,5,23,41,4,109,352
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 191B","Québec",25,0,3,5,15,46,3,97,337
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 192","Québec",84,0,1,8,39,55,2,189,514
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 193","Québec",40,2,0,2,19,49,2,114,318
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 194","Québec",41,0,1,4,23,48,4,121,320
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 195","Québec",67,0,0,1,27,36,4,135,497
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 196","Québec",52,1,0,8,26,41,3,131,326
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 197","Québec",43,0,1,5,25,43,3,120,308
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 198","Québec",42,2,0,10,27,58,5,144,356
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 199","Québec",53,0,0,7,33,67,4,164,496
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 200","Québec",79,1,0,6,44,80,13,223,495
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 201","Québec",63,0,2,5,34,75,1,180,448
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 202","Québec",46,2,0,6,34,65,3,156,436
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 203","Québec",44,2,3,10,23,55,2,139,438
