Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Bell,Blake Richards,David Sabine,Sean Secord,Sarah Zagoda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 1","Cochrane",1,187,1,37,9,2,237,318
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 2","Cochrane",0,144,3,29,3,1,180,483
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 3","Cochrane",2,146,0,25,2,0,175,516
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 4","Cochrane",0,207,4,77,11,2,301,662
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 5","Cochrane",1,201,7,87,12,1,309,652
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 6","Cochrane",3,162,4,66,10,0,245,516
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 7","Cochrane",Combined with No./Résultats combinés à ceux du n°1,,,,,,,280
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 8A","Cochrane",2,142,1,44,7,1,197,499
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 8B","Cochrane",0,121,1,32,0,0,154,448
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 9A","Cochrane",1,130,1,49,6,0,187,557
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 9B","Cochrane",3,127,3,48,3,0,184,532
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 10","Cochrane",1,137,0,67,13,1,219,678
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 11","Cochrane",0,148,2,55,9,2,216,591
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 12","Cochrane",0,128,0,53,6,1,188,569
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 13","Cochrane",4,121,1,28,5,0,159,413
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 14","Cochrane",1,111,0,48,11,0,171,436
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 15","Cochrane",0,73,0,39,3,0,115,417
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 16","Cochrane",0,96,1,26,6,0,129,360
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 17","Cochrane",0,133,1,28,4,2,168,499
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 18","Cochrane",1,130,0,51,5,2,189,577
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 19","Cochrane",1,157,0,55,8,0,221,631
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 20","Airdrie",3,201,0,50,14,3,271,519
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 21","Airdrie",2,224,0,55,9,0,290,612
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 22","Airdrie",0,201,0,47,11,1,260,568
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 23","Cochrane",0,132,2,51,5,3,193,423
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 24","Cochrane",2,99,0,63,5,2,171,429
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 25","Cochrane",3,164,3,59,8,1,238,515
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 26","Cochrane",0,165,3,51,13,1,233,526
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 27","Cochrane",0,138,1,46,7,1,193,508
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 28","Cochrane",2,160,3,66,13,3,247,616
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 29","Airdrie",2,164,3,45,12,1,227,563
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 30","Airdrie",0,147,3,42,15,3,210,492
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 31","Airdrie",1,106,1,35,13,3,159,395
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 32","Airdrie",0,140,3,47,2,3,195,465
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 33","Airdrie",0,140,1,46,11,0,198,540
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 34","Airdrie",1,174,2,57,10,2,246,574
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 35","Airdrie",1,113,2,42,12,1,171,297
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 36","Airdrie",0,109,1,42,11,0,163,414
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 37","Airdrie",4,135,0,49,10,2,200,382
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 38","Airdrie",Combined with No./Résultats combinés à ceux du n°402,,,,,,,259
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 39","Airdrie",1,119,0,58,11,0,189,441
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 40","Airdrie",3,193,2,56,9,1,264,660
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 41A","Airdrie",3,68,0,25,2,0,98,346
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 41B","Airdrie",Combined with No./Résultats combinés à ceux du n°502,,,,,,,97
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 42","Airdrie",1,117,1,36,5,0,160,359
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 43","Airdrie",1,135,3,23,8,1,171,386
48001,"Airdrie--Cochrane/Airdrie--Cochrane"," 44","Cochrane",1,193,2,69,13,2,280,741
