Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sima Acan,Tim Crowder,Diane Downey,Martin Gegus,Chris Kowalchuk,JD Meaney,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"Oakville West/Oakville-Ouest"," 1","Oakville",77,59,5,0,3,0,0,144,400
35076,"Oakville West/Oakville-Ouest"," 2","Oakville",78,63,3,0,1,2,1,148,407
35076,"Oakville West/Oakville-Ouest"," 3","Oakville",125,58,7,1,3,1,0,195,496
35076,"Oakville West/Oakville-Ouest"," 4","Oakville",84,42,4,0,12,1,0,143,342
35076,"Oakville West/Oakville-Ouest"," 5","Oakville",96,86,9,1,1,2,1,196,526
35076,"Oakville West/Oakville-Ouest"," 6","Oakville",59,85,6,2,2,2,1,157,395
35076,"Oakville West/Oakville-Ouest"," 7A","Oakville",Combined with No./Résultats combinés à ceux du n°15,,,,,,,,43
35076,"Oakville West/Oakville-Ouest"," 7B","Oakville",102,80,10,2,3,1,2,200,523
35076,"Oakville West/Oakville-Ouest"," 8","Oakville",83,80,3,0,2,1,1,170,474
35076,"Oakville West/Oakville-Ouest"," 9","Oakville",101,115,1,0,0,0,0,217,541
35076,"Oakville West/Oakville-Ouest"," 10","Oakville",72,84,4,1,1,2,0,164,546
35076,"Oakville West/Oakville-Ouest"," 11","Oakville",99,84,3,0,2,1,2,191,477
35076,"Oakville West/Oakville-Ouest"," 12","Oakville",65,90,3,1,2,0,0,161,442
35076,"Oakville West/Oakville-Ouest"," 13","Oakville",112,116,6,1,3,0,2,240,550
35076,"Oakville West/Oakville-Ouest"," 14","Oakville",Combined with No./Résultats combinés à ceux du n°15,,,,,,,,274
35076,"Oakville West/Oakville-Ouest"," 15","Oakville",132,115,10,0,5,1,0,263,334
35076,"Oakville West/Oakville-Ouest"," 16","Oakville",118,90,5,1,4,1,1,220,493
35076,"Oakville West/Oakville-Ouest"," 17","Oakville",96,64,2,0,4,1,0,167,390
35076,"Oakville West/Oakville-Ouest"," 18","Oakville",63,60,0,0,0,1,0,124,294
35076,"Oakville West/Oakville-Ouest"," 19","Oakville",58,63,1,0,1,0,0,123,293
35076,"Oakville West/Oakville-Ouest"," 20A","Oakville",80,103,5,0,1,0,4,193,579
35076,"Oakville West/Oakville-Ouest"," 20B","Oakville",65,100,5,0,1,0,0,171,524
35076,"Oakville West/Oakville-Ouest"," 21","Oakville",94,105,2,0,2,1,2,206,546
35076,"Oakville West/Oakville-Ouest"," 22","Oakville",65,65,3,0,1,0,1,135,417
35076,"Oakville West/Oakville-Ouest"," 23","Oakville",115,120,5,2,2,2,2,248,584
35076,"Oakville West/Oakville-Ouest"," 24","Oakville",134,120,4,2,2,1,5,268,610
35076,"Oakville West/Oakville-Ouest"," 25","Oakville",101,132,1,0,1,1,0,236,623
35076,"Oakville West/Oakville-Ouest"," 26","Oakville",93,106,2,0,0,0,7,208,533
35076,"Oakville West/Oakville-Ouest"," 27","Oakville",105,106,3,0,1,0,0,215,531
35076,"Oakville West/Oakville-Ouest"," 28","Oakville",66,73,4,1,3,0,0,147,359
35076,"Oakville West/Oakville-Ouest"," 29","Oakville",53,35,0,0,0,1,1,90,379
35076,"Oakville West/Oakville-Ouest"," 30","Oakville",97,66,7,0,3,3,0,176,408
35076,"Oakville West/Oakville-Ouest"," 31","Oakville",88,46,4,1,1,2,2,144,414
35076,"Oakville West/Oakville-Ouest"," 32","Oakville",103,64,3,0,1,2,0,173,591
35076,"Oakville West/Oakville-Ouest"," 33","Oakville",81,96,3,0,0,1,2,183,518
35076,"Oakville West/Oakville-Ouest"," 34","Oakville",76,50,10,2,2,1,1,142,393
35076,"Oakville West/Oakville-Ouest"," 35","Oakville",80,109,3,0,3,1,0,196,542
35076,"Oakville West/Oakville-Ouest"," 36","Oakville",72,52,4,0,2,0,0,130,314
35076,"Oakville West/Oakville-Ouest"," 37","Oakville",60,47,0,0,2,0,1,110,321
35076,"Oakville West/Oakville-Ouest"," 38","Oakville",77,68,7,0,3,0,2,157,409
35076,"Oakville West/Oakville-Ouest"," 39","Oakville",106,95,7,0,1,0,0,209,581
35076,"Oakville West/Oakville-Ouest"," 40","Oakville",65,60,6,0,2,1,0,134,458
35076,"Oakville West/Oakville-Ouest"," 41","Oakville",83,76,3,0,4,2,2,170,454
35076,"Oakville West/Oakville-Ouest"," 42","Oakville",81,102,3,0,2,2,3,193,395
35076,"Oakville West/Oakville-Ouest"," 43","Oakville",105,95,6,0,0,1,0,207,491
35076,"Oakville West/Oakville-Ouest"," 44","Oakville",118,118,7,0,0,3,0,246,596
35076,"Oakville West/Oakville-Ouest"," 45","Oakville",134,85,3,1,0,1,0,224,590
35076,"Oakville West/Oakville-Ouest"," 46","Oakville",114,106,2,0,0,2,0,224,543
35076,"Oakville West/Oakville-Ouest"," 47","Oakville",92,125,6,0,2,0,0,225,560
35076,"Oakville West/Oakville-Ouest"," 48","Oakville",78,103,5,1,1,0,1,189,486
35076,"Oakville West/Oakville-Ouest"," 49","Oakville",74,122,4,1,1,2,2,206,553
35076,"Oakville West/Oakville-Ouest"," 50","Oakville",89,93,1,0,1,1,1,186,504
35076,"Oakville West/Oakville-Ouest"," 51","Oakville",112,98,1,0,0,1,1,213,503
35076,"Oakville West/Oakville-Ouest"," 52","Oakville",74,81,1,0,0,2,0,158,496
35076,"Oakville West/Oakville-Ouest"," 53","Oakville",94,110,8,0,3,1,1,217,535
35076,"Oakville West/Oakville-Ouest"," 54","Oakville",87,84,5,0,1,0,0,177,502
35076,"Oakville West/Oakville-Ouest"," 55","Oakville",116,107,1,0,2,2,2,230,568
35076,"Oakville West/Oakville-Ouest"," 56","Oakville",49,55,1,0,1,0,0,106,294
35076,"Oakville West/Oakville-Ouest"," 57","Oakville",64,58,1,0,0,0,0,123,308
35076,"Oakville West/Oakville-Ouest"," 58","Oakville",84,55,6,0,5,1,2,153,364
35076,"Oakville West/Oakville-Ouest"," 59","Oakville",73,60,3,1,2,1,3,143,436
35076,"Oakville West/Oakville-Ouest"," 60","Oakville",68,79,2,0,1,0,0,150,427
35076,"Oakville West/Oakville-Ouest"," 61","Oakville",59,63,1,0,1,0,0,124,353
35076,"Oakville West/Oakville-Ouest"," 62","Oakville",84,46,1,0,1,0,1,133,381
35076,"Oakville West/Oakville-Ouest"," 63","Oakville",48,52,0,0,0,0,0,100,268
35076,"Oakville West/Oakville-Ouest"," 64","Oakville",110,115,4,0,0,0,0,229,528
35076,"Oakville West/Oakville-Ouest"," 65","Oakville",80,74,3,0,1,0,0,158,484
35076,"Oakville West/Oakville-Ouest"," 66","Oakville",79,62,9,0,0,4,0,154,454
35076,"Oakville West/Oakville-Ouest"," 67","Oakville",91,117,10,2,0,2,0,222,484
35076,"Oakville West/Oakville-Ouest"," 68","Oakville",120,70,1,0,0,0,2,193,431
35076,"Oakville West/Oakville-Ouest"," 69","Oakville",69,61,0,0,0,0,0,130,395
35076,"Oakville West/Oakville-Ouest"," 70","Oakville",84,55,3,0,2,0,0,144,322
