Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patrick Shea Boyd,Mark Embrett,Jessica Fancy-Landry,Hayden Henderson,Rick Perkins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 1","Upper Tantallon",5,4,77,3,68,1,158,493
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 2","Upper Tantallon",0,0,61,0,44,0,105,431
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 3","Upper Tantallon",3,3,59,0,38,0,103,352
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 4","Halifax",0,1,73,1,42,0,117,409
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 5","Upper Tantallon",1,2,81,0,45,0,129,375
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 6","Head of St. Margarets Bay",3,4,67,1,35,0,110,389
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 7","Masons Point",1,1,71,1,25,0,99,355
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 8","Boutiliers Point",2,2,93,2,39,0,138,446
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 9","Allen Heights",3,2,85,2,41,0,133,350
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 10","Queensland",0,4,43,1,28,0,76,283
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 11","Boutiliers Point",0,1,68,3,57,0,129,385
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 12","Black Point",0,1,122,0,73,0,196,425
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 13","Simms Settlement",6,3,62,1,48,0,120,406
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 14","Hubbards",0,2,28,0,14,0,44,230
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 15","Hubbards",0,1,57,1,26,0,85,307
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 16","Simms Settlement",1,1,70,1,85,1,159,424
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 17","Mill Road",6,4,78,2,85,2,177,480
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 17-1","Pennal 19",Combined with No./Résultats combinés à ceux du n°17,,,,,,,17
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 18","Leville",3,3,40,1,78,0,125,297
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 19","Seffernsville",0,3,41,4,56,2,106,311
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 20","Canaan",6,1,78,3,89,0,177,332
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 21","Fox Point",2,3,57,1,59,1,123,422
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 22","Mill Cove",1,5,59,2,63,2,132,405
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 23","Lake Ramsay",4,7,49,0,71,1,132,295
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 24","Northwest Cove--Aspotogan",4,2,75,3,56,0,140,314
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 25","East River",5,4,97,0,75,0,181,344
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 26","Chester Grant",5,3,66,2,62,7,145,416
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 27","Lower Grant Road",1,2,49,2,51,2,107,312
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 28","Chester Basin--Shaw Island",1,2,55,1,58,1,118,378
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 29","East Chester",1,2,46,0,45,0,94,351
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 30","Chester",2,0,30,1,33,0,66,289
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 31","Chester",3,3,54,2,43,1,106,392
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 32","Chester Basin--Borgels Point",1,0,45,0,34,2,82,302
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 33","Robinsons Corner",2,0,61,0,39,1,103,379
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 34","Haddon Hill",2,1,52,0,33,0,88,326
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 35","Chester",2,3,81,2,31,2,121,433
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 36","Chester--Nauss Point",1,4,59,0,42,1,107,453
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 37","Blandford--Bayswater",4,6,122,1,82,2,217,407
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 38","Maplewood",4,7,85,3,80,1,180,469
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 39","Gold River",3,3,46,3,66,1,122,322
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 39-1","Gold River 21",Combined with No./Résultats combinés à ceux du n°39,,,,,,,86
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 40","Western Shore",4,4,72,1,87,1,169,365
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 41","Western Shore",4,6,54,2,84,3,153,366
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 42","Tancook Island",2,0,50,2,40,1,95,151
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 43","Barss Corner",2,7,67,3,98,1,178,423
12010,"South Shore--St. Margarets/South Shore--St. Margarets"," 44","Martins Point--Martins River",3,2,76,1,48,0,130,278
