Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton",0,1,1,53,39,0,69,2,2,167,422
35036,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton",1,1,0,29,30,0,47,1,1,110,336
35036,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton",1,6,0,59,73,1,86,3,0,229,628
35036,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton",0,4,1,24,58,0,71,0,2,160,453
35036,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton",0,1,0,46,46,0,43,1,0,137,339
35036,"Hamilton Centre/Hamilton-Centre"," 68","Hamilton",0,4,1,63,32,0,59,0,0,159,378
35036,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton",1,3,3,62,67,0,78,2,3,219,499
35036,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton",1,4,1,69,34,0,93,1,4,207,397
35036,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton",2,1,0,67,31,0,60,2,1,164,388
35036,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton",1,3,5,50,70,1,76,4,3,213,660
35036,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton",2,1,2,40,32,1,51,0,1,130,444
35036,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton",0,0,0,31,62,1,37,0,2,133,479
35036,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton",1,3,0,63,45,0,44,5,1,162,434
35036,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton",0,2,3,70,58,0,53,2,1,189,528
35036,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton",0,2,0,33,70,2,47,2,1,157,414
35036,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton",1,1,0,43,99,0,32,2,0,178,488
35036,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton",0,6,2,49,69,0,48,0,0,174,476
35036,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton",0,2,1,48,47,0,45,4,0,147,444
35036,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton",1,5,2,56,46,0,58,2,1,171,452
35036,"Hamilton Centre/Hamilton-Centre"," 82","Hamilton",1,2,1,36,30,0,42,4,0,116,448
35036,"Hamilton Centre/Hamilton-Centre"," 83","Hamilton",0,4,1,77,51,1,44,4,1,183,507
35036,"Hamilton Centre/Hamilton-Centre"," 84","Hamilton",1,1,0,49,81,1,51,0,5,189,416
35036,"Hamilton Centre/Hamilton-Centre"," 85","Hamilton",1,1,0,65,67,0,67,5,0,206,469
35036,"Hamilton Centre/Hamilton-Centre"," 86","Hamilton",1,5,7,46,36,1,47,1,1,145,412
35036,"Hamilton Centre/Hamilton-Centre"," 87","Hamilton",0,1,2,27,21,0,38,1,2,92,423
35036,"Hamilton Centre/Hamilton-Centre"," 88","Hamilton",1,3,1,60,44,0,61,2,0,172,379
35036,"Hamilton Centre/Hamilton-Centre"," 89","Hamilton",0,5,0,48,41,0,42,0,1,137,352
35036,"Hamilton Centre/Hamilton-Centre"," 90","Hamilton",1,2,0,59,49,1,47,3,0,162,470
35036,"Hamilton Centre/Hamilton-Centre"," 91","Hamilton",1,3,0,67,51,0,45,5,0,172,423
35036,"Hamilton Centre/Hamilton-Centre"," 92","Hamilton",0,2,0,62,57,0,51,1,1,174,521
35036,"Hamilton Centre/Hamilton-Centre"," 93","Hamilton",1,3,0,37,41,0,32,6,0,120,416
35036,"Hamilton Centre/Hamilton-Centre"," 94","Hamilton",1,1,1,59,48,0,55,6,1,172,516
35036,"Hamilton Centre/Hamilton-Centre"," 95","Hamilton",0,2,2,30,66,0,43,4,1,148,373
35036,"Hamilton Centre/Hamilton-Centre"," 96","Hamilton",0,1,2,23,77,1,47,4,1,156,410
35036,"Hamilton Centre/Hamilton-Centre"," 97","Hamilton",2,2,1,33,86,1,40,2,2,169,440
35036,"Hamilton Centre/Hamilton-Centre"," 98","Hamilton",1,5,3,73,106,0,79,1,2,270,517
35036,"Hamilton Centre/Hamilton-Centre"," 99","Hamilton",1,1,2,44,115,2,48,4,0,217,511
35036,"Hamilton Centre/Hamilton-Centre"," 100","Hamilton",1,3,0,84,50,0,105,2,0,245,504
35036,"Hamilton Centre/Hamilton-Centre"," 101","Hamilton",0,7,1,92,79,0,140,1,1,321,562
35036,"Hamilton Centre/Hamilton-Centre"," 102","Hamilton",1,5,0,90,58,0,101,1,1,257,398
35036,"Hamilton Centre/Hamilton-Centre"," 103","Hamilton",1,4,1,67,74,0,59,4,0,210,470
35036,"Hamilton Centre/Hamilton-Centre"," 104","Hamilton",0,3,0,79,75,0,85,0,0,242,504
35036,"Hamilton Centre/Hamilton-Centre"," 105","Hamilton",0,1,0,48,55,2,40,1,2,149,379
