Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Frank Caputo,Iain Currie,Chris Enns,Miguel Godau,Jenna Lindley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 51","Barriere",103,25,4,4,2,0,138,444
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 52","Kamloops--Savona",75,58,0,16,1,0,150,489
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 53","Kamloops",83,57,0,2,5,0,147,532
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 54","Kamloops",92,67,0,3,0,1,163,512
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 55","Kamloops",94,72,1,13,2,0,182,505
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 56","Kamloops",112,66,3,9,4,2,196,493
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 57","Kamloops",97,91,0,13,4,3,208,524
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 58","Kamloops",84,56,1,6,3,1,151,453
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 59","Kamloops",126,73,0,18,1,2,220,514
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 60","Kamloops",73,47,0,10,1,0,131,379
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 61","Kamloops",86,71,0,12,3,1,173,443
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 62","Black Pines",Combined with No./Résultats combinés à ceux du n°63,,,,,,,146
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 63","Whispering Pines 4",68,31,0,7,2,0,108,61
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 64","Walhachin",84,26,1,3,1,1,116,278
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 65","Ashcroft",Combined with No./Résultats combinés à ceux du n°67,,,,,,,34
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 66","Ashcroft",121,74,0,15,4,0,214,427
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 67","Ashcroft",104,53,0,16,4,0,177,383
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 68","Ashcroft",65,59,6,7,4,0,141,399
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 68-1","Basque 18",Combined with No./Résultats combinés à ceux du n°68,,,,,,,0
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 69","Oregon Jack Creek 5",Combined with No./Résultats combinés à ceux du n°67,,,,,,,5
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 70","Ashcroft",106,54,1,16,5,0,182,429
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 71","McLure",133,44,3,5,3,0,188,431
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 72","Heffley Creek",103,51,1,5,0,0,160,422
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 73","Heffley Creek",119,69,0,4,9,1,202,480
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 74","Kamloops",58,51,2,6,0,0,117,380
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 75","Kamloops",106,62,2,10,1,0,181,475
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 76","Kamloops",92,74,1,16,2,0,185,521
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 77","Kamloops",98,51,1,10,6,0,166,532
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 78","Kamloops",103,57,0,11,1,0,172,520
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 79","Kamloops",103,77,0,10,3,0,193,597
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 80","Kamloops",81,74,1,9,1,0,166,530
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 81","Kamloops",87,45,4,8,1,0,145,481
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 82","Savona",84,35,1,5,2,0,127,392
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 83","Savona",102,28,1,11,3,0,145,366
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 84","Cherry Creek",88,34,0,0,0,0,122,311
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 85","Cherry Creek",119,49,0,7,3,0,178,421
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 86","Kamloops",124,84,3,16,2,2,231,424
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 87","Kamloops",123,93,1,7,6,0,230,422
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 88","Kamloops",161,92,2,7,4,0,266,432
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 89","Kamloops",189,71,0,8,1,1,270,447
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 90","Kamloops",77,57,1,8,2,1,146,496
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 91","Kamloops",83,50,0,10,1,1,145,468
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 92","Kamloops",89,70,2,4,4,0,169,543
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 93","Kamloops",73,52,0,8,4,0,137,433
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 94","Kamloops",84,46,0,4,0,1,135,379
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 95","Kamloops",128,71,1,13,3,0,216,597
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 96","Kamloops",106,81,1,8,1,0,197,547
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 97","Kamloops",53,40,1,9,3,1,107,409
