Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Felix Dionne,Patrick Jasmin,Andréanne Larouche,Susanne Lefebvre,James Seale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Shefford/Shefford"," 1","Maricourt",65,6,83,5,51,3,213,380
24071,"Shefford/Shefford"," 2","Racine",52,5,117,3,50,3,230,375
24071,"Shefford/Shefford"," 3","Racine",114,8,91,2,28,1,244,460
24071,"Shefford/Shefford"," 4","Racine",52,3,86,3,37,3,184,393
24071,"Shefford/Shefford"," 5","Valcourt",67,5,79,0,64,5,220,489
24071,"Shefford/Shefford"," 6","Valcourt",43,6,66,2,33,3,153,464
24071,"Shefford/Shefford"," 7","Valcourt",51,3,67,2,30,2,155,387
24071,"Shefford/Shefford"," 8","Valcourt",50,3,55,1,39,0,148,345
24071,"Shefford/Shefford"," 9","Valcourt",59,7,101,5,54,2,228,443
24071,"Shefford/Shefford"," 10","Valcourt",62,1,79,2,59,4,207,463
24071,"Shefford/Shefford"," 11","Lawrenceville",29,7,76,5,29,3,149,281
24071,"Shefford/Shefford"," 12","Lawrenceville",29,5,56,4,27,2,123,242
24071,"Shefford/Shefford"," 13","Bonsecours",33,5,51,9,22,0,120,222
24071,"Shefford/Shefford"," 14","Bonsecours",51,3,91,6,37,1,189,317
24071,"Shefford/Shefford"," 15","Roxton Pond",28,4,80,1,71,10,194,380
24071,"Shefford/Shefford"," 16","Roxton Pond",38,2,41,3,25,2,111,266
24071,"Shefford/Shefford"," 17","Roxton Pond",50,8,82,1,52,4,197,455
24071,"Shefford/Shefford"," 18","Roxton Pond",48,8,88,4,52,6,206,406
24071,"Shefford/Shefford"," 19","Roxton Pond",69,3,92,6,57,3,230,431
24071,"Shefford/Shefford"," 20","Roxton Pond",41,5,57,5,45,2,155,360
24071,"Shefford/Shefford"," 21","Roxton Pond",52,4,69,2,34,1,162,394
24071,"Shefford/Shefford"," 22","Roxton Pond",46,5,56,0,39,2,148,389
24071,"Shefford/Shefford"," 23","Roxton Pond",41,7,81,2,29,10,170,360
24071,"Shefford/Shefford"," 24","Roxton Pond",75,1,65,5,35,8,189,440
24071,"Shefford/Shefford"," 25","Saint-Joachim-de-Shefford",59,8,92,1,38,4,202,360
24071,"Shefford/Shefford"," 26","Saint-Joachim-de-Shefford",83,10,143,6,44,1,287,443
24071,"Shefford/Shefford"," 27","Saint-Joachim-de-Shefford",72,4,97,1,54,2,230,404
24071,"Shefford/Shefford"," 28","Sainte-Anne-de-la-Rochelle",22,1,60,2,26,4,115,226
24071,"Shefford/Shefford"," 29","Sainte-Anne-de-la-Rochelle",31,2,87,3,19,4,146,263
24071,"Shefford/Shefford"," 30","Sainte-Cécile-de-Milton",24,3,68,0,43,3,141,323
24071,"Shefford/Shefford"," 31","Sainte-Cécile-de-Milton",28,4,87,1,49,4,173,344
24071,"Shefford/Shefford"," 32","Sainte-Cécile-de-Milton",41,5,93,2,51,2,194,393
24071,"Shefford/Shefford"," 33","Sainte-Cécile-de-Milton",30,6,66,5,41,1,149,317
24071,"Shefford/Shefford"," 34","Sainte-Cécile-de-Milton",46,4,61,4,36,3,154,333
24071,"Shefford/Shefford"," 35","Granby",49,3,56,2,33,2,145,353
24071,"Shefford/Shefford"," 36","Granby",69,5,90,1,47,2,214,392
24071,"Shefford/Shefford"," 37","Granby",66,2,76,1,47,1,193,387
