Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,16
24036,"Laurentides--Labelle/Laurentides--Labelle"," 505","Mobile poll/Bureau itinérant",7,77,5,3,21,71,8,192,215
24036,"Laurentides--Labelle/Laurentides--Labelle"," 506","Mobile poll/Bureau itinérant",1,27,2,1,6,17,5,59,61
24036,"Laurentides--Labelle/Laurentides--Labelle"," 507","Mobile poll/Bureau itinérant",3,9,0,1,3,7,5,28,68
24036,"Laurentides--Labelle/Laurentides--Labelle"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,30
24036,"Laurentides--Labelle/Laurentides--Labelle"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,68
24036,"Laurentides--Labelle/Laurentides--Labelle"," 510","Mobile poll/Bureau itinérant",1,18,0,0,5,35,5,64,89
24036,"Laurentides--Labelle/Laurentides--Labelle"," 511","L'Annonciation",Combined with No./Résultats combinés à ceux du n°71,,,,,,,,1
24036,"Laurentides--Labelle/Laurentides--Labelle"," 512","Mobile poll/Bureau itinérant",0,10,0,0,3,28,0,41,46
24036,"Laurentides--Labelle/Laurentides--Labelle"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,17
24036,"Laurentides--Labelle/Laurentides--Labelle"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,19
24036,"Laurentides--Labelle/Laurentides--Labelle"," 515","Mobile poll/Bureau itinérant",1,37,0,1,9,28,5,81,100
24036,"Laurentides--Labelle/Laurentides--Labelle"," 516","Mobile poll/Bureau itinérant",2,39,0,2,7,56,3,109,146
24036,"Laurentides--Labelle/Laurentides--Labelle"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,24
24036,"Laurentides--Labelle/Laurentides--Labelle"," 518","Mont-Tremblant",Combined with No./Résultats combinés à ceux du n°137,,,,,,,,1
24036,"Laurentides--Labelle/Laurentides--Labelle"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,25
24036,"Laurentides--Labelle/Laurentides--Labelle"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,76
24036,"Laurentides--Labelle/Laurentides--Labelle"," 521","Mobile poll/Bureau itinérant",1,18,2,1,1,18,3,44,75
24036,"Laurentides--Labelle/Laurentides--Labelle"," 522","Mobile poll/Bureau itinérant",1,38,1,0,12,51,10,113,88
24036,"Laurentides--Labelle/Laurentides--Labelle"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,46
24036,"Laurentides--Labelle/Laurentides--Labelle"," 524","Mobile poll/Bureau itinérant",3,30,1,5,11,82,3,135,133
24036,"Laurentides--Labelle/Laurentides--Labelle"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,27
24036,"Laurentides--Labelle/Laurentides--Labelle"," 526","Mobile poll/Bureau itinérant",2,4,1,0,3,22,1,33,23
24036,"Laurentides--Labelle/Laurentides--Labelle"," 600","Mont-Saint-Michel",2,77,4,4,38,47,1,173,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 601","Ferme-Neuve",7,286,7,6,66,212,13,597,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 602","Mont-Laurier",4,184,3,4,65,122,5,387,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 603","Mont-Laurier",7,348,9,9,60,264,9,706,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 604","Mont-Laurier",15,481,7,22,95,311,24,955,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 605","Mont-Laurier",4,361,9,13,69,220,6,682,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 606","Beaux-Rivages",7,309,4,8,89,202,8,627,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 607","Lac-du-Cerf",5,150,4,3,26,108,3,299,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 608","Notre-Dame-du-Laus",12,220,4,5,78,289,7,615,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 609","Rivière-Rouge",6,397,5,9,113,275,7,812,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 610","Rivière-Rouge",6,406,12,15,123,339,25,926,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 611","Labelle",5,398,7,12,89,329,10,850,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 612","La Conception",6,288,10,8,55,448,3,818,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 613","Huberdeau",2,81,6,5,15,59,1,169,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 614","Huberdeau",3,136,1,16,58,265,3,482,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 615","La Conception",9,321,12,14,96,381,9,842,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 616","Mont-Tremblant",5,349,8,18,66,411,3,860,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 617","Saint-Faustin",5,372,7,20,111,327,5,847,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 618","Mont-Tremblant",8,256,13,15,106,606,3,1007,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 619","Saint-Donat",3,551,9,15,143,627,9,1357,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 620","Chertsey",5,178,2,11,44,155,5,400,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 621","Doncaster",Combined with No./Résultats combinés à ceux du n°622,,,,,,,,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 622","Lantier",4,247,8,18,77,232,4,590,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 623","Sainte-Agathe-des-Monts",5,374,10,19,102,373,5,888,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 624","Sainte-Agathe-des-Monts",8,434,11,21,111,390,13,988,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 625","Sainte-Agathe-des-Monts",11,395,8,25,73,375,16,903,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 626","Val-David",5,297,19,17,57,270,5,670,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 627","Val-David",10,302,14,24,53,308,7,718,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 628","Val-Morin",8,372,11,22,93,374,13,893,
24036,"Laurentides--Labelle/Laurentides--Labelle",,Group 1/Groupe 1, 3,158,7,30,72,243,29,542,134
24036,"Laurentides--Labelle/Laurentides--Labelle",,Group 2/Groupe 2, 14,714,15,45,182,770,23,1763,
