Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 48","Mont-Laurier",0,56,1,1,17,35,3,113,388
24036,"Laurentides--Labelle/Laurentides--Labelle"," 49","Mont-Laurier",1,84,1,3,27,39,2,157,461
24036,"Laurentides--Labelle/Laurentides--Labelle"," 50","Mont-Laurier",0,57,0,2,23,50,0,132,403
24036,"Laurentides--Labelle/Laurentides--Labelle"," 51A","Lac-des-Écorces",1,60,0,1,17,36,1,116,303
24036,"Laurentides--Labelle/Laurentides--Labelle"," 51B","Lac-des-Écorces",Combined with No./Résultats combinés à ceux du n°53,,,,,,,,41
24036,"Laurentides--Labelle/Laurentides--Labelle"," 52","Val-Barrette",4,84,4,4,31,42,2,171,289
24036,"Laurentides--Labelle/Laurentides--Labelle"," 53","Val-Barrette",2,94,1,1,23,33,0,154,261
24036,"Laurentides--Labelle/Laurentides--Labelle"," 54A","Mont-Laurier",1,74,2,6,27,35,1,146,489
24036,"Laurentides--Labelle/Laurentides--Labelle"," 54B","Mont-Laurier",Combined with No./Résultats combinés à ceux du n°55,,,,,,,,53
24036,"Laurentides--Labelle/Laurentides--Labelle"," 55","Mont-Laurier",1,69,5,7,17,34,4,137,442
24036,"Laurentides--Labelle/Laurentides--Labelle"," 56","Mont-Laurier",1,82,2,3,12,45,5,150,483
24036,"Laurentides--Labelle/Laurentides--Labelle"," 57","Mont-Laurier",3,71,1,1,22,33,6,137,453
24036,"Laurentides--Labelle/Laurentides--Labelle"," 58","Mont-Laurier",1,81,3,1,24,46,2,158,431
24036,"Laurentides--Labelle/Laurentides--Labelle"," 59","Mont-Laurier",0,92,0,4,25,36,8,165,446
24036,"Laurentides--Labelle/Laurentides--Labelle"," 60A","Notre-Dame-de-la-Merci",0,44,2,1,20,42,1,110,349
24036,"Laurentides--Labelle/Laurentides--Labelle"," 60B","Notre-Dame-de-la-Merci",Combined with No./Résultats combinés à ceux du n°61,,,,,,,,51
24036,"Laurentides--Labelle/Laurentides--Labelle"," 61","Notre-Dame-de-la-Merci",1,47,3,8,30,40,1,130,259
24036,"Laurentides--Labelle/Laurentides--Labelle"," 62A","Notre-Dame-de-la-Merci",6,57,4,5,21,42,2,137,331
24036,"Laurentides--Labelle/Laurentides--Labelle"," 62B","Notre-Dame-de-la-Merci",Combined with No./Résultats combinés à ceux du n°61,,,,,,,,41
24036,"Laurentides--Labelle/Laurentides--Labelle"," 63","Saint-Donat",3,23,2,2,11,23,1,65,351
24036,"Laurentides--Labelle/Laurentides--Labelle"," 64","Saint-Donat",2,79,5,3,24,54,6,173,405
24036,"Laurentides--Labelle/Laurentides--Labelle"," 65","Saint-Donat",2,53,6,4,17,48,2,132,391
24036,"Laurentides--Labelle/Laurentides--Labelle"," 66","Saint-Donat",4,68,1,0,38,34,0,145,417
24036,"Laurentides--Labelle/Laurentides--Labelle"," 67","Saint-Donat",1,52,3,4,10,35,0,105,317
24036,"Laurentides--Labelle/Laurentides--Labelle"," 68","Rivière-Rouge",4,63,2,2,19,31,3,124,385
24036,"Laurentides--Labelle/Laurentides--Labelle"," 69","Lacoste",2,37,6,3,30,19,4,101,328
24036,"Laurentides--Labelle/Laurentides--Labelle"," 70","Rivière-Rouge",1,66,3,2,40,31,6,149,441
24036,"Laurentides--Labelle/Laurentides--Labelle"," 71","L'Annonciation",4,41,3,2,20,17,3,90,387
24036,"Laurentides--Labelle/Laurentides--Labelle"," 72","L'Annonciation",7,48,4,3,29,37,5,133,463
24036,"Laurentides--Labelle/Laurentides--Labelle"," 73","L'Annonciation",2,50,2,2,23,29,4,112,470
24036,"Laurentides--Labelle/Laurentides--Labelle"," 74","Rivière-Rouge",4,46,0,2,19,31,3,105,310
24036,"Laurentides--Labelle/Laurentides--Labelle"," 75","Lac-Marsan",0,72,0,1,22,26,0,121,322
24036,"Laurentides--Labelle/Laurentides--Labelle"," 76","Lac-Supérieur",1,37,3,3,16,70,0,130,435
24036,"Laurentides--Labelle/Laurentides--Labelle"," 77","Lac-Supérieur",1,45,4,8,35,65,1,159,474
