Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mélanie Bédard,Gaëtan Deschênes,Martin Grenier,Sylvain Pariseau,Raymonde Plamondon,Simon-Pierre Savard-Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 1","Saint-Marcel-de-Richelieu",69,87,2,4,4,91,5,262,408
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 2","Saint-Louis",46,50,5,0,12,100,10,223,380
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 3","Saint-Louis",25,45,5,1,1,52,0,129,263
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 4","Saint-Hugues",66,40,4,3,7,100,3,223,352
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 5","Saint-Hugues",54,39,3,5,4,102,4,211,319
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 6","Saint-Hugues",59,53,5,0,2,136,3,258,389
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 7","Saint-Nazaire-d'Acton",40,43,4,5,2,77,3,174,318
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 8","Saint-Nazaire-d'Acton",58,52,5,1,3,87,1,207,364
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 9","Saint-Bernard-de-Michaudville",44,32,3,1,6,88,5,179,264
24066,"Saint-Hyacinthe--Bagot--Acton/Saint-Hyacinthe--Bagot--Acton"," 10","Saint-Bernard-de-Michaudville",29,21,2,0,0,75,3,130,225
