Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bisma Ansari,Normand Chouinard,Frédéric Dénommé,Zsolt Fischer,Claude Guay,Fang Hu,Manuel Johnson,Craig Sauvé,Louis-Philippe Sauvé,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 1","Montréal",1,0,1,49,64,0,0,15,32,1,0,163,500
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 2","Montréal",3,0,0,30,94,1,0,12,36,0,1,177,478
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 3","Montréal",5,0,3,23,84,1,2,41,16,1,0,176,467
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 4","Montréal",6,0,0,18,75,0,0,20,27,0,0,146,411
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 5","Montréal",4,0,1,21,56,0,0,38,37,1,2,160,397
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 6","Montréal",8,0,0,19,82,0,0,31,46,2,1,189,506
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 7","Montréal",7,0,2,22,78,0,1,23,32,2,1,168,413
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 8","Montréal",7,0,0,11,55,0,2,25,22,1,0,123,373
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 9","Montréal",5,0,0,17,60,0,1,16,26,0,2,127,358
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 10","Montréal",5,0,0,18,88,3,3,26,46,1,2,192,431
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 11","Montréal",8,2,0,25,93,0,3,52,38,1,1,223,544
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 12","Montréal",6,0,1,15,78,0,1,27,39,0,3,170,410
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 13","Montréal",6,1,1,28,83,0,2,31,48,3,4,207,513
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 14","Montréal",7,0,2,26,72,0,1,45,48,2,3,206,510
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 15","Montréal",13,1,2,33,98,0,2,36,50,0,3,238,506
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 16","Montréal",8,0,1,21,114,0,1,27,44,1,3,220,488
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 17","Montréal",4,0,0,23,134,0,1,11,70,3,3,249,598
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 18","Montréal",7,0,2,22,83,0,1,23,56,1,2,197,462
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 19","Montréal",3,1,1,20,95,0,0,23,32,2,7,184,491
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 20","Montréal",2,1,0,42,115,0,1,26,40,1,0,228,412
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 21","Montréal",3,0,0,37,102,0,0,24,28,2,2,198,464
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 22","Montréal",1,0,0,37,90,0,0,16,59,2,3,208,462
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 23","Montréal",3,0,0,31,94,0,1,25,30,3,2,189,479
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 24","Montréal",6,2,0,24,83,0,0,16,69,0,2,202,409
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 25","Montréal",2,2,2,27,120,1,0,45,61,0,1,261,529
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 26","Montréal",2,0,2,27,67,0,0,27,42,1,2,170,403
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 27","Montréal",3,0,1,21,65,0,1,16,38,0,0,145,411
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 28","Montréal",11,0,2,18,78,1,1,28,27,0,5,171,465
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 29","Montréal",7,0,1,15,61,0,0,18,32,1,0,135,395
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 30","Montréal",4,0,2,22,111,0,0,30,52,2,0,223,551
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 31","Montréal",11,0,0,18,69,0,0,30,37,1,1,167,433
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 32","Montréal",6,0,1,23,68,0,0,24,23,2,2,149,404
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 33","Montréal",5,1,0,30,79,0,0,32,41,1,3,192,545
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 34","Montréal",12,0,1,15,50,0,0,37,30,2,2,149,391
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 35","Montréal",4,0,0,16,63,2,2,20,23,0,1,131,460
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 36","Montréal",7,1,1,31,90,0,0,35,37,2,1,205,508
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 37","Montréal",8,1,1,23,97,0,0,24,40,1,1,196,537
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 38","Montréal",8,1,0,19,69,0,0,21,25,0,2,145,479
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 39","Montréal",7,1,1,16,69,1,0,29,42,3,5,174,505
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 40","Montréal",6,1,0,21,65,0,0,10,25,2,4,134,348
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 41","Montréal",4,0,0,15,52,0,1,15,31,0,0,118,379
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 42","Montréal",3,0,1,9,62,0,1,24,20,0,3,123,378
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 43","Montréal",4,0,1,18,53,0,2,36,42,1,2,159,395
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 44","Montréal",11,0,0,17,71,0,4,38,32,1,1,175,458
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 45","Montréal",5,0,1,17,61,0,3,40,30,1,4,162,500
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 46","Montréal",8,0,0,12,65,0,1,22,26,0,1,135,426
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 47","Montréal",7,0,3,16,61,0,1,32,33,0,0,153,369
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 48","Montréal",6,0,1,14,66,0,2,38,27,0,1,155,481
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 49","Montréal",8,0,0,14,70,0,3,20,37,0,3,155,538
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 50","Montréal",10,0,2,10,76,0,1,31,42,1,6,179,393
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 51","Montréal",8,0,1,32,51,1,2,21,53,0,2,171,482
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 52","Montréal",9,0,0,15,66,0,1,23,31,0,1,146,422
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 53","Montréal",9,0,2,11,58,0,2,20,42,0,2,146,471
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 54","Montréal",2,0,1,42,88,1,0,18,75,2,7,236,532
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 55","Montréal",3,0,0,27,74,1,1,20,52,0,3,181,484
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 56","Montréal",3,0,1,26,61,0,0,13,35,1,0,140,438
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 57","Montréal",4,0,0,20,51,1,0,19,38,1,1,135,397
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 58A","Montréal",3,0,0,21,77,0,0,19,49,3,4,176,431
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 58B","Montréal",Combined with No./Résultats combinés à ceux du n°54,,,,,,,,,,,,83
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 59","Montréal",5,0,1,21,54,1,1,25,19,0,2,129,364
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 60","Montréal",9,0,1,15,62,0,0,23,31,1,2,144,446
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 61","Montréal",1,0,2,34,78,1,0,22,39,0,1,178,430
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 62","Montréal",4,0,2,28,75,0,0,22,43,1,3,178,445
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 63","Montréal",8,0,1,19,119,0,1,25,74,1,6,254,487
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 64","Montréal",1,0,1,13,48,0,0,10,24,0,1,98,353
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 65","Montréal",5,0,1,14,58,1,0,16,31,2,0,128,455
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 66","Montréal",11,2,0,19,59,0,2,23,43,1,2,162,373
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 67","Montréal",8,0,0,23,79,0,0,26,56,0,3,195,407
