Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Duvall,Peter Dyakowski,Jim Enos,Trevor Lee,Richard Plett,Bruno Uggenti,Dave Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton Mountain/Hamilton Mountain"," 1","Hamilton",100,45,3,3,1,40,17,0,209,354
35037,"Hamilton Mountain/Hamilton Mountain"," 2","Hamilton",99,50,1,1,0,40,18,1,210,421
35037,"Hamilton Mountain/Hamilton Mountain"," 3","Hamilton",84,35,2,9,0,50,17,1,198,438
35037,"Hamilton Mountain/Hamilton Mountain"," 4","Hamilton",85,27,0,2,2,36,4,1,157,362
35037,"Hamilton Mountain/Hamilton Mountain"," 5","Hamilton",122,54,2,6,2,40,14,5,245,484
35037,"Hamilton Mountain/Hamilton Mountain"," 6","Hamilton",110,39,2,5,0,41,12,0,209,383
35037,"Hamilton Mountain/Hamilton Mountain"," 7","Hamilton",98,56,2,8,1,49,19,2,235,391
35037,"Hamilton Mountain/Hamilton Mountain"," 8","Hamilton",103,55,2,5,0,67,23,0,255,420
35037,"Hamilton Mountain/Hamilton Mountain"," 9","Hamilton",89,44,2,6,0,58,7,2,208,392
35037,"Hamilton Mountain/Hamilton Mountain"," 10","Hamilton",79,53,0,2,0,78,19,1,232,382
35037,"Hamilton Mountain/Hamilton Mountain"," 11","Hamilton",92,64,0,4,0,61,15,2,238,399
35037,"Hamilton Mountain/Hamilton Mountain"," 12","Hamilton",105,43,0,7,1,57,19,0,232,415
35037,"Hamilton Mountain/Hamilton Mountain"," 13","Hamilton",87,61,0,0,0,44,20,0,212,392
35037,"Hamilton Mountain/Hamilton Mountain"," 14","Hamilton",118,40,2,1,1,51,32,1,246,457
35037,"Hamilton Mountain/Hamilton Mountain"," 15","Hamilton",116,50,1,4,1,55,12,1,240,437
35037,"Hamilton Mountain/Hamilton Mountain"," 16","Hamilton",93,47,1,5,1,48,21,0,216,385
35037,"Hamilton Mountain/Hamilton Mountain"," 17","Hamilton",110,39,0,3,1,48,18,1,220,417
