Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Wayne James,Ian Kathwaroon,Detlev Regelsky,Robert A. Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 1","Grahamdale",72,7,1,5,11,2,98,291
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 2","Grahamdale",148,5,2,7,9,0,171,304
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 3","Moosehorn",167,6,1,16,27,1,218,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 4","Peguis",93,9,0,15,10,0,127,284
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 5","Ashern",80,10,3,15,20,0,128,247
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 6","Ashern",87,7,0,2,11,2,109,196
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7","Ashern",78,6,5,11,20,0,120,233
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 8","Hecla--Washow",99,6,1,6,14,1,127,227
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 9","Shorncliffe--Ledwyn",67,3,2,3,15,0,90,237
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10","Riverton",81,8,1,15,25,0,130,236
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 11","Riverton",91,4,5,12,16,2,130,276
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 12","Riverton",105,9,1,5,21,1,142,218
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 13","Camper",82,0,0,6,9,1,98,157
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 14","Sylvan",112,4,1,4,21,0,142,263
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 15","Fisher Branch",104,6,2,12,20,0,144,271
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16","Fisherton",179,12,0,7,35,1,234,373
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 17","Vidir",77,0,1,0,2,0,80,301
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 18","Vidir",85,3,4,0,6,0,98,265
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 19","Dog Creek",14,1,0,80,42,0,137,637
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 20","Siglunes",106,4,3,10,22,0,145,319
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 21","Eriksdale",122,13,2,9,26,0,172,392
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 22","Framnes",112,2,1,3,15,0,133,215
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 23","Arborg",157,9,1,13,28,3,211,365
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 24","Arborg",141,5,3,13,32,1,195,414
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 25","Geyser",111,2,0,10,44,0,167,300
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 26","Chatfield",116,2,2,8,14,0,142,262
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 27","Rembrandt",136,4,2,3,22,1,168,343
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 28","Lundar",189,11,2,15,22,1,240,396
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 29","Minnewakan",221,10,1,19,14,7,272,405
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 30","Silver Harbour",147,19,1,28,46,0,241,406
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 31","Camp Morton",121,3,3,20,33,1,181,385
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 32","Silver Harbour",69,13,5,25,35,0,147,297
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 33","Lake Manitoba",58,0,2,6,5,0,71,103
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 34","Fraserwood",121,7,3,10,37,0,178,316
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 35","Gimli",62,7,0,14,25,1,109,198
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 36","Shore Point",103,14,3,18,50,2,190,429
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 37","Loni Beach",116,11,5,29,31,1,193,396
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 38","Gimli",90,11,2,28,59,2,192,443
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 39","Gimli",100,7,2,25,42,1,177,419
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 40","Gimli",83,9,1,29,36,2,160,412
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 41","Aspen Park",95,10,1,28,39,1,174,398
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 42","Gimli",111,12,5,49,37,1,215,434
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 43","Victoria Beach",69,14,5,27,14,2,131,315
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 44","Hillside",42,11,1,21,28,1,104,256
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 45","Hillside",64,8,3,29,15,4,123,305
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 46","Alexander--Belair",102,19,1,49,27,0,198,418
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 47","Inwood",175,16,4,18,28,2,243,364
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 48","Komarno",134,10,2,14,30,1,191,326
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 49","Oak Point",92,5,5,17,16,0,135,254
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 50","St. Laurent",88,7,2,30,29,1,157,375
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 51","St. Laurent",76,2,2,16,20,0,116,215
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 52","St. Laurent",92,4,0,29,22,2,149,311
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 53","Husavick",83,9,2,18,27,1,140,324
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 54","Sandy Hook",86,4,1,14,31,1,137,227
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 55","Sandy Hook",76,12,7,42,22,0,159,325
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 56","Winnipeg Beach",98,11,1,32,39,0,181,409
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 57","Winnipeg Beach",107,8,3,36,61,2,217,454
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 58","Winnipeg Beach",99,9,1,26,28,1,164,286
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 59","Ponemah",94,18,4,33,45,1,195,412
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 60","Grand Beach",121,18,1,50,49,1,240,413
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 61","St. Clements--Beaconia",67,3,1,31,33,1,136,279
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 62","St-Georges",181,11,1,38,35,1,267,410
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 63","Pine Falls",46,9,3,19,31,1,109,298
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 64","Pine Falls",65,5,1,15,36,0,122,296
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 65","Powerview--Pine Falls",85,9,2,11,24,1,132,436
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 66","Alexander",76,7,1,15,14,0,113,268
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 67","Dunnottar",75,11,5,29,41,1,162,298
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 68","Matlock",98,11,5,28,50,1,193,339
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 69","Teulon",154,6,1,11,23,4,199,329
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 70","Erinview",153,6,4,14,30,1,208,369
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 71","Teulon",115,7,1,10,19,1,153,272
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 72","Teulon",89,6,2,12,26,0,135,286
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 73","Teulon",122,12,0,14,20,1,169,323
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 74","Teulon",112,6,1,10,9,1,139,240
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 75","Great Falls",105,5,0,17,23,1,151,245
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 76","Thalberg",133,17,1,29,25,1,206,366
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 77","Thalberg",121,8,1,3,12,0,145,228
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 78","Netley",143,14,4,16,23,1,201,373
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 79","Petersfield",113,13,0,20,26,2,174,307
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 80","Petersfield",121,5,1,15,25,0,167,317
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 81","Clandeboye",100,9,2,10,39,0,160,308
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 82","Brokenhead 4",6,7,1,13,65,0,92,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 83","Gunton",209,12,4,29,37,2,293,431
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 84","Libau",121,17,4,15,53,1,211,327
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 85","Balmoral",95,9,7,15,30,0,156,276
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 86","Balmoral",211,13,7,19,42,1,293,434
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 87","Bird River",138,11,1,37,32,0,219,369
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 88","Lake Francis",117,4,2,8,15,0,146,248
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 89","Oswald",163,16,1,27,24,3,234,424
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 90","Woodlands",169,7,3,10,20,0,209,445
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 91","Riverland",96,14,1,16,27,2,156,417
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 92","Crescent Bay",80,12,4,27,16,0,139,348
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 93","Riverland",134,7,5,17,20,0,183,356
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 94","Lac du Bonnet",145,17,8,24,26,4,224,392
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 95","Lac du Bonnet",142,10,5,20,27,3,207,425
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 96","Lac du Bonnet",82,11,3,17,27,1,141,341
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 97","Lac du Bonnet",110,19,0,17,27,0,173,360
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 98","Riverland",135,17,1,28,25,2,208,431
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 99","Clandeboye",103,12,1,21,45,0,182,328
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 100","Clandeboye",89,12,9,20,27,1,158,324
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 101","Argyle",191,20,1,28,19,0,259,430
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 102","Dynevor",87,10,5,17,36,1,156,279
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 103","Selkirk",75,13,3,25,53,1,170,390
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 104","Selkirk",63,8,3,25,45,0,144,366
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 105","Lait",95,11,1,8,14,1,130,223
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 106","Stonewall",28,1,0,7,7,0,43,114
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 107","Stonewall",211,16,6,39,53,2,327,563
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 108","Stonewall",88,7,4,27,33,2,161,320
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 109","Stonewall",76,10,1,22,25,0,134,281
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 110","Stonewall",90,12,3,17,32,5,159,328
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 111","Cloverdale",122,12,1,17,38,3,193,397
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 112","Selkirk",60,3,2,18,34,0,117,297
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 113","Selkirk",95,10,2,19,36,1,163,335
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 114","Selkirk",74,11,1,9,49,1,145,344
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 115","Walkleyburg",108,13,6,23,50,0,200,347
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 116","East Selkirk",119,16,4,31,57,0,227,428
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 117","East Selkirk",105,10,5,13,46,1,180,360
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 118","East Selkirk",96,14,5,22,32,0,169,310
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 119","East Selkirk",81,9,2,16,48,1,157,307
