Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joseph Alexander,Daniel Blanchard,Harpreet Singh Dawar,Harry Dhillon,Gurinder Singh Gill,Signe Knutson,Nirmala Naidoo,Jag Sahota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Skyview/Calgary Skyview"," 1A","Calgary",2,0,1,2,25,7,54,177,1,269,660
48013,"Calgary Skyview/Calgary Skyview"," 1B","Calgary",3,1,0,1,22,6,61,186,0,280,657
48013,"Calgary Skyview/Calgary Skyview"," 2","Calgary",4,0,2,5,23,1,38,124,2,199,444
48013,"Calgary Skyview/Calgary Skyview"," 3","Calgary",0,0,0,3,10,4,24,101,0,142,330
48013,"Calgary Skyview/Calgary Skyview"," 4","Calgary",1,1,0,0,19,3,31,118,0,173,395
48013,"Calgary Skyview/Calgary Skyview"," 5","Calgary",3,0,0,1,17,5,37,156,0,219,452
48013,"Calgary Skyview/Calgary Skyview"," 6","Calgary",1,1,1,2,26,3,27,88,1,150,399
48013,"Calgary Skyview/Calgary Skyview"," 7","Calgary",1,0,0,2,25,6,20,101,0,155,372
48013,"Calgary Skyview/Calgary Skyview"," 8","Calgary",1,0,2,5,10,4,42,89,1,154,388
48013,"Calgary Skyview/Calgary Skyview"," 9","Calgary",5,1,0,2,20,6,49,125,1,209,585
48013,"Calgary Skyview/Calgary Skyview"," 10","Calgary",1,1,0,2,30,4,38,146,2,224,597
48013,"Calgary Skyview/Calgary Skyview"," 11","Calgary",3,0,0,2,12,1,39,103,1,161,445
48013,"Calgary Skyview/Calgary Skyview"," 12","Calgary",1,1,0,3,21,6,44,113,0,189,552
48013,"Calgary Skyview/Calgary Skyview"," 13","Calgary",3,1,0,0,21,7,57,117,1,207,519
48013,"Calgary Skyview/Calgary Skyview"," 14","Calgary",1,1,0,1,14,5,19,90,0,131,370
48013,"Calgary Skyview/Calgary Skyview"," 15","Calgary",3,1,0,4,40,6,44,131,0,229,654
48013,"Calgary Skyview/Calgary Skyview"," 16","Calgary",0,0,0,2,20,2,35,106,2,167,400
48013,"Calgary Skyview/Calgary Skyview"," 17","Calgary",3,1,1,4,23,3,43,147,2,227,529
48013,"Calgary Skyview/Calgary Skyview"," 18","Calgary",4,1,2,3,16,6,32,135,0,199,441
48013,"Calgary Skyview/Calgary Skyview"," 19","Calgary",2,0,0,0,19,6,40,103,0,170,446
48013,"Calgary Skyview/Calgary Skyview"," 20","Calgary",3,2,0,2,27,10,37,132,2,215,488
48013,"Calgary Skyview/Calgary Skyview"," 21","Calgary",1,0,0,3,14,5,20,131,2,176,421
48013,"Calgary Skyview/Calgary Skyview"," 22","Calgary",2,0,0,0,30,4,44,86,0,166,390
48013,"Calgary Skyview/Calgary Skyview"," 23","Calgary",3,0,0,6,20,6,46,137,0,218,607
48013,"Calgary Skyview/Calgary Skyview"," 24","Calgary",1,0,1,2,21,4,47,91,1,168,423
48013,"Calgary Skyview/Calgary Skyview"," 25","Calgary",4,2,0,2,21,4,44,120,1,198,500
48013,"Calgary Skyview/Calgary Skyview"," 26","Calgary",1,0,0,1,15,3,30,93,1,144,367
48013,"Calgary Skyview/Calgary Skyview"," 27","Calgary",1,0,1,2,6,11,39,111,0,171,499
48013,"Calgary Skyview/Calgary Skyview"," 28","Calgary",2,0,1,2,21,4,25,98,3,156,429
48013,"Calgary Skyview/Calgary Skyview"," 29","Calgary",1,0,0,3,19,1,29,100,4,157,501
48013,"Calgary Skyview/Calgary Skyview"," 30","Calgary",0,0,0,1,15,3,23,107,3,152,441
48013,"Calgary Skyview/Calgary Skyview"," 31","Calgary",2,1,1,4,49,2,128,149,0,336,875
48013,"Calgary Skyview/Calgary Skyview"," 32","Calgary",1,1,1,2,45,2,69,126,1,248,716
