Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodore Antony,Hal Berman,Helena Jaczek,Jeremy Lin,Roy Long,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 50","Whitchurch-Stouffville",56,7,61,4,7,39,0,174,477
35054,"Markham--Stouffville/Markham--Stouffville"," 51","Whitchurch-Stouffville",64,5,64,2,1,70,5,211,468
35054,"Markham--Stouffville/Markham--Stouffville"," 52","Whitchurch-Stouffville",63,9,61,0,4,37,0,174,407
35054,"Markham--Stouffville/Markham--Stouffville"," 53","Whitchurch-Stouffville",57,15,52,1,4,41,2,172,392
35054,"Markham--Stouffville/Markham--Stouffville"," 54","Whitchurch-Stouffville",70,15,66,0,7,28,3,189,397
35054,"Markham--Stouffville/Markham--Stouffville"," 55","Whitchurch-Stouffville",29,2,47,2,2,79,7,168,131
35054,"Markham--Stouffville/Markham--Stouffville"," 56","Whitchurch-Stouffville",38,13,42,5,8,94,1,201,462
35054,"Markham--Stouffville/Markham--Stouffville"," 57A","Whitchurch-Stouffville",82,19,83,2,8,46,0,240,498
35054,"Markham--Stouffville/Markham--Stouffville"," 57B","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°55,,,,,,,,80
35054,"Markham--Stouffville/Markham--Stouffville"," 58","Whitchurch-Stouffville",68,16,70,2,4,60,0,220,485
35054,"Markham--Stouffville/Markham--Stouffville"," 59","Whitchurch-Stouffville",44,12,72,2,3,39,0,172,432
35054,"Markham--Stouffville/Markham--Stouffville"," 60","Whitchurch-Stouffville",41,9,71,0,0,32,3,156,366
35054,"Markham--Stouffville/Markham--Stouffville"," 61","Whitchurch-Stouffville",35,12,70,3,5,55,3,183,379
35054,"Markham--Stouffville/Markham--Stouffville"," 62","Whitchurch-Stouffville",61,15,86,0,4,45,1,212,457
35054,"Markham--Stouffville/Markham--Stouffville"," 63","Whitchurch-Stouffville",70,22,97,2,4,62,4,261,549
35054,"Markham--Stouffville/Markham--Stouffville"," 64","Whitchurch-Stouffville",86,21,120,4,2,31,2,266,547
35054,"Markham--Stouffville/Markham--Stouffville"," 65","Whitchurch-Stouffville",106,15,111,0,14,65,2,313,592
35054,"Markham--Stouffville/Markham--Stouffville"," 66","Whitchurch-Stouffville",63,9,62,1,1,46,1,183,407
35054,"Markham--Stouffville/Markham--Stouffville"," 67","Whitchurch-Stouffville",57,12,49,0,2,58,1,179,379
35054,"Markham--Stouffville/Markham--Stouffville"," 68","Whitchurch-Stouffville",72,14,85,3,6,41,1,222,515
35054,"Markham--Stouffville/Markham--Stouffville"," 69","Whitchurch-Stouffville",49,4,56,0,4,54,1,168,386
35054,"Markham--Stouffville/Markham--Stouffville"," 70","Whitchurch-Stouffville",35,15,78,4,4,55,2,193,430
35054,"Markham--Stouffville/Markham--Stouffville"," 71","Whitchurch-Stouffville",50,6,71,1,7,30,0,165,388
35054,"Markham--Stouffville/Markham--Stouffville"," 72","Whitchurch-Stouffville",65,12,76,1,0,33,2,189,368
35054,"Markham--Stouffville/Markham--Stouffville"," 73","Whitchurch-Stouffville",59,7,65,3,2,65,4,205,401
35054,"Markham--Stouffville/Markham--Stouffville"," 74","Whitchurch-Stouffville",99,21,116,3,6,37,1,283,614
35054,"Markham--Stouffville/Markham--Stouffville"," 75","Whitchurch-Stouffville",114,8,77,4,5,64,10,282,647
35054,"Markham--Stouffville/Markham--Stouffville"," 76","Whitchurch-Stouffville",108,15,49,0,6,42,5,225,512
35054,"Markham--Stouffville/Markham--Stouffville"," 77","Markham",88,10,84,3,7,30,1,223,465
35054,"Markham--Stouffville/Markham--Stouffville"," 78","Markham",92,23,108,2,3,18,2,248,614
35054,"Markham--Stouffville/Markham--Stouffville"," 79","Markham",73,11,107,2,1,20,0,214,396
35054,"Markham--Stouffville/Markham--Stouffville"," 80","Markham",98,10,125,1,3,19,4,260,525
35054,"Markham--Stouffville/Markham--Stouffville"," 81","Markham",114,20,118,2,2,12,2,270,570
