Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lyne Bourdages,Philippe Gagnon,Vincent Garneau,Mario Simard,Sylvie Théodore,Karine Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"Jonquière/Jonquière"," 56","Saguenay",3,38,20,65,2,53,1,182,306
24032,"Jonquière/Jonquière"," 57","Saguenay",7,33,34,76,2,83,5,240,382
24032,"Jonquière/Jonquière"," 58","Saguenay",7,26,26,74,2,79,6,220,400
24032,"Jonquière/Jonquière"," 59","Saguenay",7,21,38,73,2,84,3,228,429
24032,"Jonquière/Jonquière"," 60","Saguenay",2,29,35,84,0,93,4,247,425
24032,"Jonquière/Jonquière"," 61","Saguenay",4,24,32,75,0,77,5,217,437
24032,"Jonquière/Jonquière"," 62","Saguenay",2,40,47,61,3,52,3,208,420
24032,"Jonquière/Jonquière"," 63","Saguenay",3,31,41,73,2,71,3,224,341
24032,"Jonquière/Jonquière"," 64","Saguenay",10,59,30,70,5,59,6,239,397
24032,"Jonquière/Jonquière"," 65","Saguenay",4,53,39,63,2,68,5,234,417
24032,"Jonquière/Jonquière"," 66","Saguenay",7,37,48,84,0,67,5,248,425
24032,"Jonquière/Jonquière"," 67","Saguenay",4,39,28,76,3,42,5,197,446
24032,"Jonquière/Jonquière"," 68","Saguenay",7,24,26,65,3,21,5,151,405
24032,"Jonquière/Jonquière"," 69","Saguenay",6,55,2,73,2,59,5,202,427
24032,"Jonquière/Jonquière"," 70","Saguenay",1,36,39,74,3,46,6,205,409
24032,"Jonquière/Jonquière"," 71","Saguenay",5,59,15,74,2,78,5,238,398
24032,"Jonquière/Jonquière"," 72","Saguenay",2,40,28,72,2,49,2,195,414
24032,"Jonquière/Jonquière"," 73","Saguenay",3,26,13,47,2,33,0,124,369
24032,"Jonquière/Jonquière"," 74","Saguenay",2,30,28,71,3,66,1,201,382
24032,"Jonquière/Jonquière"," 75","Saguenay",6,34,27,90,2,60,4,223,381
24032,"Jonquière/Jonquière"," 76","Saguenay",3,28,31,62,3,36,3,166,410
24032,"Jonquière/Jonquière"," 77","Saguenay",1,66,32,80,2,68,0,249,435
24032,"Jonquière/Jonquière"," 78","Saguenay",4,44,32,89,0,50,3,222,375
24032,"Jonquière/Jonquière"," 79","Saguenay",3,19,35,59,0,56,3,175,345
24032,"Jonquière/Jonquière"," 80","Saguenay",2,25,24,72,7,46,1,177,382
24032,"Jonquière/Jonquière"," 81","Saguenay",1,30,29,67,3,51,6,187,386
24032,"Jonquière/Jonquière"," 82","Saguenay",7,38,36,63,2,36,4,186,378
24032,"Jonquière/Jonquière"," 83","Saguenay",4,32,31,94,3,59,7,230,404
24032,"Jonquière/Jonquière"," 84","Saguenay",6,30,28,82,1,59,5,211,380
24032,"Jonquière/Jonquière"," 85","Saguenay",4,32,22,82,1,76,4,221,378
24032,"Jonquière/Jonquière"," 86","Saguenay",14,31,39,90,6,52,3,235,468
24032,"Jonquière/Jonquière"," 87","Saguenay",3,43,21,86,3,58,4,218,377
24032,"Jonquière/Jonquière"," 88","Saguenay",6,35,31,104,0,67,3,246,431
24032,"Jonquière/Jonquière"," 89","Saguenay",6,45,34,76,2,73,6,242,401
24032,"Jonquière/Jonquière"," 90","Saguenay",5,66,45,96,4,76,8,300,516
24032,"Jonquière/Jonquière"," 91","Saguenay",4,44,55,98,1,70,2,274,465
24032,"Jonquière/Jonquière"," 92","Saguenay",4,73,53,95,0,97,5,327,592
24032,"Jonquière/Jonquière"," 93","Saguenay",6,44,22,59,3,53,7,194,301
24032,"Jonquière/Jonquière"," 94","Saguenay",6,29,31,90,2,91,4,253,442
24032,"Jonquière/Jonquière"," 95","Saguenay",4,40,23,83,1,70,4,225,454
24032,"Jonquière/Jonquière"," 96","Saguenay",6,40,40,83,1,68,0,238,415
24032,"Jonquière/Jonquière"," 97","Saguenay",5,46,37,74,6,82,9,259,459
24032,"Jonquière/Jonquière"," 98","Saguenay",6,42,44,73,1,77,4,247,427
24032,"Jonquière/Jonquière"," 99","Saguenay",4,38,32,99,1,76,2,252,422
24032,"Jonquière/Jonquière"," 100","Saguenay",4,38,40,81,3,94,3,263,407
24032,"Jonquière/Jonquière"," 101","Saguenay",4,23,24,85,4,45,6,191,420
24032,"Jonquière/Jonquière"," 102","Saguenay",6,45,37,72,4,62,5,231,465
24032,"Jonquière/Jonquière"," 103","Saguenay",4,25,34,81,6,60,10,220,426
24032,"Jonquière/Jonquière"," 104","Saguenay",1,46,28,94,0,46,6,221,423
24032,"Jonquière/Jonquière"," 105","Saguenay",9,34,28,58,1,33,6,169,400
24032,"Jonquière/Jonquière"," 106","Saguenay",2,31,22,68,2,45,2,172,404
24032,"Jonquière/Jonquière"," 107","Saguenay",1,33,28,73,2,51,4,192,436
24032,"Jonquière/Jonquière"," 108","Saguenay",5,41,35,59,1,53,5,199,475
24032,"Jonquière/Jonquière"," 109","Saguenay",6,20,30,68,2,54,4,184,557
24032,"Jonquière/Jonquière"," 110","Saguenay",1,28,26,51,4,30,7,147,386
24032,"Jonquière/Jonquière"," 111","Saguenay",2,34,35,45,1,38,1,156,417
24032,"Jonquière/Jonquière"," 112","Saguenay",2,25,31,54,1,36,5,154,378
24032,"Jonquière/Jonquière"," 113","Saguenay",1,28,30,94,0,64,2,219,431
24032,"Jonquière/Jonquière"," 114","Saguenay",1,44,30,99,0,62,5,241,474
24032,"Jonquière/Jonquière"," 115","Saguenay",5,65,35,83,3,77,7,275,518
24032,"Jonquière/Jonquière"," 116","Saguenay",6,32,27,66,1,57,3,192,518
24032,"Jonquière/Jonquière"," 117","Saguenay",1,42,45,83,4,75,4,254,420
24032,"Jonquière/Jonquière"," 118","Saguenay",4,24,46,72,0,59,8,213,484
24032,"Jonquière/Jonquière"," 119","Saguenay",5,28,34,68,1,68,4,208,453
24032,"Jonquière/Jonquière"," 120","Saguenay",2,34,28,62,3,41,3,173,376
24032,"Jonquière/Jonquière"," 121","Saguenay",6,22,28,58,1,48,4,167,403
24032,"Jonquière/Jonquière"," 122","Saguenay",7,21,40,65,2,48,6,189,417
24032,"Jonquière/Jonquière"," 123","Saguenay",3,25,30,71,1,57,7,194,477
24032,"Jonquière/Jonquière"," 124","Saguenay",3,55,34,71,0,63,5,231,442
24032,"Jonquière/Jonquière"," 125","Saguenay",3,58,49,79,1,67,4,261,466
24032,"Jonquière/Jonquière"," 126","Saguenay",3,57,39,79,0,53,3,234,392
24032,"Jonquière/Jonquière"," 127","Saguenay",9,40,42,62,2,60,4,219,413
24032,"Jonquière/Jonquière"," 128","Saguenay",4,42,27,54,2,35,8,172,371
24032,"Jonquière/Jonquière"," 129","Saguenay",5,57,39,89,1,44,4,239,421
24032,"Jonquière/Jonquière"," 130","Saguenay",6,54,45,118,4,54,11,292,625
24032,"Jonquière/Jonquière"," 131","Saguenay",5,90,67,105,1,103,4,375,646
24032,"Jonquière/Jonquière"," 132","Saguenay",6,81,49,115,4,110,6,371,699
24032,"Jonquière/Jonquière"," 133","Saguenay",3,50,24,77,1,38,4,197,505
24032,"Jonquière/Jonquière"," 134","Saguenay",6,37,45,97,1,53,1,240,440
24032,"Jonquière/Jonquière"," 135","Saguenay",5,68,42,93,3,50,2,263,533
24032,"Jonquière/Jonquière"," 136","Saguenay",7,97,32,86,0,42,6,270,549
24032,"Jonquière/Jonquière"," 137","Saguenay",5,81,47,87,3,55,11,289,564
24032,"Jonquière/Jonquière"," 138","Saguenay",2,67,29,78,3,53,2,234,465
24032,"Jonquière/Jonquière"," 139","Saguenay",9,31,24,72,3,55,0,194,401
24032,"Jonquière/Jonquière"," 140","Saguenay",3,35,31,66,1,33,2,171,424
24032,"Jonquière/Jonquière"," 141","Saguenay",5,41,27,75,1,62,8,219,417
24032,"Jonquière/Jonquière"," 142","Saguenay",4,35,45,78,0,70,0,232,389
24032,"Jonquière/Jonquière"," 143","Saguenay",4,41,49,65,0,54,5,218,401
24032,"Jonquière/Jonquière"," 144","Saguenay",4,25,28,63,1,46,2,169,394
24032,"Jonquière/Jonquière"," 145","Saguenay",10,31,45,80,2,62,3,233,411
24032,"Jonquière/Jonquière"," 146","Saguenay",3,42,34,83,4,59,7,232,397
24032,"Jonquière/Jonquière"," 147","Saguenay",6,68,47,96,0,67,5,289,539
24032,"Jonquière/Jonquière"," 148","Saguenay",5,25,47,118,0,96,6,297,437
24032,"Jonquière/Jonquière"," 149","Saguenay",5,51,41,109,1,94,6,307,478
24032,"Jonquière/Jonquière"," 150","Saguenay",8,80,47,117,4,105,7,368,618
24032,"Jonquière/Jonquière"," 151","Saguenay",3,30,24,74,2,50,2,185,403
24032,"Jonquière/Jonquière"," 152","Saguenay",2,36,39,66,2,45,2,192,398
24032,"Jonquière/Jonquière"," 153","Saguenay",2,19,37,95,1,58,2,214,407
24032,"Jonquière/Jonquière"," 154","Saguenay",4,49,41,92,7,48,1,242,490
24032,"Jonquière/Jonquière"," 155","Larouche",6,40,21,70,1,49,2,189,356
24032,"Jonquière/Jonquière"," 156","Larouche",3,35,20,68,0,38,3,167,318
24032,"Jonquière/Jonquière"," 157","Larouche",3,49,24,95,0,60,6,237,418
24032,"Jonquière/Jonquière"," 158","Saguenay",3,40,26,83,7,25,5,189,414
24032,"Jonquière/Jonquière"," 159","Saguenay",4,55,37,88,2,63,6,255,438
