Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Patrick Cacereco Berthiaume,Christian Gagnon,Susanne Lefebvre,Luc Lupien,Alain Magnan,Christine Paré,Steve Penner,Mark Sibthorpe,Justin Trudeau,Juan Vazquez,Sophie Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Papineau/Papineau"," 1","Montréal",1,16,1,0,2,25,0,0,132,3,15,2,197,474
24055,"Papineau/Papineau"," 2","Montréal",1,35,1,1,0,24,0,1,129,9,19,5,225,498
24055,"Papineau/Papineau"," 3","Montréal",4,20,1,0,1,10,0,1,148,3,7,10,205,525
24055,"Papineau/Papineau"," 4","Montréal",2,47,2,0,0,34,0,1,98,10,17,4,215,511
24055,"Papineau/Papineau"," 5","Montréal",1,27,0,0,0,37,1,1,118,11,6,4,206,488
24055,"Papineau/Papineau"," 6","Montréal",1,31,0,0,2,17,1,1,82,7,9,7,158,466
24055,"Papineau/Papineau"," 7","Montréal",1,49,1,1,1,20,0,0,134,15,7,5,234,479
24055,"Papineau/Papineau"," 8","Montréal",2,51,3,0,1,30,0,1,138,12,19,6,263,496
24055,"Papineau/Papineau"," 9","Montréal",1,37,1,0,0,28,0,1,65,9,15,1,158,416
24055,"Papineau/Papineau"," 10","Montréal",2,32,0,1,0,24,0,0,127,5,12,8,211,456
24055,"Papineau/Papineau"," 11","Montréal",2,31,1,2,1,30,0,3,133,9,12,7,231,501
24055,"Papineau/Papineau"," 12","Montréal",3,35,3,1,0,30,0,0,99,7,16,3,197,413
24055,"Papineau/Papineau"," 13","Montréal",0,24,1,1,0,30,0,3,110,10,9,3,191,436
24055,"Papineau/Papineau"," 14","Montréal",1,21,0,0,1,23,0,2,97,11,8,3,167,428
24055,"Papineau/Papineau"," 15","Montréal",0,19,0,0,0,10,0,2,82,5,5,2,125,423
24055,"Papineau/Papineau"," 16","Montréal",1,17,1,0,1,24,0,4,98,8,5,5,164,396
24055,"Papineau/Papineau"," 17","Montréal",1,29,3,0,1,11,1,3,135,6,12,4,206,452
24055,"Papineau/Papineau"," 18","Montréal",0,20,0,1,0,21,0,1,98,4,13,6,164,415
24055,"Papineau/Papineau"," 19","Montréal",1,14,1,0,0,35,0,1,104,9,14,7,186,430
24055,"Papineau/Papineau"," 20","Montréal",5,24,1,0,0,10,0,4,109,9,11,2,175,427
24055,"Papineau/Papineau"," 21","Montréal",3,23,0,0,2,19,0,3,136,7,12,2,207,423
24055,"Papineau/Papineau"," 22","Montréal",1,18,0,0,1,15,0,0,104,5,11,1,156,424
24055,"Papineau/Papineau"," 23","Montréal",0,18,0,0,0,16,2,1,136,4,9,5,191,448
24055,"Papineau/Papineau"," 24","Montréal",0,13,3,1,1,12,1,1,108,6,8,6,160,415
24055,"Papineau/Papineau"," 25","Montréal",3,14,2,0,0,20,0,0,132,5,12,0,188,386
24055,"Papineau/Papineau"," 26","Montréal",2,39,3,0,0,13,0,0,141,3,15,4,220,424
24055,"Papineau/Papineau"," 27","Montréal",3,20,0,2,0,25,0,3,97,18,14,8,190,446
24055,"Papineau/Papineau"," 28","Montréal",1,26,3,0,1,36,0,2,114,9,16,4,212,470
24055,"Papineau/Papineau"," 29","Montréal",0,33,1,1,0,27,0,0,88,11,17,2,180,412
24055,"Papineau/Papineau"," 30","Montréal",1,31,0,0,1,17,0,0,90,5,7,3,155,423
