Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 418","Toronto",0,101,0,6,24,2,0,44,1,1,179,341
35110,"University--Rosedale/University--Rosedale"," 419","Toronto",0,164,0,9,25,1,0,58,3,0,260,417
35110,"University--Rosedale/University--Rosedale"," 420","Toronto",Merged with No./Fusionné avec le n°423,,,,,,,,,,,136
35110,"University--Rosedale/University--Rosedale"," 421","Toronto",1,122,0,9,36,3,0,79,0,1,251,471
35110,"University--Rosedale/University--Rosedale"," 422","Toronto",1,100,0,11,23,4,0,35,0,0,174,299
35110,"University--Rosedale/University--Rosedale"," 423","Toronto",0,106,0,14,47,0,0,39,1,1,208,224
35110,"University--Rosedale/University--Rosedale"," 424","Toronto",0,66,2,4,17,2,0,37,2,0,130,236
35110,"University--Rosedale/University--Rosedale"," 425","Toronto",Merged with No./Fusionné avec le n°423,,,,,,,,,,,142
35110,"University--Rosedale/University--Rosedale"," 426","Toronto",0,58,0,6,5,0,0,45,0,2,116,209
35110,"University--Rosedale/University--Rosedale"," 427","Toronto",0,62,0,7,12,0,0,56,0,0,137,213
35110,"University--Rosedale/University--Rosedale"," 428","Toronto",1,81,1,9,65,2,0,32,0,1,192,308
35110,"University--Rosedale/University--Rosedale"," 429","Toronto",Merged with No./Fusionné avec le n°427,,,,,,,,,,,93
35110,"University--Rosedale/University--Rosedale"," 430","Toronto",0,63,0,15,32,1,0,16,1,0,128,199
35110,"University--Rosedale/University--Rosedale"," 431","Toronto",1,79,0,6,35,5,0,20,2,1,149,247
35110,"University--Rosedale/University--Rosedale"," 432","Toronto",1,72,0,5,17,1,0,43,0,1,140,186
