Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Dyck,Leah Gazan,Stephanie Hein,Yogi Henderson,Robert-Falcon Ouellette,Andrea Shalay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",12,81,0,1,50,4,1,149,471
46011,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",30,52,0,6,44,1,0,133,325
46011,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",42,56,0,0,64,3,4,169,410
46011,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",51,76,1,6,76,12,3,225,419
46011,"Winnipeg Centre/Winnipeg-Centre"," 23","Winnipeg",59,73,0,0,66,7,2,207,390
46011,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",50,90,2,0,77,7,5,231,442
46011,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",38,60,1,4,81,7,1,192,378
46011,"Winnipeg Centre/Winnipeg-Centre"," 26","Winnipeg",50,76,2,4,54,10,1,197,394
46011,"Winnipeg Centre/Winnipeg-Centre"," 27","Winnipeg",46,76,4,1,88,7,3,225,494
46011,"Winnipeg Centre/Winnipeg-Centre"," 28","Winnipeg",36,95,2,2,65,5,4,209,441
46011,"Winnipeg Centre/Winnipeg-Centre"," 29","Winnipeg",59,51,4,4,41,13,1,173,389
46011,"Winnipeg Centre/Winnipeg-Centre"," 30","Winnipeg",62,44,2,10,51,6,2,177,386
46011,"Winnipeg Centre/Winnipeg-Centre"," 31","Winnipeg",56,46,0,12,41,16,1,172,404
46011,"Winnipeg Centre/Winnipeg-Centre"," 32","Winnipeg",71,59,0,6,53,16,0,205,444
46011,"Winnipeg Centre/Winnipeg-Centre"," 33","Winnipeg",70,47,1,4,41,13,1,177,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 34","Winnipeg",19,56,5,0,36,10,0,126,463
46011,"Winnipeg Centre/Winnipeg-Centre"," 35","Winnipeg",20,24,1,0,50,2,4,101,417
46011,"Winnipeg Centre/Winnipeg-Centre"," 36","Winnipeg",9,40,1,1,34,1,1,87,305
46011,"Winnipeg Centre/Winnipeg-Centre"," 37","Winnipeg",5,26,1,0,38,4,4,78,332
46011,"Winnipeg Centre/Winnipeg-Centre"," 38","Winnipeg",15,39,4,4,40,2,0,104,358
46011,"Winnipeg Centre/Winnipeg-Centre"," 39","Winnipeg",18,67,1,2,49,5,0,142,371
