Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maria Augimeri,Iftikhar Choudry,Ania Krosinska,Christine Nugent,Mike Schmitz,Judy Sgro,Stenneth Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"Humber River--Black Creek/Humber River--Black Creek"," 1","North York",145,27,7,2,19,123,0,2,325,763
35121,"Humber River--Black Creek/Humber River--Black Creek"," 2","North York",84,14,1,0,12,77,0,1,189,158
35121,"Humber River--Black Creek/Humber River--Black Creek"," 3","North York",40,22,1,0,2,176,1,0,242,581
35121,"Humber River--Black Creek/Humber River--Black Creek"," 4","North York",7,9,1,1,1,56,0,1,76,250
35121,"Humber River--Black Creek/Humber River--Black Creek"," 5","North York",16,12,2,0,1,101,0,4,136,327
35121,"Humber River--Black Creek/Humber River--Black Creek"," 6","North York",28,96,5,2,6,91,0,4,232,530
35121,"Humber River--Black Creek/Humber River--Black Creek"," 7","North York",34,78,0,1,2,134,1,4,254,667
35121,"Humber River--Black Creek/Humber River--Black Creek"," 8","North York",41,35,0,0,1,104,2,0,183,389
35121,"Humber River--Black Creek/Humber River--Black Creek"," 9","North York",4,39,1,0,4,148,0,0,196,439
35121,"Humber River--Black Creek/Humber River--Black Creek"," 10","North York",59,31,1,0,11,91,2,0,195,582
35121,"Humber River--Black Creek/Humber River--Black Creek"," 11","North York",35,34,4,0,6,89,0,0,168,517
35121,"Humber River--Black Creek/Humber River--Black Creek"," 12","North York",40,26,0,1,10,60,0,0,137,458
35121,"Humber River--Black Creek/Humber River--Black Creek"," 13","North York",72,35,2,0,1,173,1,2,286,615
35121,"Humber River--Black Creek/Humber River--Black Creek"," 14","North York",46,21,1,0,5,103,2,0,178,416
35121,"Humber River--Black Creek/Humber River--Black Creek"," 15","North York",39,30,0,0,4,111,0,3,187,449
35121,"Humber River--Black Creek/Humber River--Black Creek"," 16","North York",47,36,3,0,7,106,0,0,199,481
35121,"Humber River--Black Creek/Humber River--Black Creek"," 17","North York",28,24,2,0,4,78,1,0,137,317
35121,"Humber River--Black Creek/Humber River--Black Creek"," 18","North York",30,25,3,0,1,107,1,2,169,501
35121,"Humber River--Black Creek/Humber River--Black Creek"," 19","North York",49,32,4,0,6,116,0,1,208,554
35121,"Humber River--Black Creek/Humber River--Black Creek"," 20","North York",31,19,1,0,1,84,0,1,137,431
35121,"Humber River--Black Creek/Humber River--Black Creek"," 21","North York",45,39,3,0,2,139,2,0,230,449
35121,"Humber River--Black Creek/Humber River--Black Creek"," 22","North York",39,40,4,0,5,101,0,0,189,378
35121,"Humber River--Black Creek/Humber River--Black Creek"," 23","North York",23,6,1,1,1,175,2,9,218,465
35121,"Humber River--Black Creek/Humber River--Black Creek"," 24","North York",27,36,2,1,2,109,1,4,182,500
35121,"Humber River--Black Creek/Humber River--Black Creek"," 25","North York",38,31,0,1,6,98,1,4,179,364
35121,"Humber River--Black Creek/Humber River--Black Creek"," 26","North York",38,16,1,0,2,118,1,5,181,428
35121,"Humber River--Black Creek/Humber River--Black Creek"," 27","North York",32,40,4,1,4,85,1,0,167,453
35121,"Humber River--Black Creek/Humber River--Black Creek"," 28","North York",34,36,0,1,10,121,1,4,207,522
35121,"Humber River--Black Creek/Humber River--Black Creek"," 29","North York",42,27,5,0,3,118,0,5,200,427
35121,"Humber River--Black Creek/Humber River--Black Creek"," 30","North York",41,32,1,0,2,137,2,0,215,546
35121,"Humber River--Black Creek/Humber River--Black Creek"," 31","North York",44,30,3,4,5,103,2,11,202,441
35121,"Humber River--Black Creek/Humber River--Black Creek"," 32","North York",27,30,0,1,2,137,3,5,205,498
35121,"Humber River--Black Creek/Humber River--Black Creek"," 33","North York",51,32,0,1,7,115,3,6,215,465
35121,"Humber River--Black Creek/Humber River--Black Creek"," 34","North York",51,34,5,0,3,111,1,1,206,551
35121,"Humber River--Black Creek/Humber River--Black Creek"," 35","North York",45,24,2,1,3,109,0,4,188,392
35121,"Humber River--Black Creek/Humber River--Black Creek"," 36","North York",55,45,6,0,7,132,0,8,253,589
35121,"Humber River--Black Creek/Humber River--Black Creek"," 37","North York",59,42,2,1,4,122,0,6,236,502
35121,"Humber River--Black Creek/Humber River--Black Creek"," 38","North York",56,37,3,0,6,116,0,4,222,500
35121,"Humber River--Black Creek/Humber River--Black Creek"," 39","North York",27,25,1,0,8,94,1,3,159,446
35121,"Humber River--Black Creek/Humber River--Black Creek"," 40","North York",60,45,3,0,5,124,0,7,244,565
35121,"Humber River--Black Creek/Humber River--Black Creek"," 41","North York",38,24,3,0,4,107,2,7,185,618
35121,"Humber River--Black Creek/Humber River--Black Creek"," 42","North York",37,21,2,0,4,68,0,0,132,331
