Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Corriveau,Gabriel Côté,Jacques Gélineau,Marilène Gill,Colleen McCool,Dave Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Manicouagan/Manicouagan"," 1","Schefferville",4,3,2,15,8,29,1,62,292
24046,"Manicouagan/Manicouagan"," 2","Schefferville",1,0,0,2,5,48,1,57,297
24046,"Manicouagan/Manicouagan"," 3","Kawawachikamach",2,1,0,4,62,43,0,112,454
24046,"Manicouagan/Manicouagan"," 4","Blanc-Sablon",22,2,4,4,7,56,3,98,206
24046,"Manicouagan/Manicouagan"," 5","Lourdes-de-Blanc-Sablon",21,0,5,21,9,82,1,139,364
24046,"Manicouagan/Manicouagan"," 6","Lourdes-de-Blanc-Sablon",13,0,4,11,10,59,0,97,345
24046,"Manicouagan/Manicouagan"," 7","Rivière-Saint-Paul",14,1,4,8,17,109,1,154,393
24046,"Manicouagan/Manicouagan"," 8","Vieux-Fort",12,4,3,2,6,77,2,106,248
24046,"Manicouagan/Manicouagan"," 9","La Tabatière",9,0,2,13,7,67,1,99,295
24046,"Manicouagan/Manicouagan"," 10","Saint-Augustin",24,0,3,4,4,81,3,119,371
24046,"Manicouagan/Manicouagan"," 11","Pakuashipi",3,0,1,5,5,31,0,45,206
24046,"Manicouagan/Manicouagan"," 12","Baie-des-Moutons",4,0,0,3,1,15,1,24,69
24046,"Manicouagan/Manicouagan"," 13","Tête-à-la-Baleine",1,0,1,23,0,11,1,37,113
24046,"Manicouagan/Manicouagan"," 14","La Romaine",2,0,1,8,8,21,0,40,400
24046,"Manicouagan/Manicouagan"," 15","La Romaine",2,0,2,29,2,38,0,73,397
24046,"Manicouagan/Manicouagan"," 16","Fermont",26,4,6,76,7,11,4,134,302
24046,"Manicouagan/Manicouagan"," 17","Fermont",31,2,6,85,3,9,1,137,396
