Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dianne Clarke,Natasha Fryzuk,Damien Kurek,David A. Michaud,Geordie Nelson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 1","Deville",9,10,149,8,10,1,187,483
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 2","Shonts",6,22,192,5,9,1,235,496
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 3","Shonts",6,7,157,7,5,0,182,427
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 4","Tofield",25,23,162,9,6,0,225,516
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 5","Tofield",16,22,150,6,5,1,200,437
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 6","Shonts",5,8,173,7,5,0,198,388
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 7","New Sarepta",18,17,272,5,14,2,328,504
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 8","New Sarepta",12,21,353,6,10,1,403,578
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 9","New Sarepta",19,15,275,8,11,2,330,510
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 10","Shonts",19,18,131,13,8,3,192,449
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 11","Spilstead",9,21,229,7,10,2,278,573
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 12","Spilstead",15,25,182,8,9,3,242,432
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 13A","Ellswick",Merged with No./Fusionné avec le n°14,,,,,,,217
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 13B","Ellswick",11,15,216,10,5,1,258,421
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 14","Hay Lakes",16,20,228,4,10,1,279,194
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 15","Miquelon Beach",12,9,178,4,7,0,210,362
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 16","Ryley",20,20,198,4,9,2,253,392
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 17","Ryley",3,12,215,7,3,1,241,373
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 18","Armena",13,14,201,7,5,2,242,479
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 19","Round Hill",8,15,210,5,14,3,255,409
