Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sarah Climenhaga,John Kellen,Alok Mukherjee,Jae Truesdell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 1","Toronto",152,19,4,43,47,1,266,298
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 2","Toronto",104,13,6,26,40,1,190,474
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 3","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,283
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 4A","Toronto",179,18,4,52,41,0,294,513
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 4B","Toronto",168,15,2,39,54,0,278,509
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 5","Toronto",118,13,2,39,28,1,201,410
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 6","Toronto",107,10,6,47,22,1,193,518
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 7","Toronto",131,10,1,29,37,1,209,554
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 8","Toronto",102,8,3,25,36,1,175,440
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 9","Toronto",213,30,3,77,91,0,414,945
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 10","Toronto",150,16,6,51,49,2,274,551
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 11","Toronto",107,8,0,22,44,2,183,392
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 12","Toronto",175,10,7,55,65,1,313,776
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 13","Toronto",152,12,5,30,46,0,245,530
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 14","Toronto",86,12,1,11,40,2,152,388
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 15","Toronto",196,25,4,31,68,3,327,560
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 16","Toronto",103,14,3,32,36,0,188,352
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 17","Toronto",134,23,6,23,48,0,234,434
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 18","Toronto",114,18,1,28,31,1,193,414
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 19","Toronto",143,19,1,39,81,0,283,607
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 20","Toronto",158,22,0,42,52,0,274,549
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 21","Toronto",135,20,4,13,101,2,275,534
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 22","Toronto",143,14,3,39,62,0,261,493
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 23","Toronto",153,27,6,34,83,1,304,558
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 24","Toronto",123,9,2,16,43,4,197,436
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 25","Toronto",120,11,1,28,38,1,199,399
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 26","Toronto",119,14,5,38,34,0,210,432
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 27","Toronto",112,7,4,11,36,1,171,239
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 28","Toronto",148,22,1,59,36,0,266,468
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 29","Toronto",137,20,10,42,43,0,252,379
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 30","Toronto",138,15,5,28,71,0,257,495
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 31","Toronto",151,21,3,36,69,1,281,453
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 32","Toronto",134,20,3,31,75,1,264,511
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 33","Toronto",53,1,3,8,74,0,139,347
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 34","Toronto",172,30,11,43,63,4,323,632
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 35","Toronto",162,20,4,56,45,2,289,546
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 36","Toronto",193,10,8,55,73,3,342,559
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 37","Toronto",89,13,5,15,33,0,155,311
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 38","Toronto",150,18,2,14,35,2,221,348
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 39","Toronto",201,17,1,36,63,2,320,541
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 40","Toronto",204,31,2,26,52,1,316,488
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 41","Toronto",83,18,2,20,29,0,152,417
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 42","Toronto",74,8,1,11,90,0,184,470
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 43","Toronto",76,5,2,19,48,2,152,458
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 44","York",92,21,3,23,94,4,237,605
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 45","Toronto",183,18,3,50,31,1,286,507
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 46","Toronto",113,11,3,53,28,0,208,382
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 47","Toronto",188,23,9,98,37,1,356,584
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 48","Toronto",148,28,1,41,85,2,305,535
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 49","Toronto",150,24,5,49,41,6,275,512
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 50","Toronto",118,20,0,22,47,0,207,410
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 51","Toronto",163,19,3,38,44,2,269,472
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 52","Toronto",43,4,1,3,79,0,130,333
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 53","Toronto",128,16,3,32,76,1,256,463
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 54","Toronto",88,15,1,23,68,1,196,479
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 55","Toronto",60,7,1,15,50,0,133,354
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 56","Toronto",34,4,0,5,87,0,130,340
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 57","Toronto",53,3,0,12,57,0,125,346
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 58","Toronto",102,18,1,42,101,0,264,523
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 59","Toronto",65,9,1,19,64,0,158,355
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 60","York",103,10,2,26,51,2,194,416
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 61","York",72,9,0,11,83,1,176,391
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 62","York",124,24,2,56,40,1,247,485
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 63","York",73,4,1,10,91,0,179,353
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 64","York",91,9,2,19,78,1,200,453
