Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Nygaard,Leslie Penny,John Schrader,Arnold Viersen,Jennifer Villebrun,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Peace River--Westlock/Peace River--Westlock"," 1","Child Lake 164A",2,33,5,8,19,1,68,99
48028,"Peace River--Westlock/Peace River--Westlock"," 2","Rocky Lane",5,14,4,79,14,0,116,277
48028,"Peace River--Westlock/Peace River--Westlock"," 3","Child Lake 164A",0,2,6,211,7,1,227,290
48028,"Peace River--Westlock/Peace River--Westlock"," 4","Boyer 164",2,22,0,4,15,0,43,91
48028,"Peace River--Westlock/Peace River--Westlock"," 5","Jean d'Or Prairie 215",9,51,1,2,112,0,175,554
48028,"Peace River--Westlock/Peace River--Westlock"," 6","La Crête",0,0,2,188,1,0,191,484
48028,"Peace River--Westlock/Peace River--Westlock"," 7","Garden Creek",2,21,1,11,126,4,165,218
48028,"Peace River--Westlock/Peace River--Westlock"," 8","La Crête",Results combined with No./Résultats combinés au n°11,,,,,,,467
48028,"Peace River--Westlock/Peace River--Westlock"," 9","La Crête",0,0,1,92,3,1,97,495
48028,"Peace River--Westlock/Peace River--Westlock"," 10","La Crête",0,0,1,103,2,0,106,601
48028,"Peace River--Westlock/Peace River--Westlock"," 11","La Crête",0,1,2,188,5,1,197,491
48028,"Peace River--Westlock/Peace River--Westlock"," 12","La Crête",1,1,2,91,6,0,101,459
48028,"Peace River--Westlock/Peace River--Westlock"," 13","La Crête",1,6,1,113,9,2,132,601
48028,"Peace River--Westlock/Peace River--Westlock"," 14","La Crête",3,0,1,129,0,3,136,593
48028,"Peace River--Westlock/Peace River--Westlock"," 15","Fort Vermilion",6,18,7,68,41,0,140,335
48028,"Peace River--Westlock/Peace River--Westlock"," 16","La Crête",3,2,4,83,4,2,98,284
48028,"Peace River--Westlock/Peace River--Westlock"," 17","Tall Cree 173A",7,10,4,66,22,0,109,369
48028,"Peace River--Westlock/Peace River--Westlock"," 18","Tall Cree 173",1,3,0,3,31,0,38,75
48028,"Peace River--Westlock/Peace River--Westlock"," 19","Buffalo Head Prairie",1,1,1,126,1,0,130,856
48028,"Peace River--Westlock/Peace River--Westlock"," 20","Tall Cree 173A",0,6,3,2,28,0,39,107
48028,"Peace River--Westlock/Peace River--Westlock"," 21","Fox Lake",4,34,0,10,127,4,179,1065
48028,"Peace River--Westlock/Peace River--Westlock"," 22","Deadwood",7,17,6,158,7,1,196,317
48028,"Peace River--Westlock/Peace River--Westlock"," 23","St. Isidore",10,41,5,164,29,3,252,386
48028,"Peace River--Westlock/Peace River--Westlock"," 24","Cadotte Lake",5,21,1,26,18,2,73,451
