Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Chénier,Marc Gagnon,Meryam Haddad,Marika Lalime,Hugues Laplante,Brenda Shanahan,Claudia Valdivia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 1","Châteauguay",3,0,2,12,19,17,61,88,5,207,424
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 2","Châteauguay",0,0,1,9,17,9,49,106,3,194,407
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 3","Châteauguay",2,0,0,18,25,11,133,43,3,235,458
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 4","Châteauguay",2,0,0,4,14,26,138,44,1,229,417
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 5","Châteauguay",2,1,0,5,36,9,96,55,4,208,380
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 6","Châteauguay",7,0,1,14,13,27,84,45,2,193,393
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 7","Châteauguay",1,0,1,7,25,27,83,41,3,188,383
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 8","Châteauguay",1,0,2,13,24,30,111,44,1,226,506
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 9","Châteauguay",2,0,1,9,24,10,100,61,3,210,445
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 10","Châteauguay",0,0,0,13,17,17,107,24,2,180,363
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 11","Châteauguay",4,0,1,10,24,29,130,41,4,243,450
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 12","Châteauguay",0,0,0,3,28,22,89,22,3,167,343
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 13","Châteauguay",2,1,1,4,28,21,117,47,1,222,491
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 14","Châteauguay",3,0,2,15,32,23,100,35,1,211,394
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 15","Châteauguay",2,0,0,12,36,21,126,43,5,245,479
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 16","Châteauguay",0,0,2,7,19,27,85,38,0,178,345
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 17","Châteauguay",1,0,2,16,30,12,83,50,2,196,458
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 18","Châteauguay",1,0,0,3,26,12,83,34,2,161,337
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 19","Châteauguay",5,0,0,4,20,18,104,42,3,196,374
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 20","Châteauguay",3,0,0,3,18,11,88,37,0,160,377
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 21","Châteauguay",1,1,4,8,17,21,94,52,6,204,458
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 22","Châteauguay",3,0,0,6,13,18,110,48,1,199,385
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 23","Châteauguay",5,0,1,5,12,13,73,22,4,135,366
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 24A","Châteauguay",3,0,1,3,8,7,48,41,4,115,270
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 24B","Mobile poll/Bureau itinérant",2,1,7,2,2,14,117,48,13,206,113
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 24C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°24B,,,,,,,,,,201
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 25","Châteauguay",1,0,2,6,11,19,68,36,5,148,372
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 26","Châteauguay",2,0,2,10,26,10,79,40,3,172,442
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 27","Châteauguay",4,0,0,3,7,7,34,24,3,82,299
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 28","Châteauguay",2,0,4,4,17,14,63,35,4,143,430
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 29","Châteauguay",4,1,1,6,31,26,91,50,1,211,379
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 30","Châteauguay",4,1,3,12,25,23,118,38,3,227,437
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 31","Châteauguay",0,0,1,14,14,14,66,22,0,131,281
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 32","Châteauguay",1,0,1,4,13,19,89,44,2,173,334
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 33","Châteauguay",5,1,3,0,16,14,82,54,6,181,461
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 34","Châteauguay",3,0,2,5,16,26,62,107,0,221,414
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 35","Châteauguay",2,0,5,18,28,18,48,86,4,209,402
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 36","Châteauguay",4,1,3,10,26,25,67,83,5,224,436
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 37","Châteauguay",6,0,3,5,16,17,79,76,1,203,381
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 38","Châteauguay",6,0,3,8,20,24,64,91,4,220,449
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 39","Châteauguay",0,1,1,7,23,7,73,67,3,182,384
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 40","Châteauguay",3,0,1,5,13,13,89,80,0,204,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 41","Châteauguay",1,1,0,11,17,17,88,61,1,197,365
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 42","Châteauguay",0,0,0,3,13,12,79,64,0,171,396
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 43","Châteauguay",4,1,1,5,25,12,71,79,7,205,449
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 44","Châteauguay",2,0,0,5,9,16,63,64,4,163,397
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 45","Châteauguay",1,0,0,10,13,16,76,50,1,167,369
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 46","Châteauguay",3,0,0,6,17,26,103,54,1,210,386
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 47","Châteauguay",1,0,0,5,17,13,106,55,5,202,454
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 48","Châteauguay",2,0,3,3,18,20,88,37,1,172,365
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 49","Châteauguay",0,1,2,8,20,28,97,69,3,228,468
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 50","Châteauguay",2,2,1,5,26,17,108,64,5,230,431
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 51","Châteauguay",2,0,0,8,19,20,119,77,4,249,458
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 52","Châteauguay",6,0,2,6,15,14,119,41,3,206,389
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 53","Châteauguay",2,0,1,7,19,18,97,73,2,219,443
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 54","Châteauguay",7,0,2,3,15,23,128,73,5,256,524
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 55","Châteauguay",1,0,1,5,24,24,126,71,4,256,527
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 56","Châteauguay",6,0,0,3,23,27,99,85,8,251,454
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 57","Châteauguay",1,0,0,8,17,23,103,51,7,210,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 58","Châteauguay",2,0,1,6,18,29,136,58,3,253,459
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 59","Châteauguay",3,0,3,6,18,22,104,43,3,202,391
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 60","Châteauguay",2,0,1,1,17,15,49,32,4,121,306
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 61","Châteauguay",2,1,0,16,20,11,106,49,9,214,461
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 62","Châteauguay",5,0,0,8,32,4,76,68,0,193,390
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 63","Châteauguay",3,0,1,7,11,19,137,87,4,269,584
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 64","Châteauguay",4,0,1,4,24,33,126,56,8,256,537
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 65","Châteauguay",2,0,1,9,17,18,86,34,4,171,329
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 66","Châteauguay",0,1,0,7,11,21,123,66,3,232,549
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 67","Châteauguay",1,0,2,7,13,9,60,40,3,135,357
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 68","Châteauguay",5,0,0,10,16,25,93,50,6,205,406
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 69","Châteauguay",2,0,0,6,15,16,48,52,1,140,334
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 70","Châteauguay",1,0,0,6,14,24,81,62,0,188,369
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 71","Châteauguay",3,0,0,5,24,18,126,47,0,223,430
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 72","Châteauguay",2,0,2,5,11,28,89,49,5,191,427
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 73","Châteauguay",10,0,1,9,22,18,105,64,2,231,441
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 74","Châteauguay",1,0,0,1,15,11,80,50,0,158,347
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 75","Châteauguay",1,0,3,8,20,37,174,86,3,332,540
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 76","Châteauguay",4,0,2,5,23,31,170,71,3,309,531
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 77","Léry",0,0,1,6,11,22,70,79,4,193,377
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 78","Léry",1,0,1,4,8,18,58,66,0,156,314
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 79","Léry",0,0,1,9,13,27,83,107,3,243,481
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 80","Léry",3,0,2,5,18,16,60,121,2,227,428
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 81","Léry",1,0,2,2,11,15,61,60,6,158,310
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 82","Saint-Jacques-le-Mineur",2,0,0,9,27,24,45,90,8,205,449
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 83","Saint-Jacques-le-Mineur",0,0,0,6,13,18,39,66,0,142,297
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 84","Saint-Jacques-le-Mineur",0,0,0,12,14,18,46,83,4,177,388
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 85","Saint-Jacques-le-Mineur",0,1,0,6,5,14,23,56,5,110,244
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 86","Mercier",1,0,0,6,16,8,57,66,5,159,299
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 87","Mercier",1,0,2,9,20,18,76,88,3,217,480
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 88","Mercier",6,3,0,7,37,30,135,105,8,331,655
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 89","Mercier",0,0,3,4,7,24,46,72,6,162,404
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 90","Mercier",4,0,3,17,22,29,103,132,8,318,564
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 91","Mercier",1,0,1,4,11,25,53,73,4,172,329
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 92","Mercier",0,0,1,2,15,25,50,60,2,155,371
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 93","Mercier",2,0,2,7,17,19,76,99,5,227,446
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 94","Mercier",3,1,8,14,33,43,151,156,11,420,792
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 95","Mercier",1,0,0,11,16,18,77,107,7,237,423
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 96","Mercier",2,0,3,2,11,12,52,90,9,181,360
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 97","Mercier",3,0,4,8,19,14,43,91,1,183,399
