Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Garnet Colly,Tina Di Serio,Hassan Guillet,Patricia Lattanzio,Ilario Maiolo,Dominique Mougin,Alessandra Szilagyi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 1","Saint-Léonard",8,1,0,8,90,28,20,2,5,162,382
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 2","Saint-Léonard",16,0,5,15,130,33,23,6,7,235,483
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 3","Saint-Léonard",18,1,3,19,130,26,17,2,5,221,471
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 4","Saint-Léonard",8,0,1,26,146,10,12,15,2,220,468
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 5","Saint-Léonard",6,1,2,10,119,18,15,3,6,180,394
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 6","Saint-Léonard",17,0,8,10,129,26,20,7,2,219,363
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 7","Saint-Léonard",12,0,1,25,109,32,19,8,9,215,372
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 8","Saint-Léonard",15,0,0,16,135,18,27,10,7,228,458
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 9","Saint-Léonard",8,0,3,15,93,17,9,8,1,154,339
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 10","Saint-Léonard",14,1,0,11,155,45,10,8,3,247,476
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 11","Saint-Léonard",19,1,0,10,131,17,16,4,3,201,438
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 12","Saint-Léonard",7,0,3,23,123,16,19,8,1,200,466
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 13","Saint-Léonard",13,1,2,29,150,21,11,1,5,233,498
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 14","Saint-Léonard",24,0,2,11,137,25,8,3,8,218,476
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 15","Saint-Léonard",5,0,0,6,137,30,8,4,2,192,435
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 16","Saint-Léonard",2,0,5,20,153,18,23,1,8,230,423
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 17","Saint-Léonard",1,0,4,5,107,26,20,0,8,171,448
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 18","Saint-Léonard",11,0,2,21,99,6,12,1,0,152,363
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 19","Saint-Léonard",10,0,1,24,114,34,21,2,1,207,476
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 20","Saint-Léonard",17,0,3,24,107,13,17,7,3,191,349
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 21","Saint-Léonard",1,0,3,27,126,12,16,2,3,190,438
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 22","Saint-Léonard",4,0,0,16,108,31,13,6,3,181,388
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 23","Saint-Léonard",7,0,1,31,92,12,13,0,1,157,413
