Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 157","Magrath",1,6,137,4,0,18,0,166,411
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 158","Magrath",0,12,163,2,3,18,0,198,447
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 159","Magrath",1,0,88,1,0,3,0,93,363
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 160","Spring Coulee",2,0,57,2,1,2,0,64,359
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 161","Mountain View",1,5,200,12,1,3,0,222,360
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 162","Cardston",3,4,126,6,2,6,0,147,352
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 163","Cardston",1,5,119,5,0,7,0,137,391
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 164","Cardston",1,6,78,4,0,11,0,100,300
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 165","Cardston",1,3,165,2,0,5,1,177,418
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 166","Cardston",0,4,134,5,0,9,1,153,337
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 167","Cardston",1,6,176,2,0,2,0,187,399
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 168","Cardston",1,5,148,9,1,11,0,175,456
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 169","Leavitt",3,4,139,1,0,2,2,151,322
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 170","Aetna",0,2,145,6,0,2,0,155,403
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 171","Jefferson",0,1,85,8,0,5,0,99,363
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 172","Conrad",0,1,77,0,0,1,1,80,379
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 173","Warner",1,0,76,1,0,1,0,79,245
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 174","Warner",7,4,147,1,0,13,0,172,350
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 175","Foremost",1,9,142,2,0,4,0,158,373
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 176","Foremost",0,3,128,3,1,5,0,140,461
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 177","Etzikom",0,1,92,4,0,1,0,98,375
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 178","Del Bonita",1,0,49,1,0,1,0,52,162
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 179","Elkwater",1,3,92,1,1,4,0,102,272
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 180","Milk River",2,8,127,4,1,10,1,153,385
