Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 85","Medicine Hat",2,11,145,5,2,13,0,178,409
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 86","Medicine Hat",6,17,209,15,4,26,0,277,541
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 87","Medicine Hat",6,15,226,3,5,20,0,275,542
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 88","Medicine Hat",8,20,169,6,1,32,0,236,413
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 89","Medicine Hat",5,16,203,3,0,13,4,244,434
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 90","Medicine Hat",1,12,167,3,2,8,2,195,361
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 91","Medicine Hat",6,20,211,7,2,29,1,276,516
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 92","Medicine Hat",3,19,187,7,1,28,2,247,438
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 93","Medicine Hat",5,25,171,8,2,31,0,242,423
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 94","Medicine Hat",9,14,176,7,0,34,0,240,409
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 95","Medicine Hat",3,22,197,6,1,15,0,244,399
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 96","Medicine Hat",3,12,240,5,1,27,1,289,481
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 97","Medicine Hat",3,20,212,5,1,29,0,270,448
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 98","Medicine Hat",3,13,214,6,1,19,1,257,427
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 99","Medicine Hat",2,9,165,4,2,14,0,196,365
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 100","Medicine Hat",4,20,240,8,3,19,1,295,456
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 101","Medicine Hat",8,18,248,6,2,21,0,303,542
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 102","Medicine Hat",6,14,207,5,0,25,2,259,454
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 103","Medicine Hat",5,23,247,4,3,35,0,317,619
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 104","Blood",0,38,3,1,1,32,1,76,393
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 105","Blood",6,71,9,1,0,71,1,159,536
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 106","Blood",1,54,4,2,1,45,0,107,499
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 107","Blood",3,43,3,2,0,24,1,76,464
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 108","Blood",3,46,10,0,3,43,0,105,543
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 109","Medicine Hat",0,12,247,8,3,33,0,303,501
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 110","Medicine Hat",6,20,156,6,2,14,0,204,349
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 111","Medicine Hat",7,15,258,4,4,20,3,311,490
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 112","Medicine Hat",4,30,200,7,1,23,5,270,471
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 113A","Medicine Hat",4,17,171,4,3,22,1,222,436
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 113B","Medicine Hat",4,17,197,8,0,26,0,252,488
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 114","Medicine Hat",6,16,162,6,1,36,2,229,353
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 115","Medicine Hat",1,6,157,2,0,15,0,181,372
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 116","Medicine Hat",9,17,187,5,5,30,0,253,474
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 117","Medicine Hat",4,22,185,6,3,18,0,238,396
