Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Beech,Lewis Clarke Dahlby,Rocky Dong,Amita Kuttner,Heather Leung,Svend Robinson,Robert Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 1","North Vancouver",106,0,5,39,43,35,2,1,231,415
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 2","North Vancouver",129,0,9,39,49,43,7,2,278,479
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 3","North Vancouver",106,2,1,47,33,50,2,0,241,422
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 4","North Vancouver",92,0,4,39,29,50,5,3,222,380
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 5","North Vancouver",87,0,8,32,32,47,1,2,209,434
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 6","North Vancouver",81,1,4,34,30,50,3,2,205,413
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 7","North Vancouver",95,0,9,25,28,48,0,3,208,437
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 8","North Vancouver",82,0,9,33,30,53,2,0,209,420
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 9","North Vancouver",78,2,7,25,26,62,1,1,202,431
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 10","North Vancouver",82,0,7,28,29,54,3,1,204,443
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 11","North Vancouver",109,1,2,19,45,38,5,0,219,458
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 12","North Vancouver",107,2,5,25,33,32,1,0,205,422
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 13","North Vancouver",91,1,10,30,46,47,1,1,227,486
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 14","North Vancouver",96,0,8,13,27,22,1,2,169,403
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 15","North Vancouver",110,1,4,24,40,53,1,1,234,487
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 16","North Vancouver",108,0,1,14,43,47,3,0,216,478
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 17","North Vancouver",45,0,2,23,33,27,0,0,130,264
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 18","North Vancouver",100,0,3,18,29,62,2,2,216,532
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 19","North Vancouver",96,0,10,48,42,41,1,0,238,518
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 20","North Vancouver",94,1,6,39,37,76,2,2,257,482
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 21","North Vancouver",59,3,5,27,44,90,1,0,229,545
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 22","North Vancouver",114,1,7,36,39,94,3,0,294,507
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 23","North Vancouver",91,0,10,18,35,32,0,5,191,378
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 24","North Vancouver",84,0,2,26,38,61,0,0,211,401
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 25","North Vancouver",110,0,6,33,33,66,0,2,250,447
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 26","North Vancouver",97,0,3,16,31,35,0,1,183,388
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 27","North Vancouver",71,0,5,17,25,29,2,3,152,339
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 28","North Vancouver",98,0,7,35,25,61,1,1,228,414
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 29","North Vancouver",60,1,1,30,13,64,1,1,171,349
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 30","North Vancouver",70,2,2,38,24,47,1,3,187,365
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 31","North Vancouver",91,1,6,52,19,60,0,2,231,386
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 32","North Vancouver",88,1,6,24,23,54,0,0,196,398
